N	3gram	Bakhtin_fo_2	Hudozhes
1	в отличие от	1	7
2	то же время	4	6
3	в то же	4	6
4	с другой стороны	1	5
5	той или иной	1	5
6	в том что	3	5
7	и того же	1	3
8	с точки зрения	8	3
9	одно и то	1	3
10	одного и того	1	3
11	и то же	1	3
12	можно сказать что	1	3
13	в этом мире	6	2
14	в той или	1	2
15	что в основе	1	2
16	тот или иной	1	2
17	и в то	3	2
18	но он не	1	2
19	с одной стороны	1	2
20	в свою очередь	1	2
21	для того чтобы	7	2
22	том числе и	2	2
23	в том числе	3	2
24	к тому что	1	2
25	и прежде всего	3	2
26	и в сущности	1	1
27	в виду что	1	1
28	прежде всего в	2	1
29	имеем в виду	3	1
30	каждой из них	1	1
31	точки зрения в	1	1
32	его в иной	1	1
33	в этом случае	2	1
34	и для него	1	1
35	и для других	1	1
36	форма в которой	1	1
37	можно говорить о	1	1
38	что он не	1	1
39	с самим собою	1	1
40	точки зрения не	3	1
41	как такового не	1	1
42	и в пространстве	1	1
43	он ни был	1	1
44	значении этого слова	1	1
45	с этой точки	1	1
46	на каждом из	1	1
47	может быть и	2	1
48	из уст в	1	1
49	в особенности в	1	1
50	в основе того	1	1
51	между вещами и	3	1
52	в это утро	1	1
53	таким образом и	1	1
54	к вопросу о	3	1
55	человека и общества	1	1
56	в себя и	1	1
57	или иной форме	1	1
58	быть осуществлено только	1	1
59	и как бы	1	1
60	пространственных и временных	1	1
61	в связи с	7	1
62	о чем подробно	1	1
63	как бы в	1	1
64	уст в уста	1	1
65	здесь как бы	1	1
66	в то время	1	1
67	в частности в	1	1
68	на свое место	1	1
69	прежде всего к	1	1
70	о том что	1	1
71	то есть в	1	1
72	этой точки зрения	1	1
73	в себе самом	1	1
74	определенного смысла и	1	1
75	мы имеем в	2	1
76	числе и для	1	1
77	в данном отношении	1	1
78	друг от друга	2	1
79	больше и больше	1	1
80	чего еще нет	1	1
81	в себе в	1	1
82	том что он	1	1
83	не может быть	1	1
84	человека и его	1	1
85	как и в	1	1
