N	3gram	Vygotskiy__5	NovoeSre
1	в высшей степени	2	6
2	не может быть	3	4
3	подобно тому как	4	3
4	в этом смысле	1	2
5	вместе с тем	2	2
6	так же как	7	2
7	с одной стороны	3	2
8	с другой стороны	2	2
9	вопрос о том	3	2
10	по своему строению	1	1
11	по своей природе	1	1
12	и того же	3	1
13	такой же мере	3	1
14	что в этом	1	1
15	в ней нет	1	1
16	в своем развитии	4	1
17	то время как	4	1
18	одного и того	3	1
19	в том числе	1	1
20	же как и	1	1
21	до сих пор	3	1
22	и не может	2	1
23	что он может	2	1
24	в зависимости от	2	1
25	в отличие от	2	1
26	не менее чем	1	1
27	тому как в	3	1
28	том числе и	1	1
29	не знает что	2	1
30	можно было бы	3	1
31	нет у него	1	1
32	бы сказать что	1	1
33	к жизни и	1	1
34	в том чтобы	1	1
35	вообще не существует	1	1
36	к вопросу о	1	1
37	и на их	1	1
38	и потому что	1	1
39	в известном смысле	7	1
40	не могут быть	1	1
41	в такой же	3	1
42	то что он	2	1
43	во всяком случае	1	1
44	я не могу	1	1
45	о том что	4	1
46	в то время	4	1
47	переход к новому	1	1
48	что совершается в	1	1
49	и вместе с	1	1
50	не только потому	1	1
51	это значит что	4	1
52	своей природе и	1	1
53	то это есть	1	1
54	мы говорим о	2	1
55	того же процесса	1	1
56	совершенно так же	1	1
57	в том смысле	1	1
58	в том что	11	1
