N	2gram	Medvedev_S_1	Myslijsy
1	в том	5	32
2	и в	3	30
3	может быть	2	28
4	то же	2	23
5	только в	2	21
6	не только	3	21
7	для нас	3	20
8	но и	2	19
9	то что	2	18
10	том что	2	18
11	что в	2	17
12	по себе	1	16
13	и не	1	15
14	не в	3	15
15	таким образом	2	14
16	а в	1	12
17	так и	1	11
18	как и	1	10
19	в то	1	10
20	в этом	5	10
21	и что	2	10
22	только тогда	1	9
23	мы не	1	9
24	между тем	1	9
25	было бы	2	9
26	вовсе не	1	7
27	но не	1	7
28	тем что	1	7
29	с одной	1	7
30	с другой	1	7
31	не может	1	6
32	зависит от	1	6
33	те же	1	6
34	с ним	1	6
35	между собою	1	6
36	что он	1	6
37	еще не	2	5
38	же время	1	5
39	только как	2	5
40	отношению к	2	5
41	крайней мере	1	5
42	по отношению	2	5
43	очевидно что	2	5
44	в них	1	5
45	по крайней	1	5
46	и как	1	5
47	и его	1	4
48	не было	1	4
49	что это	1	4
50	в смысле	2	4
51	тем же	1	4
52	в его	3	4
53	мы должны	1	4
54	один из	1	4
55	и потому	1	4
56	в котором	1	4
57	далеко не	2	4
58	все это	7	4
59	тем более	2	4
60	столь же	1	4
61	и по	1	4
62	что все	1	3
63	место в	1	3
64	я и	1	3
65	дает нам	1	3
66	его в	1	3
67	время в	1	3
68	в целом	1	3
69	в чем	1	3
70	в силу	1	3
71	представить себе	1	3
72	том как	1	3
73	образом в	1	3
74	прежде всего	1	3
75	именно в	1	3
76	тому что	1	3
77	одной стороны	1	3
78	тогда и	1	3
79	и есть	1	3
80	что она	1	3
81	никак не	1	3
82	в каждом	1	3
83	как бы	2	3
84	когда мы	1	2
85	все же	1	2
86	бы в	1	2
87	и наконец	1	2
88	о том	1	2
89	из себя	1	2
90	связи с	1	2
91	в виде	1	2
92	даже в	1	2
93	это зависит	2	2
94	в своей	1	2
95	не дает	1	2
96	а тем	1	2
97	но только	1	2
98	быть не	1	2
99	но как	1	2
100	иначе и	1	2
101	на все	1	2
102	за пределы	2	2
103	сама по	1	2
104	это и	2	2
105	и мы	2	2
106	перед нами	1	2
107	и о	1	2
108	а между	1	2
109	не один	1	2
110	в этой	1	2
111	у него	1	2
112	к субъекту	1	2
113	он говорит	1	2
114	слова но	1	2
115	связь между	1	2
116	в области	1	2
117	свойств и	1	2
118	должно было	1	2
119	а с	1	2
120	все эти	1	1
121	бы заключаться	1	1
122	главным образом	2	1
123	во всяком	1	1
124	понимать что	1	1
125	внутреннего единства	1	1
126	научной мысли	1	1
127	или не	1	1
128	не исчерпываются	1	1
129	эти два	1	1
130	в область	1	1
131	еще и	1	1
132	должна быть	2	1
133	ними в	1	1
134	нужно было	2	1
135	будто в	1	1
136	право на	1	1
137	и должны	1	1
138	это дает	1	1
139	друг от	1	1
140	но она	1	1
141	только то	1	1
142	мы думаем	1	1
143	от друга	1	1
144	на ней	1	1
145	между ними	1	1
146	или даже	2	1
147	единства и	1	1
148	без этого	1	1
149	в строгом	1	1
150	но стоит	1	1
151	не без	1	1
152	все то	1	1
153	мы еще	1	1
154	в таких	1	1
155	это не	1	1
156	в этих	1	1
157	стало быть	1	1
158	его собственная	1	1
159	значении слова	1	1
160	противном случае	1	1
161	ни одно	1	1
162	и понятие	1	1
163	что без	1	1
164	сказать и	1	1
165	что на	1	1
166	нам право	1	1
167	в противном	1	1
168	в сущности	1	1
169	ничего не	1	1
170	именно такого	1	1
171	даже не	1	1
172	что путное	1	1
173	для этого	1	1
174	на первый	1	1
175	вряд ли	1	1
176	не мешает	1	1
177	это значит	1	1
178	или нет	1	1
179	в мире	1	1
180	в результате	2	1
181	в процессе	1	1
182	в соответствующих	1	1
183	и стало	1	1
184	мы понимаем	1	1
185	творчество в	1	1
186	только для	1	1
187	на этот	1	1
188	в систему	1	1
189	должны служить	1	1
190	представляется нам	1	1
191	и более	1	1
192	этому соответствует	1	1
193	конечно не	1	1
194	но именно	1	1
195	на общие	1	1
196	же самое	1	1
197	и человеком	1	1
198	развития и	1	1
199	что эти	1	1
200	в данном	1	1
