N	3gram	Propp_Isto_5	StatiiOP
1	в том что	2	11
2	то обстоятельство что	1	5
3	не может быть	3	5
4	о том что	4	4
5	с другой стороны	8	4
6	в то время	1	4
7	с точки зрения	1	4
8	то время как	1	4
9	во всяком случае	1	4
10	может быть это	1	3
11	в то же	1	3
12	то же время	1	3
13	с тем что	1	3
14	на то что	2	3
15	не только в	2	3
16	в связи с	4	3
17	но это не	2	3
18	не в том	1	3
19	состоит в том	1	3
20	с одной стороны	7	2
21	с самого начала	1	2
22	только тогда когда	1	2
23	только в виде	1	2
24	тем что он	2	2
25	до сих пор	2	2
26	во всех этих	1	2
27	в том смысле	1	2
28	такие выражения как	2	2
29	и тем не	1	2
30	но все же	4	2
31	но и в	2	2
32	в том чтобы	2	2
33	тем не менее	4	2
34	потому что он	2	2
35	и т д	18	2
36	но то что	1	1
37	сам по себе	1	1
38	смысле в каком	1	1
39	что хотел этим	1	1
40	вместе со своим	1	1
41	что она во	1	1
42	что в его	1	1
43	обращает на себя	1	1
44	объясняется тем что	1	1
45	ни у одного	1	1
46	и не потому	1	1
47	так что он	1	1
48	т д по	1	1
49	можно сказать что	1	1
50	но уже в	1	1
51	иметь в виду	1	1
52	если не считать	2	1
53	дело не в	1	1
54	на самом деле	1	1
55	он попадает в	1	1
56	в некоторых случаях	2	1
57	потому что в	1	1
58	и в других	1	1
59	как и вообще	1	1
60	том смысле в	1	1
61	этой точки зрения	1	1
62	к ней и	1	1
63	совершенно очевидно что	1	1
64	я думаю что	1	1
65	таким образом в	1	1
66	он не может	2	1
67	и только тогда	1	1
68	что он уже	1	1
69	в свою очередь	1	1
70	некоторые уже были	1	1
71	может быть не	1	1
72	вопрос о том	1	1
73	с ним и	1	1
74	несомненно одно из	1	1
75	в самом деле	1	1
76	что у него	1	1
77	вместе с тем	6	1
78	как мы видели	1	1
79	же можно сказать	1	1
80	в одно целое	1	1
81	от этого становится	1	1
82	дело так что	1	1
83	что мы знаем	1	1
84	и тем что	1	1
85	для того чтобы	3	1
86	так как в	2	1
87	сказывается и в	1	1
88	интересно что в	1	1
89	а не в	1	1
90	мы имеем здесь	2	1
91	но так как	2	1
92	то что он	1	1
93	а иногда и	1	1
94	и что он	1	1
95	с этой точки	1	1
96	мы имеем связь	1	1
