N	2gram	Propp_Russ_1	VelikijI
1	и не	6	20
2	и в	36	16
3	так как	15	9
4	то что	6	9
5	еще не	4	8
6	в истории	1	8
7	что они	7	7
8	а не	2	7
9	и потому	2	7
10	на себя	2	5
11	но и	16	5
12	того что	4	5
13	хотя и	2	5
14	все это	6	5
15	что есть	1	5
16	как бы	5	5
17	ты не	1	5
18	в образе	2	4
19	говорить о	1	4
20	в его	2	4
21	в этом	12	4
22	что он	1	4
23	потому что	10	4
24	в нем	2	4
25	так и	7	4
26	что все	1	4
27	что не	1	4
28	как и	10	4
29	что мы	1	4
30	в ней	2	4
31	и все	1	4
32	все что	1	4
33	от этого	1	3
34	и что	4	3
35	должна быть	1	3
36	как не	2	3
37	в чем	1	3
38	с его	1	3
39	во всех	4	3
40	христа в	2	3
41	что и	7	3
42	счастье и	1	3
43	в том	17	3
44	тот же	1	3
45	но в	2	3
46	по этому	3	3
47	все эти	2	3
48	их в	3	3
49	и мы	1	3
50	в жизни	2	3
51	ни в	1	3
52	в них	6	3
53	не было	2	3
54	если не	1	3
55	в этих	3	3
56	что во	1	3
57	в первый	4	3
58	что я	1	3
59	тому что	4	3
60	но это	4	3
61	не имеет	6	3
62	и для	2	3
63	к тому	4	3
64	жизни и	1	3
65	что в	19	3
66	оно не	1	3
67	и это	1	2
68	но мы	1	2
69	по которым	1	2
70	и сам	1	2
71	и т	10	2
72	можно было	1	2
73	и за	1	2
74	и свободы	1	2
75	мы не	6	2
76	что от	2	2
77	с ним	2	2
78	и во	1	2
79	к нам	2	2
80	между тем	7	2
81	которые не	3	2
82	не с	3	2
83	его к	2	2
84	только в	4	2
85	и последний	1	2
86	уже не	6	2
87	не только	22	2
88	вера в	1	2
89	его и	2	2
90	не так	1	2
91	земли и	1	2
92	не к	1	2
93	для людей	1	2
94	в прошлом	2	2
95	не могли	1	2
96	вот почему	1	2
97	тем что	4	2
98	на том	1	2
99	так не	1	2
100	это не	10	2
101	т д	9	2
102	а с	4	2
103	для них	3	2
104	люди не	1	2
105	с тем	8	2
106	один из	8	2
107	не могут	1	2
108	значения и	2	2
109	что было	1	2
110	одна из	4	2
111	что их	1	2
112	уже на	1	2
113	том что	19	2
114	тот кто	1	2
115	а к	1	2
116	для нас	6	2
117	от него	1	2
118	в форме	1	2
119	и теперь	1	2
120	они и	2	2
121	которым можно	1	2
122	до того	2	2
123	это все	1	2
124	а в	9	2
125	но не	2	2
126	в духе	1	2
127	могут быть	2	2
128	чтобы сделать	1	2
129	во всяком	1	2
130	как мы	10	1
131	быть может	1	1
132	христа на	1	1
133	в виду	1	1
134	для себя	1	1
135	и до	2	1
136	не имеют	1	1
137	значение в	1	1
138	на новый	2	1
139	если они	1	1
140	благополучия и	1	1
141	то же	3	1
142	и могут	1	1
143	их и	3	1
144	на путь	1	1
145	из всего	1	1
146	б и	1	1
147	уже плохо	1	1
148	которого они	1	1
149	вопрос о	1	1
150	основана на	1	1
151	составные части	2	1
152	и вообще	1	1
153	любовью к	1	1
154	находится в	2	1
155	и начало	2	1
156	и ее	1	1
157	не был	1	1
158	же что	1	1
159	зависимости от	1	1
160	кто же	1	1
161	забота о	1	1
162	теми которые	1	1
