N	3gram	Berdyaev_M_1	Myslijsy
1	в том что	1	16
2	по отношению к	2	5
3	заключает в себе	3	5
4	не в том	1	5
5	от того что	1	5
6	вместе с тем	5	4
7	но и в	4	4
8	в то время	2	4
9	не только в	2	4
10	потому что он	1	3
11	потому что не	1	3
12	до сих пор	2	3
13	что он не	2	3
14	что в то	1	3
15	в том смысле	2	3
16	для того чтобы	2	3
17	не может быть	17	3
18	что и в	1	3
19	будет ли она	1	2
20	смысле в каком	2	2
21	и т п	1	2
22	ответ на это	1	2
23	не могут быть	2	2
24	потому что мы	1	2
25	и в том	1	2
26	или лучше сказать	1	2
27	есть одно из	1	2
28	и в самом	3	2
29	к нему как	1	2
30	между людьми и	1	1
31	от человека к	1	1
32	том смысле что	1	1
33	не без основания	1	1
34	но он сам	1	1
35	потому что в	3	1
36	а не в	4	1
37	в ряду других	1	1
38	в себе самом	1	1
39	в самом деле	1	1
40	еще ничего но	1	1
41	может быть назван	1	1
42	было для него	1	1
43	глубины человеческой природы	3	1
44	и та же	1	1
45	всего что есть	1	1
46	есть то что	1	1
47	в том случае	1	1
48	не могут понять	1	1
49	то время как	2	1
50	том смысле в	1	1
51	в этих словах	1	1
52	и это верно	1	1
53	своей души и	1	1
54	не имеет для	1	1
55	человека и все	1	1
56	в человеке и	2	1
57	он уже не	2	1
58	но и с	1	1
59	он не знает	2	1
60	одна и та	1	1
61	потому что есть	2	1
62	могут быть даны	1	1
63	тем что в	1	1
64	чтобы иметь право	1	1
65	бросается в глаза	1	1
66	же прежде всего	1	1
67	непосредственно примыкает к	1	1
68	лишь в том	1	1
69	о том что	1	1
70	это значит что	3	1
71	возможны только в	1	1
72	но и от	1	1
73	так же мало	1	1
74	но не в	1	1
75	для нас в	1	1
76	все существует лишь	1	1
77	не только от	1	1
78	но не только	1	1
79	он не видит	1	1
80	не имеет смысла	1	1
