N	3gram	Bakhtin_Pr_4	DiskursI
1	в том что	2	13
2	с одной стороны	1	9
3	по отношению к	5	9
4	о том что	2	5
5	то же время	5	4
6	к тому же	1	4
7	в отличие от	3	4
8	в то же	5	3
9	с другой стороны	3	3
10	той или иной	2	3
11	но при этом	1	3
12	отношения говорящего к	1	3
13	не может быть	8	3
14	большей или меньшей	2	2
15	можно сказать что	2	2
16	то есть в	4	2
17	в значительной степени	1	2
18	более или менее	3	2
19	не только в	1	2
20	в том числе	4	2
21	том числе и	3	2
22	сами по себе	2	2
23	одной стороны и	1	2
24	по своей природе	2	2
25	в данном случае	1	2
26	дистанцию по отношению	1	1
27	диалогические отношения в	1	1
28	уст в уста	1	1
29	с самого начала	1	1
30	не было и	1	1
31	и даже не	1	1
32	в большинстве случаев	8	1
33	до настоящего времени	1	1
34	в связи с	1	1
35	перед нами два	1	1
36	одним и тем	1	1
37	не могли быть	1	1
38	из уст в	1	1
39	времени и пространства	1	1
40	в котором он	1	1
41	по своей жанровой	1	1
42	как и в	3	1
43	пространственную и временную	1	1
44	до сих пор	8	1
45	том что было	1	1
46	в этом смысле	2	1
47	и в то	1	1
48	отношения в том	1	1
49	диалогические отношения говорящего	1	1
50	строгом смысле а	1	1
51	и не могло	1	1
52	дело не в	1	1
53	хотя бы и	1	1
54	в xix веке	1	1
55	прежде всего как	1	1
56	и тем же	1	1
57	в этом случае	1	1
58	не сводятся к	1	1
59	и не может	7	1
60	говорящего к собственному	1	1
61	и то же	1	1
62	или меньшей степени	2	1
63	так и в	1	1
64	сам по себе	3	1
65	предмет о котором	1	1
66	во всех его	2	1
67	языка и не	1	1
68	как раз и	3	1
69	лицом к лицу	1	1
70	нет и не	2	1
71	не могло быть	1	1
72	как точка зрения	1	1
73	слово не становится	1	1
74	в строгом смысле	2	1
75	но все же	1	1
76	чужой речи и	1	1
77	прежде всего в	1	1
78	рассказ о том	1	1
79	в свое время	2	1
80	в этом последнем	1	1
81	всех его разновидностях	1	1
82	то есть к	1	1
83	с точки зрения	9	1
84	что он ничего	1	1
85	дело в том	2	1
86	в произведении и	1	1
87	к себе и	1	1
88	и диалогические отношения	1	1
89	также и в	1	1
90	том что он	1	1
91	числе и диалогические	1	1
92	авторства могут быть	1	1
93	в известной степени	1	1
94	одно и то	1	1
95	а не как	1	1
96	как и все	4	1
97	во всяком случае	1	1
98	в том или	1	1
99	было и не	1	1
100	в большей или	2	1
101	в пиковой даме	1	1
102	в этом пункте	1	1
103	к собственному слову	1	1
