N	3gram	Tiupa_Hudo_1	VerxiiNi
1	с одной стороны	1	7
2	с точки зрения	3	6
3	во всяком случае	1	6
4	более или менее	1	5
5	до сих пор	2	5
6	друг с другом	1	5
7	о том что	9	4
8	но все же	1	4
9	так или иначе	2	3
10	в конце концов	1	3
11	в связи с	3	3
12	тем не менее	3	3
13	в том что	6	3
14	и потому что	1	2
15	то же самое	1	2
16	сих пор еще	1	2
17	в этом отношении	3	2
18	заключает в себе	1	2
19	с этой точки	1	2
20	не только для	1	2
21	так и от	2	2
22	между этими двумя	1	2
23	то же время	8	2
24	ничего общего с	1	2
25	этой точки зрения	1	2
26	но и для	1	2
27	с самого начала	1	2
28	на то что	2	2
29	в то же	8	2
30	на пути к	1	2
31	и в этом	1	2
32	а между тем	1	1
33	не может не	1	1
34	к созерцательности и	1	1
35	так и остается	1	1
36	состоит в том	1	1
37	лишь то что	1	1
38	по отношению к	8	1
39	в самом деле	4	1
40	о том как	2	1
41	в таком случае	1	1
42	и в то	1	1
43	до известной степени	1	1
44	сами по себе	1	1
45	не исключая и	1	1
46	что все эти	1	1
47	в первую очередь	2	1
48	вследствие того что	1	1
49	с тем что	1	1
50	при этом не	1	1
51	он равнодушен к	1	1
52	уже говорили о	1	1
53	в данном случае	1	1
54	не потому что	1	1
55	в первом случае	1	1
56	но в то	3	1
57	но при этом	1	1
58	в отличие от	1	1
59	можно сказать лишь	1	1
60	это главным образом	1	1
61	не в том	2	1
62	мы уже говорили	1	1
63	не только от	1	1
64	еще и потому	1	1
65	как бы в	1	1
66	речь идет о	2	1
67	а в том	1	1
68	не может быть	2	1
69	так и в	1	1
70	в свою очередь	1	1
71	не только не	1	1
72	но и от	1	1
73	могло бы быть	1	1
