N	2gram	Vinokur_St_3	Analitik
1	в этом	24	18
2	не только	12	16
3	и в	25	16
4	в частности	1	16
5	так и	5	15
6	как и	4	14
7	своего рода	3	12
8	но и	9	12
9	и не	10	12
10	том что	15	12
11	в том	20	12
12	в качестве	4	11
13	могут быть	2	10
14	а не	5	10
15	как бы	6	10
16	в этой	14	9
17	лишь в	4	9
18	ничего не	4	9
19	в пределах	1	9
20	то есть	2	9
21	всего лишь	1	8
22	в целом	4	8
23	представляет собой	1	8
24	состоит в	4	8
25	в данном	1	8
26	не случайно	1	8
27	особенно в	1	7
28	к тому	2	7
29	а также	4	7
30	о том	8	7
31	то что	12	7
32	в самом	2	6
33	и на	6	6
34	но в	5	6
35	говорить о	3	6
36	может быть	19	6
37	с другой	5	6
38	на себя	1	5
39	в сторону	1	5
40	и к	4	5
41	с одной	2	5
42	говорит о	1	5
43	в контексте	1	5
44	того же	2	4
45	по преимуществу	1	4
46	в поле	1	4
47	в сущности	2	4
48	совпадает с	1	4
49	но не	2	4
50	за пределы	1	4
51	было написано	1	4
52	как в	6	4
53	в своем	1	4
54	на этом	3	4
55	то же	5	4
56	и тем	4	4
57	для него	3	4
58	точки зрения	7	4
59	не в	6	4
60	в конце	6	4
61	только не	1	4
62	не менее	2	4
63	можно сказать	4	4
64	времени в	1	4
65	во всех	2	4
66	только в	6	4
67	и его	3	4
68	уже не	3	4
69	не так	3	4
70	у него	9	4
71	как раз	3	4
72	одной стороны	3	4
73	не может	7	4
74	о его	1	4
75	все это	8	4
76	я и	3	3
77	и то	1	3
78	в их	3	3
79	мы имеем	5	3
80	ему в	1	3
81	проявляется в	1	3
82	не был	2	3
83	ответ на	5	3
84	в центре	4	3
85	что касается	7	3
86	самом начале	1	3
87	на его	4	3
88	и если	3	3
89	и сам	1	3
90	его от	1	3
91	попадает в	3	3
92	несмотря на	3	3
93	не мог	2	3
94	в эту	4	3
95	место в	6	3
96	не столько	2	3
97	на фоне	1	3
98	тем не	2	3
99	по крайней	4	3
100	случае в	2	3
101	на себе	2	3
102	как о	2	3
103	никогда не	2	3
104	казалось бы	1	3
105	со своим	1	3
106	тем что	19	3
107	этом отношении	4	3
108	той или	1	3
109	как мы	2	3
110	приводит к	1	3
111	можно было	1	3
112	в результате	2	3
113	если бы	4	3
114	в словах	3	3
115	и т.д	1	3
116	одного из	2	3
117	того или	1	3
118	борьба с	2	3
119	что и	1	3
120	крайней мере	4	3
121	и все	1	3
122	одной из	2	3
123	так что	11	3
124	есть в	2	3
125	из них	1	3
126	обращает на	1	3
127	при всей	2	3
128	со стороны	3	3
129	или иной	2	3
130	таков что	1	3
131	именно в	1	3
132	было бы	7	3
133	в речи	4	3
134	в рамках	2	3
135	из трех	1	3
136	и за	2	3
137	или иного	1	3
138	тому как	1	3
139	этого слова	2	3
140	или в	2	3
141	бы в	1	3
142	прежде всего	10	3
143	себя внимание	1	3
144	а в	6	3
145	не знает	1	3
146	речь идет	2	2
147	отношения к	1	2
148	перед лицом	1	2
149	и до	1	2
150	из его	7	2
151	той же	2	2
152	а как	4	2
153	в реплике	2	2
154	из своих	1	2
155	и он	1	2
156	еще не	2	2
157	он был	3	2
158	на основе	2	2
159	в общем	4	2
160	и я	1	2
161	как говорит	1	2
162	в значительной	1	2
163	на то	5	2
164	он не	5	2
165	от которого	1	2
166	что она	1	2
167	таким образом	10	2
168	а затем	1	2
169	что все	3	2
170	на этой	1	2
171	это было	8	2
172	на протяжении	4	2
173	этом смысле	4	2
174	по себе	1	2
175	соответствии с	1	2
176	он и	2	2
177	жизни но	2	2
178	и з	1	2
179	в этих	11	2
180	в своей	4	2
181	в котором	5	2
182	с точки	4	2
183	но эта	1	2
184	в устах	4	2
185	даже в	1	2
186	в то	7	2
187	дело не	2	2
188	л и	1	2
189	не имеет	2	2
190	на котором	2	2
191	на него	1	2
192	же время	3	2
193	особого рода	1	2
194	всего в	4	2
195	с ее	2	2
196	те же	1	2
197	на которую	1	2
198	нас к	2	2
199	с ним	1	2
200	что в	19	2
201	произведения как	2	2
202	в произведении	1	2
203	его в	1	2
204	и во	2	2
205	собственно говоря	1	2
206	между тем	6	2
207	в его	12	2
208	вообще и	1	2
209	того что	5	2
210	один из	2	2
211	поле зрения	1	2
212	для всех	1	2
213	в поэзии	2	2
214	а то	2	2
215	одно из	2	2
216	и их	1	2
217	в одном	1	2
218	вовсе не	2	2
219	не о	1	2
220	представляют собой	1	2
221	что случилось	1	2
222	его как	3	2
223	была бы	4	2
224	о чем	1	2
225	должна была	4	2
226	вступает в	1	2
227	вместе с	2	2
228	так же	1	2
229	такого рода	5	2
230	по существу	1	2
231	в состоянии	1	2
232	можно отметить	1	2
233	и для	4	2
234	этого рода	3	2
235	при таком	1	2
236	в двух	1	2
237	внимание на	2	2
238	персонажей то	1	2
239	сказать что	4	2
240	другой стороны	5	2
241	речи и	1	2
242	т е	8	2
243	все что	1	2
244	к этому	3	2
245	как известно	1	1
246	и т	8	1
247	также и	1	1
248	не своими	1	1
249	самом деле	2	1
250	значении этого	1	1
251	переход от	1	1
252	говорилось выше	1	1
253	идет о	1	1
254	в первом	1	1
255	отношения между	5	1
256	и больше	1	1
257	есть не	1	1
258	принадлежит только	1	1
259	свидетельствует и	1	1
260	второго и	1	1
261	темы в	1	1
262	почти все	1	1
263	событий и	1	1
264	в сцене	6	1
265	то его	1	1
266	поэтического слова	2	1
267	быть в	1	1
268	в чем	4	1
269	тем как	2	1
270	это имеет	1	1
271	не требует	1	1
272	то он	2	1
273	сил и	1	1
274	тех же	1	1
275	не все	1	1
276	очевидно что	1	1
277	а и	1	1
278	существенно что	1	1
279	речи всех	1	1
280	и небольшой	1	1
281	зрения которая	1	1
282	независимо от	5	1
283	из уст	1	1
284	однако не	1	1
285	применении к	1	1
286	когда он	1	1
287	и наконец	3	1
288	г л	1	1
289	и тот	2	1
290	его к	2	1
291	тем же	1	1
292	более или	1	1
293	в которой	4	1
294	в литературном	1	1
295	интересно что	6	1
296	так или	1	1
297	все эти	3	1
298	бы не	1	1
299	из этих	6	1
300	которые в	2	1
301	еще один	1	1
302	в известном	1	1
303	раз в	1	1
304	по форме	5	1
305	темы с	1	1
306	как он	1	1
307	но на	1	1
308	так сказать	2	1
309	по словам	1	1
310	в нем	1	1
311	в статье	2	1
312	и легко	1	1
313	не получается	2	1
314	всех этих	3	1
315	не к	1	1
316	не как	2	1
317	прочим и	1	1
318	об отношении	1	1
319	i в	1	1
320	свое время	1	1
321	чтобы в	2	1
322	несколько ниже	1	1
323	этой темы	2	1
324	целого ряда	1	1
325	и по	2	1
326	в каждом	4	1
327	что такой	1	1
328	начинается словами	1	1
329	самого автора	1	1
330	об этом	5	1
331	самим собой	1	1
332	первый и	1	1
