N	3gram	Berdyaev_M_1	Problema
1	о том что	1	14
2	во всяком случае	1	10
3	в конце концов	2	7
4	как будто бы	2	5
5	до сих пор	2	4
6	есть прежде всего	1	4
7	в том что	1	4
8	что иное как	1	3
9	хотя бы и	2	3
10	но и в	4	3
11	не может быть	17	3
12	даже и в	1	3
13	это значит что	3	3
14	не что иное	1	3
15	и есть то	1	2
16	в самом деле	1	2
17	можно было бы	1	2
18	есть то что	1	2
19	в том случае	1	2
20	может быть и	1	2
21	для того чтобы	2	2
22	не только в	2	2
23	имеем в виду	1	2
24	друг к другу	1	2
25	когда мы говорим	1	2
26	в себе в	1	2
27	это и есть	4	2
28	ставить и решать	1	2
29	на том что	1	1
30	не может не	2	1
31	а вовсе не	1	1
32	будет ли она	1	1
33	потому что не	1	1
34	он не может	2	1
35	что дважды два	1	1
36	для человеческого сознания	2	1
37	он не был	1	1
38	вот оказывается что	1	1
39	и не может	2	1
40	том случае если	1	1
41	в зависимости от	1	1
42	то нет и	3	1
43	между тем как	1	1
44	к тому чтобы	2	1
45	но это не	1	1
46	и потому в	1	1
47	что в конце	1	1
48	вместе с тем	5	1
49	настаивать на том	1	1
50	к учению о	2	1
51	то время как	2	1
52	но и самый	1	1
53	что во всяком	1	1
54	в этих словах	1	1
55	вообще не существует	1	1
56	тем что он	2	1
57	но всегда в	1	1
58	это прежде всего	1	1
59	и ничего не	1	1
60	с разных сторон	1	1
61	который так и	1	1
62	все более и	1	1
63	она все же	1	1
64	потому что мы	1	1
65	хотя бы даже	1	1
66	для нас в	1	1
67	в глубине самого	1	1
68	от того что	1	1
69	в то время	2	1
70	ни с чем	1	1
71	более и более	1	1
72	потому что ведь	1	1
73	мы имеем в	1	1
74	самого себя и	1	1
75	в вопросе о	1	1
76	может быть так	1	1
77	и когда мы	1	1
78	во многих отношениях	1	1
79	и переходит в	2	1
80	что до сих	1	1
81	вовсе не так	1	1
