N	2gram	Berdyaev_M_2	Otkroven
1	о человеке	1	29
2	у него	22	22
3	человеческой природы	7	20
4	и в	46	19
5	у достоевского	34	19
6	но и	15	13
7	и не	18	13
8	в этом	20	12
9	из подполья	2	11
10	человека в	14	11
11	не в	9	11
12	не только	18	11
13	может быть	21	11
14	а не	13	11
15	человека и	7	10
16	вопрос о	6	10
17	в нем	22	10
18	и все	5	10
19	в самой	1	9
20	прежде всего	12	9
21	к человеку	12	9
22	не было	11	9
23	в человеке	2	9
24	никогда не	18	9
25	потому что	12	9
26	он был	9	8
27	и он	11	8
28	великий инквизитор	1	8
29	ивана карамазова	7	7
30	в его	5	7
31	человек не	7	7
32	он не	10	7
33	в глубине	3	7
34	лишь в	2	7
35	достоевского он	1	7
36	до конца	4	7
37	нет ничего	3	7
38	но он	11	7
39	великом инквизиторе	2	6
40	человеческой души	1	6
41	человеческой личности	7	6
42	о великом	2	6
43	как и	13	6
44	все это	1	6
45	достоевский раскрывает	5	5
46	отношение к	8	5
47	в том	3	5
48	в самом	5	5
49	в этой	7	5
50	для него	18	5
51	в россии	3	5
52	достоевского и	2	5
53	раскрывается в	1	5
54	все герои	1	5
55	в творчестве	3	5
56	для достоевского	8	5
57	русского человека	7	5
58	а в	2	5
59	то что	5	5
60	записок из	1	5
61	человеку и	3	5
62	о боге	1	4
63	достоевского все	1	4
64	достоевского есть	6	4
65	он сам	6	4
66	в преступлении	1	4
67	с его	4	4
68	все в	1	4
69	достоевского не	3	4
70	все эти	1	4
71	герои достоевского	2	4
72	него и	2	4
73	на земле	8	4
74	что не	2	4
75	в идиоте	2	4
76	не может	15	4
77	в романах	1	4
78	т е	4	4
79	русского духа	2	4
80	достоевский не	5	4
81	того чтобы	4	4
82	человек и	2	4
83	есть лишь	17	4
84	русский человек	3	4
85	о бессмертии	3	4
86	и его	5	4
87	всегда есть	2	4
88	что в	4	4
89	только и	4	4
90	нем нет	2	3
91	и есть	8	3
92	в бесах	6	3
93	достоевского в	2	3
94	быть может	2	3
95	о том	3	3
96	самой глубины	1	3
97	самого достоевского	3	3
98	во имя	16	3
99	к нему	2	3
100	преступлении и	1	3
101	сделать людей	1	3
102	человека его	2	3
103	подполья и	2	3
104	было бы	1	3
105	того что	6	3
106	когда он	1	3
107	раскольникова ставрогина	1	3
108	со злом	3	3
109	что он	7	3
110	и ее	1	3
111	это за	1	3
112	и пределы	1	3
113	в себе	10	3
114	о природе	1	3
115	записках из	1	3
116	человеческого духа	5	3
117	в записках	1	3
118	и вот	5	3
119	не могут	1	3
120	для того	5	3
121	что человек	2	3
122	это не	5	3
123	к гибели	4	3
124	сердце в	1	3
125	всякой человеческой	1	3
126	достоевского было	1	3
127	никто не	1	3
128	достоевский был	9	3
129	глубине человека	1	3
130	как бы	8	3
131	романах достоевского	1	3
132	с ним	3	3
133	в русской	6	3
134	и от	3	3
135	до самой	1	3
136	в этих	2	3
137	более всего	1	3
138	хотя бы	7	3
139	в своих	3	3
140	влечет к	3	3
141	и наказании	1	3
142	он лишь	2	3
143	все что	4	3
144	и с	3	2
145	те которые	3	2
146	и то	1	2
147	взял все	2	2
148	о любви	1	2
149	в ее	1	2
