N	3gram	Propp_Isto_3	Mirosoze
1	не может быть	1	17
2	вместе с тем	1	5
3	но и в	1	4
4	и вместе с	1	4
5	это и есть	1	4
6	с тем что	1	3
7	по отношению к	2	2
8	до сих пор	5	2
9	в том смысле	1	2
10	в них нет	1	2
11	то время как	2	2
12	не только в	1	2
13	в то время	2	2
14	и есть что	1	1
15	на том что	1	1
16	что иное как	3	1
17	вопрос и о	1	1
18	с одним из	2	1
19	в ином мире	4	1
20	о себе и	1	1
21	к этой мысли	1	1
22	в каком это	1	1
23	может быть и	1	1
24	отличает его от	1	1
25	так как они	1	1
26	во всяком случае	2	1
27	к ней в	1	1
28	от разрушения и	1	1
29	и в том	1	1
30	них нет ничего	1	1
31	что и в	2	1
32	он ничего не	2	1
33	мы имеем в	2	1
34	о том что	2	1
35	не что иное	3	1
36	можно было бы	1	1
37	в том что	5	1
38	она не может	1	1
