N	3gram	Bakhtin_fo_1	Mirosoze
1	не может быть	3	8
2	друг к другу	2	5
3	для того чтобы	5	4
4	так же как	2	3
5	и в этом	1	3
6	у него нет	1	3
7	же как и	2	3
8	в высшей степени	1	3
9	до сих пор	3	3
10	о том что	1	2
11	как и в	2	2
12	с самим собою	3	2
13	может быть лишь	1	2
14	бы друг друга	1	2
15	может быть и	2	2
16	так как он	1	2
17	в чем не	2	2
18	по отношению к	3	2
19	в том что	2	2
20	никогда не бывает	1	2
21	мы еще вернемся	1	2
22	в нем нет	2	2
23	ни в чем	2	2
24	также и в	2	2
25	и тогда когда	1	1
26	не для того	2	1
27	еще вернемся в	1	1
28	так как нет	1	1
29	во всех его	1	1
30	огромную роль в	1	1
31	как в самом	1	1
32	судьбу человека в	1	1
33	себя в этом	1	1
34	во всем и	1	1
35	по сравнению с	2	1
36	по своей природе	1	1
37	в свои права	1	1
38	смысле слова он	1	1
39	а следовательно и	1	1
40	и в словах	1	1
41	для себя и	1	1
42	в противоречии с	1	1
43	на протяжении всего	1	1
44	друг на друга	2	1
45	личности и ее	1	1
46	том что в	1	1
47	в разных местах	1	1
48	находится в противоречии	1	1
49	по природе своей	2	1
50	сих пор не	1	1
51	в этом мире	2	1
52	лишь один из	1	1
53	друг друга то	1	1
54	человек в нем	1	1
55	сама по себе	1	1
56	и добродетели и	1	1
57	в конце романа	5	1
58	но в нем	1	1
59	а не о	1	1
60	но он не	1	1
61	в значительной степени	1	1
62	и братья карамазовы	1	1
63	в этом отношении	3	1
64	той или иной	2	1
65	в нем раскрывается	1	1
66	очень характерно для	1	1
67	том что все	1	1
68	мы видим в	1	1
69	свою судьбу то	1	1
70	науки и искусства	1	1
71	смысле этого слова	1	1
72	в стороне от	1	1
73	преступление и наказание	1	1
74	человека в его	3	1
75	та или иная	1	1
76	в себе и	1	1
77	но и в	2	1
78	оно прежде всего	1	1
79	не было в	1	1
80	со всеми его	2	1
81	с самим собой	2	1
82	в жизни героев	3	1
83	с точки зрения	2	1
