N	2gram	Berdyaev_N_1	Analitik
1	может быть	7	29
2	в том	8	27
3	не может	16	22
4	и не	11	21
5	и в	16	18
6	но и	3	17
7	а не	17	17
8	не только	5	15
9	не в	6	14
10	в этом	7	13
11	как и	7	13
12	в его	1	13
13	том что	2	12
14	в себе	2	11
15	но не	2	10
16	в то	2	9
17	а в	2	9
18	в мире	3	8
19	но в	2	8
20	нуждается в	1	8
21	в той	1	8
22	не есть	3	8
23	том чтобы	2	7
24	к тому	3	7
25	особого рода	1	7
26	перед лицом	1	6
27	в сущности	1	6
28	отличие от	1	6
29	в самом	1	6
30	это не	4	6
31	в своей	3	6
32	в отличие	1	6
33	в основе	3	6
34	по своей	1	6
35	должен быть	5	6
36	времени и	2	6
37	только в	1	6
38	себя в	2	6
39	то что	4	6
40	прежде всего	4	6
41	и на	2	5
42	в этой	1	5
43	лишь в	6	5
44	и его	1	5
45	о том	4	5
46	и того	1	5
47	и т.п	2	5
48	такого рода	2	5
49	что в	9	5
50	того же	1	4
51	с другими	1	4
52	не всегда	1	4
53	и более	1	4
54	по себе	1	4
55	в области	1	4
56	ни в	6	4
57	могут быть	2	4
58	так и	2	4
59	не с	1	4
60	с ним	1	4
61	с другой	3	4
62	уже не	2	4
63	для того	1	4
64	себя и	1	4
65	во времени	1	4
66	вместе с	2	4
67	и есть	10	3
68	место в	2	3
69	это всегда	1	3
70	вступает в	1	3
71	и к	5	3
72	в нем	5	3
73	он не	8	3
74	по природе	1	3
75	в силу	1	3
76	подобно тому	3	3
77	не будет	7	3
78	в котором	1	3
79	своего рода	1	3
80	того чтобы	2	3
81	того и	1	3
82	как будто	2	3
83	не могут	1	3
84	оно может	1	3
85	а также	1	3
86	к нему	1	3
87	с его	6	3
88	еще не	3	3
89	вопрос об	1	3
90	с одной	2	3
91	вопроса о	1	3
92	обратиться к	1	3
93	не случайно	1	3
94	одной стороны	2	3
95	на уровне	2	3
96	что не	1	3
97	тому как	3	3
98	быть не	1	3
99	что мы	1	3
100	которая в	1	3
101	и все	4	3
102	хотя бы	2	3
103	будто бы	1	3
104	что он	1	3
105	том числе	1	3
106	он может	1	2
107	на место	1	2
108	на себя	1	2
109	же мере	1	2
110	то он	1	2
111	нет и	2	2
112	за пределы	3	2
113	в которой	1	2
114	природе своей	1	2
115	все эти	2	2
116	из этих	1	2
117	думать что	2	2
118	и до	1	2
119	одному из	1	2
120	не к	2	2
121	свидетельствует о	1	2
122	и с	2	2
123	из них	1	2
124	личность в	2	2
125	так как	1	2
126	для чего	2	2
127	рода и	1	2
128	такой же	2	2
129	одного и	1	2
130	перед собой	1	2
131	не столько	1	2
132	вопрос о	3	2
133	только для	1	2
134	творчества и	1	2
135	том и	2	2
136	для этого	2	2
137	никогда не	6	2
138	потому что	4	2
139	и заключается	2	2
140	в категориях	2	2
141	для себя	1	2
142	роль в	2	2
143	быть может	4	2
144	ни одно	1	2
145	не могу	1	2
146	еще в	1	2
147	должно быть	4	2
148	можно сказать	1	2
149	может иметь	1	2
150	ли он	1	2
151	который в	2	2
152	или не	1	2
153	в новом	2	2
154	сами по	1	2
155	бытия и	1	2
156	было бы	1	2
157	и потому	4	2
158	личность человека	1	2
159	основанная на	1	2
160	нет ничего	1	2
161	другой стороны	2	2
162	других людей	1	2
163	культуры в	5	2
164	обращена к	1	1
165	зависимость от	1	1
166	человека и	3	1
167	мира не	1	1
168	смысле слова	3	1
169	этого мира	1	1
170	по преимуществу	1	1
171	не имеют	2	1
172	должна быть	3	1
173	в зависимости	1	1
174	мы уже	1	1
175	мы не	2	1
176	равно как	2	1
177	оно есть	1	1
178	и другая	1	1
179	как я	1	1
180	как не	8	1
181	зависимости от	1	1
182	не способен	1	1
183	в ней	5	1
184	на нем	1	1
185	быть в	2	1
186	в чем	1	1
187	во всех	3	1
188	в ее	3	1
189	как в	3	1
190	будто не	1	1
191	есть в	2	1
192	помнить что	2	1
193	рода в	1	1
194	о самом	1	1
195	а во-вторых	1	1
196	он в	1	1
197	в известном	1	1
198	движение от	2	1
199	вера в	1	1
200	вернуться к	2	1
201	не значит	3	1
202	возвращение к	3	1
203	т.п по	1	1
204	мысли как	1	1
205	всех своих	1	1
206	содержанию от	1	1
207	в основу	1	1
208	но все	1	1
209	от нее	1	1
210	что все	2	1
211	в состоянии	1	1
212	том случае	1	1
213	в будущее	1	1
214	который и	1	1
215	и целиком	1	1
216	для них	1	1
217	в них	4	1
218	быть понят	1	1
219	с тем	3	1
220	он и	1	1
221	абсолютная человеческая	1	1
222	в этих	1	1
223	все более	1	1
224	во время	1	1
225	она сама	1	1
226	в такой	1	1
227	жизни с	1	1
228	времени не	1	1
229	но он	1	1
230	их в	1	1
231	не должно	1	1
232	есть всегда	1	1
233	нас к	1	1
234	с миром	1	1
235	не менее	4	1
236	одна из	2	1
237	о природе	1	1
238	под этим	1	1
239	не ставит	2	1
240	во всем	1	1
241	но это	6	1
242	в каком	1	1
243	споры о	2	1
244	к себе	1	1
245	он видел	1	1
246	заключается что	2	1
247	числе и	1	1
248	оно не	1	1
249	на это	1	1
250	но сама	1	1
251	он нуждается	1	1
252	в виду	1	1
253	людей в	1	1
254	чтобы быть	1	1
255	культуры и	7	1
256	к тем	1	1
257	в глубине	1	1
258	познания и	2	1
259	и должно	2	1
260	более высокой	1	1
261	и что	2	1
262	теперь и	1	1
263	времени в	2	1
264	это была	1	1
265	и во	1	1
266	и научной	1	1
267	на всех	1	1
268	в которую	1	1
269	они являются	1	1
270	от формализма	1	1
271	и только	1	1
272	все время	2	1
273	своей природе	1	1
274	в формах	1	1
275	друг друга	1	1
276	бытия в	2	1
277	и жизни	1	1
278	все они	2	1
279	для всех	1	1
280	существования и	1	1
281	от других	1	1
282	к своим	1	1
283	всяком случае	1	1
284	слова в	1	1
285	для другого	1	1
286	у него	2	1
287	и рождается	1	1
288	и вместе	1	1
289	в последние	1	1
290	и даже	2	1
291	выходит за	1	1
292	в истинном	1	1
293	до сих	1	1
294	одну из	1	1
295	и быть	1	1
296	было и	1	1
297	во внешней	1	1
298	нового времени	12	1
299	творческий процесс	1	1
300	превращается в	1	1
301	не было	4	1
302	не означает	3	1
303	человеческой жизни	1	1
304	должны помнить	1	1
305	долгое время	1	1
306	и особенно	1	1
307	зачем же	1	1
308	как это	2	1
309	по своему	4	1
310	в мир	1	1
311	начало нового	3	1
312	мира с	1	1
313	как того	1	1
314	известном смысле	1	1
315	сих пор	1	1
316	выход из	1	1
317	этом смысле	2	1
318	она должна	1	1
319	только одна	1	1
320	и для	4	1
321	случае если	1	1
322	и от	2	1
323	все что	1	1
324	понять что	1	1
325	мира и	2	1
326	я не	2	1
327	хотя и	2	1
328	мы должны	1	1
329	самом себе	1	1
330	есть уже	1	1
331	жизни в	3	1
332	все еще	1	1
333	в свою	1	1
334	лишь по	1	1
335	не знает	6	1
336	возможно лишь	1	1
337	привел к	1	1
338	жизни и	8	1
339	они не	1	1
340	вот этот	1	1
341	который не	1	1
342	во всяком	1	1
343	и личности	1	1
