N	3gram	Vygotskiy__3	RusskieA
1	в том что	11	15
2	и т д	4	9
3	состоит в том	1	8
4	вместе с тем	2	6
5	как мы увидим	2	5
6	о том что	3	4
7	к тому что	2	4
8	с точки зрения	9	3
9	мы не можем	2	3
10	что в этом	1	2
11	как это имеет	1	2
12	может быть и	1	2
13	так как они	1	2
14	не только у	1	2
15	в свою очередь	2	2
16	мы увидим ниже	2	2
17	но все же	1	2
18	с тем и	1	2
19	это имеет место	2	2
20	по этому поводу	1	2
21	ни о каких	1	1
22	потому что он	1	1
23	на самом деле	2	1
24	по его словам	2	1
25	в тех случаях	1	1
26	подобно тому как	1	1
27	как будто нет	1	1
28	переходит к описанию	1	1
29	идет не о	1	1
30	увидим ниже что	1	1
31	и та же	2	1
32	что в один	1	1
33	в этом отношении	1	1
34	что не только	1	1
35	и т п	5	1
36	можно было бы	1	1
37	в первой половине	1	1
38	и в своем	1	1
39	имеет совершенно другой	1	1
40	не потому что	1	1
41	в один из	2	1
42	она не имеет	2	1
43	в отличие от	1	1
44	и в этом	3	1
45	и как бы	2	1
46	на основании этих	1	1
47	не только как	1	1
48	потому что она	1	1
49	мы не нашли	1	1
50	во всяком случае	2	1
51	одна и та	1	1
52	в целом ряде	1	1
53	бросается в глаза	1	1
54	здесь мы имеем	1	1
55	себе дело так	1	1
56	и все другие	1	1
57	в одном и	1	1
58	в русском языке	1	1
59	на две части	1	1
60	так например в	1	1
61	в то время	2	1
62	для этого нет	1	1
63	и что следовательно	1	1
64	никак не может	1	1
65	с тем что	1	1
66	можно показать что	1	1
67	легко заметить что	1	1
68	можно сказать что	1	1
69	не более как	1	1
70	на то что	12	1
71	смысл и назначение	1	1
72	совершенно очевидно что	1	1
73	мы видим что	7	1
74	потому что они	2	1
75	мы увидим что	7	1
76	в данном случае	2	1
77	как мы видели	2	1
78	но этого мало	1	1
