N	2gram	Savitsky_P_1	Myshleni
1	и в	14	28
2	в том	9	28
3	то что	4	28
4	в этом	10	27
5	в развитии	1	24
6	того что	2	24
7	потому что	3	22
8	том что	4	19
9	не может	4	19
10	только в	7	18
11	в силу	2	17
12	что в	4	17
13	не только	17	16
14	по сравнению	2	15
15	так же	1	15
16	сравнению с	1	14
17	точки зрения	3	13
18	может быть	5	13
19	в сфере	2	12
20	и не	12	11
21	что мы	3	11
22	как бы	4	11
23	к другим	1	11
24	но не	3	10
25	с точки	3	10
26	в отношении	10	10
27	того чтобы	1	10
28	но и	6	10
29	могли бы	1	9
30	было бы	6	9
31	мы можем	1	9
32	в самом	1	8
33	тем самым	3	8
34	никогда не	1	8
35	для того	3	8
36	еще не	1	8
37	как известно	1	7
38	то же	9	7
39	в своем	4	7
40	в которой	1	7
41	в нем	3	7
42	заключается в	3	7
43	если бы	4	7
44	мы видим	1	7
45	и других	2	7
46	там где	1	7
47	вместе с	1	7
48	что оно	1	7
49	же как	1	6
50	мы не	3	6
51	и как	3	6
52	и к	4	6
53	как и	1	6
54	к предмету	1	6
55	не имеет	1	6
56	тогда когда	1	6
57	и что	1	6
58	его в	1	6
59	как раз	2	6
60	развития в	1	6
61	в области	11	6
62	в то	7	6
63	вопрос о	1	5
64	и на	1	5
65	но в	9	5
66	в этой	1	5
67	что все	1	5
68	на этой	1	5
69	и тем	2	5
70	с тем	3	5
71	с другом	1	5
72	могут быть	3	5
73	в пределах	8	5
74	это не	3	5
75	в свете	1	5
76	иначе как	1	5
77	думается что	1	5
78	друг с	1	5
79	например в	2	4
80	и то	1	4
81	переход от	2	4
82	мы и	1	4
83	во всех	2	4
84	с этим	2	4
85	в себе	3	4
86	на то	1	4
87	в наших	1	4
88	знаем что	1	4
89	не в	5	4
90	что при	1	4
91	на основе	1	4
92	как по	1	4
93	ясно что	1	4
94	связь между	1	4
95	что и	1	4
96	именно в	2	4
97	в качестве	9	4
98	мы знаем	1	4
99	друг друга	1	4
100	в школу	1	4
101	в частности	2	4
102	к жизни	1	4
103	они не	1	4
104	отношения к	2	3
105	с его	1	3
106	из этих	1	3
107	хотя и	3	3
108	представляет собой	1	3
109	движение и	1	3
110	как оно	1	3
111	связанные с	1	3
112	и по	1	3
113	в каждом	1	3
114	с того	1	3
115	в ином	1	3
116	в них	2	3
117	по себе	4	3
118	что с	1	3
119	представляют собой	1	3
120	только то	1	3
121	в себя	1	3
122	те же	1	3
123	и здесь	1	3
124	в его	2	3
125	и только	1	3
126	в сферу	1	3
127	есть в	2	3
128	представить себе	1	3
129	в психологии	1	3
130	только к	1	3
131	а не	2	3
132	но как	1	3
133	на фоне	1	3
134	тем и	1	3
135	мы должны	4	3
136	отношении к	5	3
137	в ходе	1	3
138	что то	1	3
139	как на	2	3
140	гласит что	1	2
141	что уже	1	2
142	что именно	1	2
143	прежде всего	3	2
144	все же	1	2
145	если он	1	2
146	но на	1	2
147	мысли и	1	2
148	этом смысле	1	2
149	сказывается в	2	2
150	этой области	1	2
151	в этих	1	2
152	что если	1	2
153	в котором	4	2
154	в которых	5	2
155	друг другу	2	2
156	и более	1	2
157	что эта	1	2
158	не менее	2	2
159	она не	1	2
160	для каждого	1	2
161	казалось бы	1	2
162	входят в	1	2
163	именно потому	1	2
164	значительной мере	2	2
165	не с	1	2
166	еще в	1	2
167	для этого	1	2
168	в значительной	2	2
169	эти последние	1	2
170	с ними	3	2
171	если мы	1	2
172	только на	1	2
173	из них	2	2
174	в других	1	2
175	были бы	1	2
176	с другой	5	2
177	плодотворным только	1	2
178	бы оно	1	2
179	в иной	1	2
180	к более	1	2
181	этого процесса	1	2
182	в данном	1	2
183	в ряду	2	2
184	все это	2	2
185	для нас	2	2
186	только что	1	2
187	а в	4	2
188	другой стороны	1	2
189	видим в	1	2
190	и другие	1	2
191	все основные	1	2
192	это в	1	2
193	понимать что	1	2
194	равным образом	1	1
195	из внешней	1	1
196	и через	1	1
197	и средств	1	1
198	более частным	1	1
199	может по	1	1
200	в определенный	1	1
201	собственном смысле	1	1
202	момент когда	1	1
203	есть не	2	1
204	и само	1	1
205	бы что	1	1
206	развитие в	1	1
207	есть нечто	2	1
208	только это	2	1
209	к началу	2	1
210	не нужно	2	1
211	без которой	1	1
212	в различных	1	1
213	жить и	1	1
214	не просто	1	1
215	из важнейших	2	1
216	отнюдь не	2	1
217	что во	1	1
218	пути в	2	1
219	стороны и	2	1
220	как к	1	1
221	кто не	1	1
222	это осуществляется	1	1
223	тем же	1	1
224	совершенно новое	1	1
225	что это	1	1
226	применительно к	1	1
227	всех доступных	1	1
228	так было	1	1
229	только один	1	1
230	в восприятии	1	1
231	и еще	1	1
232	не как	1	1
233	наших глазах	1	1
234	что каждая	1	1
235	прежде чем	1	1
236	одно и	1	1
237	с величайшим	1	1
238	и с	2	1
239	в и	1	1
240	далеко не	1	1
241	всегда существует	1	1
242	ведет к	1	1
243	предпосылки в	1	1
244	дети которых	1	1
245	но до	1	1
246	и при	1	1
247	в гораздо	4	1
248	и без	3	1
249	прийти к	1	1
250	не столько	2	1
251	на каждом	1	1
252	до которых	1	1
253	большей степени	4	1
254	в отличие	1	1
255	как одна	1	1
256	и наоборот	1	1
