N	2gram	Tiupa_Teor_1	Russkaja
1	не может	4	22
2	и не	13	19
3	в том	16	17
4	в этом	8	17
5	и в	18	14
6	то что	3	13
7	самим собой	3	12
8	то же	7	11
9	точки зрения	9	11
10	таким образом	3	11
11	в то	6	10
12	же время	5	10
13	но и	9	10
14	в себе	9	9
15	не только	16	9
16	том что	9	9
17	с точки	3	9
18	может быть	17	9
19	того чтобы	1	8
20	прежде всего	2	8
21	отнюдь не	3	7
22	в данном	8	7
23	к тому	2	7
24	не будет	2	7
25	о том	1	7
26	ни к	3	7
27	если в	2	6
28	в своем	4	6
29	и к	3	6
30	с тем	1	6
31	в своих	1	6
32	если бы	3	6
33	все это	2	6
34	и для	2	6
35	для того	1	6
36	что он	1	6
37	для всех	1	6
38	для него	2	6
39	а между	1	5
40	вопрос о	1	5
41	и на	1	5
42	между собой	3	5
43	во всех	1	5
44	на то	1	5
45	в нем	4	5
46	при этом	12	5
47	он не	3	5
48	он должен	2	5
49	было бы	1	5
50	в своей	6	5
51	никогда не	4	5
52	потому что	3	5
53	между тем	5	5
54	и только	1	5
55	только в	6	5
56	или иной	4	5
57	себя и	1	5
58	по существу	1	5
59	а в	13	5
60	жизни в	2	5
61	и то	2	4
62	бы то	1	4
63	но не	9	4
64	себя в	6	4
65	более или	2	4
66	не в	7	4
67	в этой	3	4
68	на земле	1	4
69	то ни	1	4
70	том случае	1	4
71	его в	2	4
72	как и	4	4
73	или менее	2	4
74	в их	2	4
75	не могут	2	4
76	приводит к	5	4
77	в мире	19	4
78	можно было	1	4
79	и т.д	3	4
80	путь к	1	4
81	в его	6	4
82	так как	1	4
83	со стороны	2	4
84	вместе с	2	4
85	как бы	5	4
86	отказаться от	1	4
87	что в	9	4
88	все что	1	4
89	то в	2	3
90	говорить о	3	3
91	еще не	4	3
92	из этих	3	3
93	что они	1	3
94	в самом	4	3
95	что это	1	3
96	и по	2	3
97	в другом	3	3
98	лишь в	6	3
99	должно быть	1	3
100	таким же	1	3
101	связи с	1	3
102	той или	1	3
103	что все	1	3
104	данном случае	5	3
105	что может	2	3
106	собой и	1	3
107	для этого	1	3
108	сводится к	5	3
109	при котором	1	3
110	в значительной	1	3
111	что и	2	3
112	того что	4	3
113	одной из	2	3
114	в качестве	24	3
115	с нею	1	3
116	в большинстве	2	3
117	из них	1	3
118	в конце	2	3
119	тем что	1	3
120	именно в	3	3
121	только к	1	3
122	что для	1	3
123	не было	1	3
124	и потому	2	3
125	или в	3	3
126	о котором	1	3
127	и как	2	3
128	все они	1	3
129	из этого	1	3
130	случае если	1	3
131	говоря о	3	2
132	бы для	1	2
133	от своей	1	2
134	вся она	1	2
135	к чему	2	2
136	но она	2	2
137	на себя	2	2
138	взгляде на	1	2
139	по отношению	4	2
140	тогда как	15	2
141	друг от	1	2
142	сама по	1	2
143	целый ряд	1	2
144	но в	9	2
145	все эти	2	2
146	во многих	1	2
147	и те	1	2
148	состоит в	17	2
149	и вот	3	2
150	того или	3	2
151	на почве	4	2
152	по себе	1	2
153	и тем	3	2
154	в единое	3	2
155	же образом	1	2
156	в этих	3	2
157	место в	5	2
158	в силу	1	2
159	друг другу	1	2
160	это разумеется	1	2
161	и более	1	2
162	их в	3	2
163	том же	1	2
164	тому что	2	2
165	она не	1	2
166	в таких	1	2
167	у него	1	2
168	к такому	1	2
169	и является	2	2
170	меру его	1	2
171	на которой	1	2
172	как будто	2	2
173	в области	4	2
174	деятельности и	1	2
175	отличается от	2	2
176	указывает на	1	2
177	для себя	1	2
178	и о	4	2
179	от друга	1	2
180	с самим	1	2
181	в порядке	3	2
182	и что	3	2
183	к нему	1	2
184	быть и	2	2
185	совершенно не	1	2
186	даже если	1	2
187	бы ни	1	2
188	их не	1	2
189	по этому	1	2
190	так что	1	2
191	уже не	4	2
192	только на	1	2
193	является не	1	2
194	представить себе	1	2
195	ни в	2	2
196	и даже	2	2
197	а с	3	2
198	а не	9	2
199	большинстве случаев	1	2
200	в частности	16	2
201	так же	2	2
202	– не	4	2
203	или иного	3	2
204	отношения к	2	2
205	остается в	1	2
206	если не	1	2
207	и от	1	2
208	не подлежит	1	2
209	в результате	1	2
210	отношении к	2	2
211	на это	1	2
212	и состоит	1	2
213	ее в	2	2
214	тем самым	4	2
215	точно так	1	2
216	должен быть	1	1
217	того же	3	1
218	связи между	1	1
219	идет о	1	1
220	на деле	2	1
221	ту же	1	1
222	свое место	1	1
223	можно лишь	1	1
224	исходит из	1	1
225	противном случае	1	1
226	со своей	3	1
227	существующая в	1	1
228	также и	1	1
229	есть не	1	1
230	же как	1	1
231	русской культуре	1	1
232	не во	1	1
233	этой соотносительности	1	1
234	у себя	1	1
235	не была	1	1
236	от своих	1	1
237	в каждый	1	1
238	в сущности	1	1
239	в полной	1	1
240	это отношение	3	1
241	которое в	1	1
242	людьми для	1	1
243	все виды	1	1
244	на них	1	1
245	столь же	2	1
246	что его	1	1
247	ее к	1	1
248	в область	1	1
249	но как	1	1
250	а только	3	1
251	русского языка	1	1
252	том чем	1	1
253	отношение человека	1	1
254	первый взгляд	1	1
255	в одной	1	1
256	каждая из	1	1
257	данный момент	2	1
258	внутри себя	1	1
259	в противном	1	1
260	перед нами	2	1
261	т.д эта	1	1
262	по пути	3	1
