N	2gram	Medvedev_U_1	FransuaR
1	и в	14	65
2	то есть	1	45
3	и др	1	24
4	и не	8	22
5	в том	2	16
6	в этом	7	15
7	но в	3	14
8	в нем	1	13
9	прежде всего	8	11
10	не только	10	10
11	так и	1	10
12	но и	4	10
13	и потому	1	10
14	в его	2	9
15	все это	5	9
16	за пределы	1	8
17	всех этих	2	8
18	в своем	1	8
19	и даже	1	8
20	формы и	2	7
21	в области	3	7
22	только в	2	7
23	в ней	1	6
24	все же	3	6
25	и у	2	6
26	том что	2	6
27	никогда не	1	6
28	искусства и	1	6
29	в значительной	1	6
30	одно из	1	6
31	может быть	6	6
32	сказать что	1	6
33	меньшей степени	2	5
34	литературы и	2	5
35	с его	2	5
36	как и	3	5
37	в своей	3	5
38	между тем	2	5
39	для него	3	5
40	превращается в	2	5
41	в частности	3	5
42	в той	1	5
43	и все	1	5
44	в большей	1	5
45	в самом	2	4
46	в этой	4	4
47	входит в	1	4
48	в их	4	4
49	не в	2	4
50	до сих	2	4
51	и искусства	1	4
52	у сервантеса	1	4
53	большей или	1	4
54	или меньшей	1	4
55	сих пор	2	4
56	это уже	2	4
57	это в	1	4
58	самом деле	2	3
59	по его	1	3
60	мы и	2	3
61	уже не	1	3
62	то что	7	3
63	в себе	2	3
64	перестает быть	5	3
65	и с	2	3
66	это не	3	3
67	далеко не	1	3
68	он и	1	3
69	но это	2	3
70	ничего не	2	3
71	этом отношении	2	3
72	не могут	2	3
73	и прежде	1	3
74	в виду	1	3
75	о нем	1	3
76	с другой	4	3
77	что он	2	3
78	в системе	2	3
79	как раз	2	3
80	даже и	2	3
81	и эта	1	3
82	у стерна	1	3
83	но для	1	3
84	не может	7	3
85	что в	1	3
86	в искусстве	6	3
87	одним из	2	2
88	не вполне	1	2
89	бы ни	1	2
90	он был	1	2
91	но не	2	2
92	не входит	1	2
93	нет и	1	2
94	он не	1	2
95	они в	1	2
96	на его	1	2
97	а его	2	2
98	это было	2	2
99	их в	1	2
100	в процессе	1	2
101	он называет	1	2
102	могут быть	2	2
103	и это	1	2
104	значительной мере	1	2
105	приводит к	1	2
106	о том	1	2
107	можно сказать	1	2
108	с одной	1	2
109	литературы в	1	2
110	или даже	1	2
111	не для	1	2
112	в наиболее	1	2
113	у других	1	2
114	в некоторых	2	2
115	одной стороны	1	2
116	до конца	1	2
117	о необходимости	1	2
118	и так	1	2
119	его на	1	2
120	образом на	1	2
121	того что	1	2
122	еще раз	1	2
123	что мы	2	2
124	знает только	1	2
125	и для	2	2
126	при таком	2	2
127	же в	1	2
128	в свое	1	2
129	в таком	1	2
130	а между	2	1
131	эта позиция	1	1
132	человека и	1	1
133	или недооценка	1	1
134	все его	1	1
135	из самых	1	1
136	объясняется и	1	1
137	то же	5	1
138	их и	2	1
139	а как	2	1
140	мы не	2	1
141	именно к	1	1
142	этого термина	2	1
143	первый план	1	1
144	конечно это	1	1
145	но конечно	2	1
146	и эстетики	1	1
147	с которыми	1	1
148	где бы	1	1
149	как нам	1	1
150	что по	1	1
151	сервантеса у	1	1
152	как таковое	1	1
153	есть ли	1	1
154	в этот	1	1
155	в произведении	1	1
156	в которой	1	1
157	главное же	1	1
158	он в	1	1
159	приобретает характер	1	1
160	в известном	1	1
161	частности с	1	1
162	творчество и	1	1
163	имеем в	1	1
164	на то	1	1
165	но прежде	1	1
166	но именно	1	1
167	о которой	1	1
168	представлениями и	1	1
169	связанные с	1	1
170	об этом	1	1
171	связанных с	1	1
172	ее нельзя	2	1
173	претензии на	1	1
174	было бы	3	1
175	в храме	1	1
176	мы имеем	1	1
177	он знает	1	1
178	на первый	2	1
179	что такое	4	1
180	почти не	1	1
181	все и	1	1
182	не столько	2	1
183	в которых	1	1
184	только для	1	1
185	но он	1	1
186	что было	1	1
187	в современном	1	1
188	тому чтобы	1	1
189	формы как	1	1
190	и вся	1	1
191	она не	1	1
192	что с	1	1
193	в то	3	1
194	широком смысле	1	1
195	же время	3	1
