N	2gram	Vinokur_Vv_1	Myslijsy
1	потому что	14	52
2	и в	27	39
3	в языке	1	33
4	может быть	24	27
5	в том	31	26
6	только в	13	25
7	не может	13	22
8	что в	11	22
9	так как	13	21
10	а не	3	21
11	не только	21	21
12	в нем	13	20
13	но и	5	20
14	и не	13	18
15	языка и	12	17
16	язык есть	1	17
17	так что	5	16
18	том что	26	16
19	не в	8	15
20	в этом	34	15
21	если бы	2	14
22	в себе	4	13
23	отношению к	4	13
24	так и	1	13
25	таким образом	19	13
26	по отношению	4	13
27	было бы	5	12
28	есть только	2	11
29	точно так	2	11
30	мы не	2	10
31	по себе	9	10
32	а потому	3	10
33	то что	17	10
34	как в	1	10
35	что не	5	10
36	и что	4	10
37	не есть	4	10
38	и понимания	1	9
39	мысли в	1	9
40	мысли и	2	9
41	тогда когда	3	9
42	тем что	6	9
43	могут быть	4	9
44	но в	10	9
45	как и	5	9
46	язык в	1	8
47	точки зрения	7	8
48	в одном	4	8
49	но не	7	8
50	вместе с	6	8
51	того что	12	8
52	со стороны	12	8
53	должны быть	1	7
54	в ней	3	7
55	по его	2	7
56	это не	8	7
57	в этих	3	7
58	с этим	2	7
59	в истории	9	7
60	должно быть	2	7
61	язык как	3	7
62	с другой	8	7
63	все же	8	6
64	еще не	4	6
65	человеческого духа	1	6
66	по мере	4	6
67	не менее	8	6
68	в каком	1	6
69	что на	1	6
70	и наоборот	2	6
71	независимо от	3	6
72	и т	43	6
73	что и	3	6
74	то же	8	6
75	тем не	8	6
76	при этом	3	6
77	того как	3	6
78	языка в	4	6
79	и как	9	6
80	как бы	5	6
81	из себя	1	5
82	что при	1	5
83	так же	3	5
84	и для	4	5
85	зависит от	3	5
86	вовсе не	6	5
87	во всех	2	5
88	с тем	6	5
89	то в	1	5
90	деятельности и	2	5
91	языка как	2	5
92	между тем	8	5
93	в его	10	5
94	не имеет	4	5
95	возможно только	1	5
96	и его	5	5
97	только тогда	1	5
98	в первом	5	5
99	то это	3	5
100	другой стороны	5	5
101	язык и	3	5
102	а в	5	5
103	несмотря на	2	5
104	если же	2	5
105	не следует	2	5
106	языка не	1	5
107	но это	1	5
108	во втором	2	5
109	и дух	1	4
110	бы в	1	4
111	же время	5	4
112	языка то	1	4
113	на деле	1	4
114	вопрос о	8	4
115	прежде всего	8	4
116	в более	2	4
117	есть нечто	1	4
118	т п	5	4
119	есть наука	1	4
120	не было	1	4
121	в стороне	1	4
122	не по	1	4
123	увидим что	1	4
124	а только	8	4
125	для него	1	4
126	в то	5	4
127	этом смысле	11	4
128	быть не	1	4
129	к тому	4	4
130	мы видели	2	4
131	и даже	5	4
132	и других	3	4
133	слова для	1	4
134	из этих	5	4
135	во всем	2	4
136	свою очередь	1	4
137	от языка	1	4
138	а так	2	4
139	в каждом	4	4
140	от того	3	4
141	само по	3	4
142	слова и	1	4
143	т д	37	4
144	не могут	5	4
145	мы видим	1	4
146	в действительности	1	4
147	в своих	2	4
148	однако в	3	4
149	никогда не	3	4
150	говорит он	2	4
151	тому как	1	4
152	что мы	2	4
153	в свою	1	4
154	что по	1	3
155	в основании	3	3
156	что можно	2	3
157	и с	2	3
158	во всяком	3	3
159	того же	3	3
160	одной стороны	4	3
161	для себя	1	3
162	как на	11	3
163	показывает что	1	3
164	разница между	1	3
165	связи с	3	3
166	должна быть	2	3
167	вопрос об	1	3
168	и все	1	3
169	в сравнении	1	3
170	в жизни	1	3
171	нужно было	1	3
172	что это	3	3
173	с ним	1	3
174	и вообще	3	3
175	к которому	1	3
176	и без	2	3
177	языка а	2	3
178	в этой	3	3
179	в своей	4	3
180	а между	1	3
181	и при	2	3
182	одно из	5	3
183	в языках	1	3
184	каким образом	1	3
185	находятся в	2	3
186	или даже	1	3
187	были бы	1	3
188	не мог	2	3
189	человеческой природы	1	3
190	судить о	1	3
191	история языка	2	3
192	или же	3	3
193	при известных	1	3
194	но как	2	3
195	отношений между	3	3
196	хотя и	3	3
197	с точки	2	3
198	сама по	3	3
199	во внимание	2	3
200	что если	2	3
201	что понятие	1	3
202	то ни	1	3
203	о котором	8	3
204	мы должны	1	3
205	как она	4	3
206	и от	1	3
207	для того	21	3
208	сказать что	5	3
209	в создании	2	3
210	оно не	1	3
211	том как	1	3
212	той же	4	3
213	не иначе	2	3
214	представить себе	5	3
215	очевидно что	1	3
216	что все	1	3
217	по поводу	1	3
218	в них	4	3
219	понятия и	1	3
220	и тем	5	3
221	только потому	1	3
222	с одной	4	3
223	тому что	2	3
224	и той	2	3
225	в самом	12	3
226	к одной	1	3
227	по одной	1	3
228	о языке	3	3
229	помнить что	1	3
230	из самого	1	3
231	§ но	1	3
232	подобно тому	1	3
233	быть названо	4	3
234	не могло	1	3
235	с самого	1	3
236	все более	3	3
237	и то	5	3
238	хотя в	2	3
239	в самой	1	3
240	одной и	2	3
241	заключается в	4	3
242	и это	6	3
243	только на	3	3
244	так например	6	3
245	об отношении	2	3
246	самого начала	1	3
247	в своем	3	3
248	внутреннее единство	1	2
249	в применении	6	2
250	если и	1	2
251	то мы	1	2
252	одним из	5	2
253	не могла	1	2
254	для всякого	1	2
255	в которой	1	2
256	о которых	2	2
257	когда мы	2	2
258	как мы	9	2
259	но с	4	2
260	понятий в	1	2
261	и того	2	2
262	природа и	1	2
263	в собственном	2	2
264	но он	1	2
265	но дело	3	2
266	связи между	4	2
267	или в	1	2
268	ни одна	2	2
269	сравнении с	1	2
270	жизни и	2	2
271	в целом	5	2
272	бы то	1	2
273	и вопрос	1	2
274	значение и	2	2
275	в разных	5	2
276	же в	1	2
277	по времени	2	2
278	для них	1	2
279	крайней мере	4	2
280	что такая	1	2
281	истории языка	5	2
282	как предмет	1	2
283	xviii в	6	2
284	только при	1	2
285	есть в	1	2
286	с понятием	3	2
287	на то	1	2
288	и которые	1	2
289	только по	3	2
290	из основных	1	2
291	иное как	5	2
292	хотя бы	5	2
293	но вместе	2	2
294	известных условиях	1	2
295	как увидим	2	2
296	для нее	1	2
297	взгляд на	1	2
298	язык может	1	2
299	нисколько не	3	2
300	того чтобы	21	2
301	только то	1	2
302	которых и	1	2
303	в их	11	2
304	не ограничивается	1	2
305	только тем	1	2
306	слова не	1	2
307	заключает в	1	2
308	если не	1	2
309	стороны и	3	2
310	на свои	2	2
311	его к	2	2
312	к языку	1	2
313	но все	3	2
314	он должен	1	2
315	нуждается в	2	2
316	в начале	3	2
317	что же	3	2
318	все то	1	2
319	есть не	3	2
320	нем есть	1	2
321	он старается	1	2
322	но уже	2	2
323	с этой	4	2
324	доходят до	1	2
325	из него	1	2
326	как деятельность	1	2
327	по этому	2	2
328	не потому	1	2
329	в таких	1	2
330	что даже	2	2
331	но тогда	1	2
332	тогда как	2	2
333	но если	3	2
334	иначе как	1	2
335	в одно	1	2
336	значительной степени	1	2
337	только что	4	2
338	времени и	4	2
339	язык но	2	2
340	духовной жизни	3	2
341	народного духа	1	2
342	одном и	1	2
343	после этого	2	2
344	а как	3	2
345	одного из	1	2
346	мог бы	2	2
347	в одних	1	2
348	одного и	2	2
349	не создает	1	2
350	у нас	2	2
351	них не	1	2
352	к новым	1	2
353	его словам	1	2
354	что к	1	2
355	что отношения	1	2
356	в течение	5	2
357	дело в	3	2
358	в сущности	3	2
359	одних только	1	2
360	которое он	1	2
361	же язык	1	2
362	и о	1	2
363	во многих	1	2
364	еще более	1	2
365	бы только	1	2
366	мы называем	2	2
367	ее с	1	2
368	к ним	1	2
369	даже и	3	2
370	видеть в	1	2
371	заметить что	1	2
372	вопроса о	1	2
373	то все	1	2
374	что иное	4	2
375	как например	5	2
376	не могли	2	2
377	познания и	2	2
378	деле есть	1	2
379	в виду	4	2
380	для этого	3	2
381	слова в	1	2
382	жизни человечества	1	2
383	по крайней	4	2
384	ни было	1	2
385	не существует	2	2
386	том же	2	2
387	так сказать	1	2
388	чтобы не	1	2
389	до своего	1	2
390	не что	4	2
391	из того	2	2
392	и народов	1	2
393	мы можем	2	2
394	мысли по	1	2
395	он есть	1	2
396	заставляет нас	1	2
397	следовательно и	1	2
398	все в	1	2
399	и том	1	2
400	при помощи	2	2
401	народа и	1	2
402	и всегда	1	2
403	о том	15	2
404	уже не	5	2
405	за ним	1	2
406	слова но	1	2
407	на этот	4	2
408	все что	1	2
409	чем в	3	2
410	в некотором	1	2
411	к мысли	1	2
412	тем более	2	2
413	которые не	1	2
414	и есть	3	2
415	и должно	1	2
416	б и	1	2
417	никак не	1	2
418	известно что	1	2
419	то она	1	2
420	что оно	2	2
421	в г	5	2
422	как будто	3	2
423	история и	3	2
424	могут не	1	2
425	сложившиеся в	1	2
426	вытекает из	1	2
427	этот вопрос	4	2
428	язык во	1	2
429	но совершенно	1	2
430	связь между	4	2
431	что именно	2	2
432	как эти	1	2
433	и более	1	2
434	применении к	6	2
435	на основании	5	2
436	в отношениях	2	2
437	все эти	3	1
438	связи и	1	1
439	эстетическое впечатление	1	1
440	есть действительно	2	1
441	его от	1	1
442	каждом из	1	1
443	и совершенно	2	1
444	что входит	1	1
445	уже о	1	1
446	самого содержания	1	1
447	жизни а	1	1
448	значении слова	1	1
449	языка или	2	1
450	существует ли	1	1
451	им как	1	1
452	на его	1	1
453	в возможности	1	1
454	в известных	2	1
455	это значит	1	1
456	и многое	1	1
457	но есть	1	1
458	во всей	1	1
459	одно и	1	1
460	особенности этого	1	1
461	есть содержание	1	1
462	в другом	3	1
463	что несмотря	2	1
464	в связи	2	1
465	входит в	2	1
466	из чего	1	1
467	по словам	1	1
468	ко времени	2	1
469	будет отвечать	1	1
470	чем то	1	1
471	первом случае	2	1
472	одно целое	2	1
473	на которое	1	1
474	говорит что	1	1
475	слово но	1	1
476	освободить от	1	1
477	в общих	1	1
478	и скорее	1	1
479	а есть	1	1
480	историю и	2	1
481	на том	3	1
482	проявляются в	1	1
483	и чувства	1	1
484	язык или	1	1
485	для которого	1	1
486	не была	1	1
487	во-первых не	1	1
488	как именно	1	1
489	можно считать	1	1
490	языка вообще	1	1
491	может служить	3	1
492	человеке и	1	1
493	и многие	1	1
494	к этим	1	1
495	здесь не	2	1
496	и ее	4	1
497	того с	1	1
498	его собственной	1	1
499	следует понимать	1	1
500	на других	1	1
501	литература имеет	1	1
502	и внутри	1	1
503	в каких	1	1
504	существует и	1	1
505	после того	2	1
506	другом значении	1	1
507	что история	6	1
508	нем то	1	1
509	на те	1	1
510	ясно и	1	1
511	но которые	1	1
512	их стремление	1	1
513	когда оно	1	1
514	такой точки	1	1
515	в так	1	1
516	он оставил	1	1
517	образом язык	1	1
518	в виде	4	1
519	филологии и	8	1
520	и должна	1	1
521	к нему	2	1
522	научного исследования	4	1
523	как эта	1	1
524	сих пор	5	1
525	наконец в	1	1
526	произведения и	2	1
527	говоря уже	2	1
528	существует потому	1	1
529	содержания но	1	1
530	в какой	4	1
531	не исчерпывается	2	1
532	как нечто	8	1
533	известного времени	1	1
534	степень силы	1	1
535	превращается в	1	1
536	видит в	4	1
537	в тех	2	1
538	дает нам	1	1
539	совершенно ясно	1	1
540	самом деле	6	1
541	которая как	2	1
542	с двумя	1	1
543	этой точки	1	1
544	уже из	1	1
545	и другие	1	1
546	развития на	1	1
547	имеет свою	2	1
548	объяснение в	1	1
549	и совершается	1	1
550	связь в	1	1
551	задачи и	1	1
552	все прочие	1	1
553	та же	1	1
554	с другими	1	1
555	лицом к	1	1
556	исходную точку	1	1
557	сомнения в	1	1
558	можно было	7	1
559	вследствие этого	1	1
560	в греческом	1	1
561	с каким	1	1
562	литературы или	1	1
563	каким она	2	1
564	убедиться в	1	1
565	и составляют	1	1
566	если он	1	1
567	более того	1	1
568	существует как	1	1
569	и искусство	1	1
570	данными по	1	1
571	которого он	1	1
572	которого не	1	1
573	нет никакого	1	1
574	есть система	1	1
575	этот процесс	3	1
576	что предметы	1	1
577	нашего времени	2	1
578	его в	6	1
579	ответ на	3	1
580	языков так	1	1
581	находит свое	1	1
582	литературного языка	1	1
583	языков но	1	1
584	без этого	1	1
585	мы находим	1	1
586	во-вторых не	1	1
587	смысле этого	8	1
588	значение только	1	1
589	из всего	1	1
590	групп не	1	1
591	из совокупности	1	1
592	том виде	3	1
593	в ее	11	1
594	имея в	1	1
595	оставляя в	1	1
596	том каким	1	1
597	например что	2	1
598	например в	2	1
599	совершенно не	1	1
600	что она	3	1
601	еще на	1	1
602	между ними	2	1
603	отношения к	1	1
604	так а	1	1
605	к слову	1	1
606	дело с	6	1
607	д и	1	1
608	выражения в	1	1
609	как произведение	1	1
610	языка совершенно	1	1
611	как не	1	1
612	стороне все	1	1
613	в чисто	4	1
614	она есть	5	1
615	не его	1	1
616	имеет цели	1	1
617	здесь нет	4	1
618	что ни	1	1
619	ним должно	1	1
620	общие свойства	1	1
621	собственном смысле	2	1
622	чем с	1	1
623	на самом	1	1
624	задний план	1	1
625	виде в	2	1
626	почва для	1	1
627	того совершенства	1	1
628	разумеется в	1	1
629	он по	1	1
630	как две	3	1
631	языку и	1	1
632	достигает того	1	1
633	не с	2	1
634	как история	3	1
635	языка так	1	1
636	быть определено	1	1
637	с течением	6	1
638	больше в	1	1
639	различие между	1	1
640	языке и	1	1
641	многих случаях	1	1
642	видно из	1	1
643	во-вторых и	1	1
644	то эти	1	1
645	смотрят на	1	1
646	науке а	1	1
647	должны были	1	1
648	на вопрос	6	1
649	слова а	1	1
650	а действительно	1	1
651	знания и	3	1
652	данных доставляемых	1	1
653	изучением языка	1	1
654	смысле и	2	1
655	они не	1	1
656	на которой	1	1
657	не выходя	1	1
658	до сих	5	1
659	том только	1	1
660	но одно	1	1
661	следует что	2	1
662	на некоторое	1	1
663	бы назвать	1	1
664	человека и	1	1
665	не говоря	2	1
666	что его	1	1
667	до того	2	1
668	общего с	1	1
669	как вообще	1	1
670	до времени	1	1
671	в прошлом	2	1
672	оно имеет	1	1
673	что у	1	1
674	были в	1	1
675	что такое	10	1
676	частного и	1	1
677	что из	1	1
678	лишь в	1	1
679	и языки	1	1
680	он вполне	1	1
681	как если	1	1
682	таким путем	1	1
683	не на	1	1
684	в самых	1	1
685	которые он	1	1
686	характера как	1	1
687	именно как	3	1
