N	2gram	Berdyaev_O_1	VrazhdaK
1	в бесах	3	10
2	не только	11	9
3	достоевского с	2	9
4	в этом	12	8
5	и в	19	8
6	достоевский в	1	8
7	и что	1	8
8	достоевский и	1	8
9	достоевского в	3	7
10	достоевского и	5	7
11	но и	13	7
12	и все	10	7
13	то что	5	7
14	что в	4	7
15	все же	2	6
16	но в	2	6
17	в нем	10	6
18	как и	6	6
19	в котором	1	6
20	и с	2	6
21	о нем	1	6
22	к достоевскому	2	6
23	и даже	1	6
24	у него	22	5
25	не было	9	5
26	в россии	5	5
27	и не	13	5
28	в ней	1	4
29	что он	3	4
30	в истории	2	4
31	что достоевский	2	4
32	это не	3	4
33	в дневнике	2	4
34	все это	6	4
35	в виду	1	4
36	с ним	3	4
37	о том	3	4
38	у достоевского	19	4
39	уже в	2	4
40	может быть	11	4
41	достоевского не	4	4
42	подпольного человека	1	4
43	как бы	3	4
44	в своих	3	4
45	из подполья	11	3
46	он был	8	3
47	с его	4	3
48	к творчеству	1	3
49	в своем	2	3
50	и как	1	3
51	в этот	2	3
52	на то	1	3
53	его в	2	3
54	петр верховенский	1	3
55	он не	7	3
56	том что	2	3
57	но он	7	3
58	что есть	2	3
59	в русской	3	3
60	достоевский не	4	3
61	и его	4	3
62	человека в	11	3
63	и о	2	3
64	достоевского к	2	3
65	что у	2	3
66	достоевского о	1	3
67	в его	7	3
68	в том	5	3
69	в конце	1	3
70	тем что	2	3
71	в петербург	1	3
72	т е	4	3
73	ставрогина и	1	3
74	к этому	2	3
75	отношения к	1	2
76	и то	2	2
77	и он	8	2
78	он сам	4	2
79	в эти	1	2
80	и достоевский	1	2
81	человека с	1	2
82	в этой	5	2
83	в себе	3	2
84	чувств и	1	2
85	после этого	1	2
86	о которой	2	2
87	в мире	1	2
88	достоевского он	7	2
89	в глазах	1	2
90	в них	1	2
91	а с	1	2
92	в своей	2	2
93	и ее	3	2
94	достоевский всегда	2	2
95	права на	1	2
96	одна из	1	2
97	никогда не	9	2
98	его с	1	2
99	и это	1	2
100	же не	1	2
101	россии в	2	2
102	еще не	3	2
103	достоевский писал	1	2
104	писателей но	1	2
105	и наказания	1	2
106	уже не	1	2
107	из них	1	2
108	его и	1	2
109	для него	5	2
110	записки из	3	2
111	отношение к	5	2
112	о чем	1	2
113	начиная с	1	2
114	не может	4	2
115	достоевский был	3	2
116	в это	1	2
117	но это	1	2
118	о достоевском	2	2
119	а в	5	2
120	личность и	1	2
121	ко всем	2	1
122	также и	1	1
123	человека и	10	1
124	людей достоевского	1	1
125	и есть	3	1
126	не хочет	1	1
127	человека достоевский	2	1
128	из всех	1	1
129	говорит достоевский	1	1
130	преступления и	1	1
131	вокруг ставрогина	2	1
132	был еще	2	1
133	и наказание	1	1
134	и был	1	1
135	собой в	1	1
136	одном из	1	1
137	его ума	1	1
138	в преступлении	4	1
139	одним словом	1	1
140	совсем не	2	1
141	но не	1	1
142	всего он	1	1
143	не все	2	1
144	достоевский прежде	2	1
145	преступление и	1	1
146	что они	2	1
147	произведений достоевского	2	1
148	и я	1	1
149	человеческого достоинства	1	1
150	для русской	1	1
151	как в	1	1
152	как к	2	1
153	что как	1	1
154	героев достоевского	2	1
155	хочет сделать	1	1
156	то в	1	1
157	человеком в	1	1
158	поэтому он	1	1
159	в самом	5	1
160	что это	1	1
161	за это	1	1
162	что же	2	1
163	в записках	3	1
164	он всегда	7	1
165	да и	1	1
166	от которого	1	1
167	ключ к	1	1
168	же это	2	1
169	чем у	1	1
170	в силу	1	1
171	свои собственные	1	1
172	достоевскому он	1	1
173	из него	1	1
174	людей и	1	1
175	это конечно	1	1
176	этом он	2	1
177	в глубине	7	1
178	самим собой	1	1
179	это было	3	1
180	заключается в	1	1
181	было бы	3	1
182	в жизни	1	1
183	всю жизнь	1	1
184	он и	1	1
185	которую он	2	1
186	в этих	3	1
187	всяком случае	1	1
188	человеком и	1	1
189	но достоевский	1	1
190	в поэме	1	1
191	не могли	2	1
192	было такой	1	1
193	в какую-то	1	1
194	не имеет	2	1
195	в процессе	1	1
196	было не	1	1
197	дневника писателя	1	1
198	в уме	1	1
199	ничего не	2	1
200	того как	1	1
201	и лишь	1	1
202	его судьбу	1	1
203	по своей	1	1
204	потому что	9	1
205	этом отношении	1	1
206	подполья но	1	1
207	среди них	1	1
208	н к	1	1
209	легенда о	2	1
210	и дал	1	1
211	могут быть	3	1
212	всего художник	1	1
213	отличается от	1	1
214	достоевском и	2	1
215	не есть	2	1
216	творчества достоевского	1	1
217	в ее	2	1
218	и сам	1	1
219	этот период	1	1
220	человека он	1	1
221	так и	2	1
222	не с	1	1
223	том как	1	1
224	но у	1	1
225	быть может	3	1
226	есть вражда	1	1
227	во всяком	1	1
228	с тою	1	1
229	его жизни	1	1
230	был достоевский	1	1
231	не стоит	1	1
232	это была	1	1
233	вопросу о	1	1
234	к нему	3	1
235	доходит до	1	1
236	преступлении и	3	1
237	вечный муж	1	1
238	в форме	1	1
239	и можно	1	1
240	все в	4	1
241	человека как	1	1
242	более всего	3	1
243	людей а	1	1
244	бедные люди	1	1
245	один из	1	1
246	сразу же	2	1
247	что только	1	1
248	которым он	1	1
249	ли он	1	1
250	проникнуть в	1	1
251	во всем	1	1
252	когда достоевский	1	1
253	то он	1	1
254	и раньше	1	1
255	начало в	1	1
256	петербурга и	1	1
257	а белого	1	1
258	записках из	3	1
259	о великом	6	1
260	а это	1	1
261	он подошел	1	1
262	в душе	2	1
263	достоевский так	1	1
264	что для	2	1
265	ни с	7	1
266	говорит о	1	1
267	никто не	3	1
268	в одном	1	1
269	самом достоевском	1	1
270	и никогда	2	1
271	от того	1	1
272	творчеству достоевского	1	1
273	лишь один	1	1
274	связан с	1	1
275	из мертвого	2	1
276	что пишет	1	1
277	и из	2	1
278	то лицо	1	1
279	прежде всего	9	1
280	белинского и	1	1
281	попадает в	1	1
282	на этот	1	1
283	до конца	7	1
284	и самый	1	1
285	человек в	1	1
286	в великом	1	1
287	нет ничего	7	1
288	в частности	1	1
289	него в	5	1
290	человека к	2	1
291	этого типа	1	1
292	судьбу его	1	1
293	это за	3	1
294	того что	3	1
295	он ставит	1	1
296	был в	1	1
297	михайловского жестокий	1	1
298	в свое	1	1
299	лет назад	1	1
300	оба они	1	1
301	под влиянием	1	1
302	ближе к	1	1
303	и от	3	1
304	человек и	4	1
305	хотя и	2	1
306	ее и	1	1
307	христа и	1	1
308	к михайловского	1	1
309	бы в	1	1
310	еще более	1	1
311	для достоевского	5	1
312	отношении к	1	1
313	и начинается	1	1
314	мертвого дома	2	1
315	жизни и	1	1
316	к этой	2	1
317	и наказании	3	1
318	чем достоевский	1	1
319	он лишь	3	1
320	все что	3	1
