N	2gram	Tiupa_Vved_1	UchenyiS
1	и в	13	14
2	а не	15	10
3	не только	20	10
4	прежде всего	7	8
5	и не	12	8
6	не может	7	7
7	в этом	21	7
8	то что	6	7
9	может быть	18	6
10	в искусстве	1	6
11	то же	5	5
12	и только	1	5
13	в художественном	1	5
14	все это	1	5
15	хотя бы	1	5
16	перестает быть	1	5
17	с другой	5	4
18	но и	19	4
19	что такое	18	4
20	в их	1	4
21	в конечном	1	4
22	конечном счете	1	4
23	в этой	1	4
24	это не	6	3
25	было бы	4	3
26	как и	11	3
27	в частности	13	3
28	в своей	5	3
29	или точнее	1	3
30	и т.д	5	3
31	к сожалению	1	3
32	в то	4	3
33	все же	6	3
34	но в	6	3
35	не следует	3	3
36	же время	3	3
37	в области	3	3
38	только к	1	3
39	у нас	1	3
40	другой стороны	2	3
41	для него	3	3
42	не как	2	3
43	не о	2	3
44	что все	1	2
45	крайней мере	1	2
46	же не	1	2
47	одним из	5	2
48	и с	2	2
49	и через	1	2
50	а его	2	2
51	а как	1	2
52	самом деле	3	2
53	в итоге	3	2
54	противном случае	1	2
55	должна быть	2	2
56	превращается в	1	2
57	мы не	4	2
58	о чем	2	2
59	на эту	1	2
60	если бы	7	2
61	что мы	2	2
62	как таковой	1	2
63	не столько	4	2
64	том что	7	2
65	на первый	1	2
66	материал для	1	2
67	сводится к	4	2
68	мы и	2	2
69	этого термина	1	2
70	словесного творчества	1	2
71	ни от	2	2
72	но не	5	2
73	в сторону	1	2
74	в противовес	3	2
75	не все	2	2
76	в его	4	2
77	по крайней	1	2
78	что и	2	2
79	по себе	2	2
80	но это	3	2
81	этом смысле	1	2
82	в противном	1	2
83	интереса к	1	2
84	могли бы	1	2
85	в том	10	2
86	это уже	1	2
87	и для	3	2
88	что он	1	2
89	в себе	5	2
90	при таком	1	2
91	в самом	2	2
92	между тем	1	2
93	и у	1	2
94	только в	6	2
95	не в	6	2
96	как принцип	1	2
97	все они	2	2
98	этом отношении	4	2
99	его и	1	2
100	бы и	4	2
101	всех этих	1	2
102	могут быть	4	2
103	в конце	1	2
104	а о	1	2
105	же самое	1	2
106	как раз	2	2
107	тем что	2	2
108	что она	1	2
109	таким образом	4	2
110	т.е в	1	2
111	правило не	2	1
112	для себя	1	1
113	в последние	1	1
114	об этом	4	1
115	в этот	2	1
116	то есть	8	1
117	в виду	1	1
118	входит в	1	1
119	данном случае	6	1
120	или иначе	2	1
121	в период	1	1
122	сюда же	1	1
123	и прежде	1	1
124	или меньшей	1	1
125	было и	1	1
126	в произведении	1	1
127	степени и	1	1
128	в пределах	2	1
129	или по	1	1
130	и др	1	1
131	к которой	1	1
132	что для	1	1
133	никогда не	4	1
134	литературного произведения	1	1
135	произведение как	1	1
136	так и	8	1
137	одной стороны	5	1
138	той же	1	1
139	в сфере	1	1
140	относится к	1	1
141	этого не	1	1
142	столько же	1	1
143	говорил в	1	1
144	до конца	3	1
145	с тем	1	1
146	мы имеем	5	1
147	обращение к	1	1
148	определений и	1	1
149	как целого	1	1
150	именно к	1	1
151	очень легко	1	1
152	и даже	1	1
153	иначе говоря	6	1
154	можно сказать	4	1
155	восприятия и	1	1
156	не вполне	3	1
157	или менее	2	1
158	никогда и	1	1
159	стороны в	1	1
160	сводятся к	2	1
161	произведения как	1	1
162	приводит к	2	1
163	о том	5	1
164	в ней	4	1
165	и потому	1	1
166	в котором	8	1
167	и что	1	1
168	из которых	1	1
169	в значительной	1	1
170	строго говоря	2	1
171	в течение	1	1
172	в той	4	1
173	своей работе	1	1
174	он может	1	1
175	в данном	13	1
176	что же	3	1
177	бы в	3	1
178	не входит	1	1
179	того что	6	1
180	в которых	1	1
181	их в	2	1
182	в наиболее	2	1
183	на его	1	1
184	тому чтобы	1	1
185	на то	1	1
186	быть не	4	1
187	определяется не	1	1
188	иначе в	1	1
189	еще один	1	1
190	отнюдь не	7	1
191	этом случае	1	1
192	первый взгляд	1	1
193	его на	1	1
194	но тут	1	1
195	большей или	1	1
196	в своем	5	1
197	автора без	1	1
198	и все	4	1
199	того как	1	1
200	у кого	1	1
201	тот же	1	1
202	более или	2	1
203	объекта и	1	1
204	не существует	2	1
205	которое мы	1	1
206	всего лишь	5	1
207	о котором	2	1
208	это то	1	1
209	не было	2	1
210	находятся в	1	1
211	он в	1	1
212	с одной	5	1
213	значимость и	1	1
214	в качестве	8	1
215	но именно	1	1
216	случае он	1	1
217	начала и	2	1
218	же остается	1	1
219	уже не	5	1
220	далеко не	4	1
221	толстой в	1	1
222	но также	2	1
223	то и	2	1
224	же в	1	1
225	в процессе	1	1
226	в виде	1	1
227	не столь	1	1
228	в нем	5	1
229	на роль	1	1
230	или даже	1	1
231	или просто	1	1
232	но если	1	1
233	он не	3	1
234	о которой	2	1
235	образ живого	1	1
236	сказать что	1	1
237	и так	1	1
238	только часть	1	1
239	он и	2	1
240	восприятия а	1	1
241	до предела	2	1
242	последние годы	1	1
243	время не	1	1
244	может служить	4	1
245	но он	1	1
246	у него	1	1
247	само по	1	1
248	самые слова	1	1
249	мы можем	2	1
250	анализа в	1	1
251	которой принадлежит	1	1
252	о литературе	1	1
253	к этому	2	1
254	что в	3	1
255	в таком	1	1
256	все что	3	1
257	от которой	1	1
