N	3gram	Medvedev_U_1	Narrotol
1	в данном случае	1	8
2	не только в	1	6
3	в том что	2	5
4	то же время	3	4
5	в то же	3	4
6	не может быть	4	4
7	в этом отношении	2	3
8	в самом деле	2	2
9	то же самое	2	2
10	до сих пор	2	2
11	можно сказать что	1	2
12	на то что	1	2
13	не может обойтись	1	1
14	более или менее	1	1
15	большей или меньшей	1	1
16	что для него	1	1
17	с другой стороны	3	1
18	и не только	1	1
19	и в то	1	1
20	сам по себе	1	1
21	в той же	1	1
22	бы то ни	3	1
23	и то что	2	1
24	по крайней мере	2	1
25	в ней не	1	1
26	это не вполне	1	1
27	то ни было	3	1
28	с одной стороны	1	1
29	друг с другом	1	1
30	в большей или	1	1
31	роль не только	1	1
32	в не меньшей	1	1
33	у него уже	1	1
34	само по себе	1	1
35	на роль не	1	1
36	в конечном счете	4	1
37	смысле можно сказать	1	1
38	по его собственному	1	1
39	не меньшей степени	1	1
40	не входит в	1	1
