N	3gram	Savitsky_E_1	UchenyiS
1	не может быть	2	4
2	по нашему мнению	2	3
3	с другой стороны	2	3
4	то же время	14	3
5	бы то ни	4	3
6	в то же	15	3
7	то ни было	4	3
8	не могут быть	1	2
9	в этом смысле	3	2
10	хотя бы и	3	2
11	в этом отношении	3	2
12	в том что	6	2
13	в противном случае	1	2
14	и в частности	2	2
15	тех или иных	1	2
16	другой стороны в	1	1
17	в большей или	1	1
18	или меньшей степени	1	1
19	более или менее	1	1
20	большей или меньшей	1	1
21	в значительной мере	1	1
22	что для него	1	1
23	и не только	1	1
24	между тем в	3	1
25	и в то	8	1
26	к которой принадлежит	1	1
27	сводится именно к	1	1
28	само по себе	4	1
29	же время не	1	1
30	значительный сдвиг в	1	1
31	в своей совокупности	1	1
32	с тем что	1	1
33	в последние годы	3	1
34	и прежде всего	3	1
35	можно сказать что	3	1
36	на то что	2	1
37	говорить не о	1	1
38	друг с другом	3	1
39	в данном случае	2	1
40	они относятся к	1	1
41	но в то	2	1
42	не только в	4	1
43	относятся к области	1	1
44	с одной стороны	8	1
