1	в том	19	37
2	и в	23	32
3	и что	8	22
4	потому что	25	21
5	в искусстве	1	21
6	том что	11	21
7	то что	9	21
8	таким образом	5	21
9	что в	10	20
10	так же	4	18
11	может быть	15	18
12	точки зрения	14	17
13	что и	3	17
14	не может	9	17
15	что она	3	16
16	самом деле	9	16
17	того чтобы	11	14
18	в этом	18	13
19	то же	6	13
20	при этом	2	13
21	для того	9	13
22	что он	5	13
23	заключается в	2	12
24	по себе	10	12
25	в самом	12	12
26	если мы	4	12
27	не только	20	12
28	с и	1	12
29	так как	15	12
30	было бы	15	11
31	на то	4	11
32	с тем	2	11
33	с точки	8	10
34	когда он	1	10
35	но и	7	10
36	и т	39	10
37	и не	16	10
38	как и	2	10
39	в своих	2	9
40	тем что	3	9
41	никогда не	2	9
42	что все	5	9
43	как в	3	9
44	на деле	1	8
45	дело с	1	8
46	что это	7	8
47	той же	2	8
48	не менее	7	8
49	не в	8	8
50	того что	3	8
51	т п	24	8
52	как будто	2	7
53	а не	10	7
54	все эти	12	7
55	и его	3	7
56	в сущности	9	7
57	говорит что	1	7
58	к тому	4	7
59	такой же	1	7
60	можно было	9	7
61	ясно что	5	7
62	только в	5	7
63	мы знаем	4	7
64	и как	1	7
65	что для	2	7
66	сказать что	4	7
67	совершенно ясно	1	7
68	что они	2	7
69	если бы	12	6
70	целый ряд	5	6
71	что если	2	6
72	он не	3	6
73	в этой	6	6
74	те же	3	6
75	тот же	5	6
76	как бы	4	6
77	совершенно справедливо	1	6
78	о том	1	6
79	этом отношении	3	5
80	на все	2	5
81	вслед за	1	5
82	все это	5	5
83	он говорит	1	5
84	как на	1	5
85	что у	2	5
86	отнюдь не	4	5
87	в ней	3	5
88	как раз	3	5
89	до сих	1	5
90	на самом	2	5
91	исходит из	1	5
92	показать что	1	5
93	и даже	2	5
94	и на	6	5
95	в то	4	5
96	сих пор	1	5
97	только из	1	5
98	далеко не	1	5
99	несмотря на	5	4
100	указывает что	2	4
101	если же	1	4
102	в языке	10	4
103	утверждать что	2	4
104	которые в	1	4
105	могут быть	4	4
106	того как	2	4
107	ту же	6	4
108	к одному	1	4
109	в действительности	1	4
110	есть по	1	4
111	есть не	1	4
112	и до	2	4
113	одной и	1	4
114	никак не	3	4
115	и для	2	4
116	мы имеем	5	4
117	тем не	6	4
118	в нем	4	4
119	едва ли	1	4
120	же как	2	4
121	не имеет	4	4
122	между тем	6	4
123	но только	4	4
124	том случае	2	4
125	материал для	2	4
126	ничего не	4	4
127	и это	3	4
128	с этим	3	4
129	столь же	1	4
130	и тем	5	4
131	данном случае	2	4
132	знаем что	3	4
133	и когда	1	4
134	а в	3	4
135	все же	7	4
136	в данном	4	4
137	с той	2	4
138	и той	1	4
139	случае если	2	4
140	сам по	1	4
141	как это	5	4
142	а на	2	4
143	наряду с	1	4
144	и все	2	4
145	в целом	1	4
146	с этой	2	4
147	что на	4	4
148	и по	3	4
149	в чем	1	4
150	совершенно не	3	4
151	и с	7	4
152	и более	2	4
153	от того	4	4
154	в зубах	1	4
155	тому что	1	4
156	в отношении	2	3
157	само по	5	3
158	мы можем	1	3
159	и сейчас	2	3
160	в их	2	3
161	не могут	5	3
162	и их	1	3
163	имеет дело	1	3
164	а только	3	3
165	так что	1	3
166	что же	5	3
167	в нашей	4	3
168	в частности	2	3
169	с ее	1	3
170	то как	1	3
171	свое собственное	1	3
172	процесс в	1	3
173	не как	2	3
174	сами по	1	3
175	если оно	1	3
176	бы и	4	3
177	один из	5	3
178	только как	2	3
179	но в	11	3
180	мы должны	2	3
181	должны быть	2	3
182	звуков в	1	3
183	в конце	4	3
184	что именно	1	3
185	ни на	2	3
186	по своему	1	3
187	которых мы	2	3
188	как к	1	3
189	том чтобы	1	3
190	конце концов	3	3
191	для этого	3	3
192	и он	1	3
193	чтобы показать	1	3
194	каким образом	1	3
195	с другой	8	3
196	в которых	2	3
197	об этом	5	3
198	этот вопрос	6	3
199	до конца	3	3
200	по существу	5	3
201	указывает на	1	3
202	состоит в	2	3
203	образом в	2	3
204	время как	1	3
205	в своей	2	3
206	это только	2	3
207	или же	2	3
208	который не	1	3
209	легче всего	1	3
210	может служить	2	3
211	относится к	1	3
212	на этом	3	3
213	но он	1	3
214	и то	5	3
215	в поэзии	1	3
216	представить себе	2	3
217	на это	3	3
218	в виду	3	3
219	и к	1	3
220	что не	6	3
221	легко заметить	1	3
222	конечном счете	2	3
223	в каком	4	3
224	и вот	5	3
225	когда говорит	1	3
226	творчества и	1	3
227	приходит к	1	3
228	он все	1	3
229	главным образом	3	3
230	тогда когда	1	3
231	то время	1	3
232	так и	4	3
233	во всем	1	3
234	значит что	1	3
235	мы не	1	3
236	в конечном	2	3
237	в свою	2	3
238	мы в	2	3
239	хотя бы	9	3
240	точно так	3	3
241	но как	1	3
242	в общем	1	3
243	того или	2	3
244	смысл слова	1	3
245	что оно	3	2
246	как не	3	2
247	который уже	1	2
248	сводится к	3	2
249	свою очередь	2	2
250	могло бы	1	2
251	есть нечто	1	2
252	содержания и	1	2
253	в ее	1	2
254	могли бы	2	2
255	его от	1	2
256	ничего кроме	1	2
257	в день	2	2
258	к нему	2	2
259	проще всего	2	2
260	не до	1	2
261	в которой	1	2
262	они в	1	2
263	в свете	1	2
264	указывают на	1	2
265	показывают что	1	2
266	вещей и	1	2
267	же что	1	2
268	и часто	1	2
269	явлений и	1	2
270	и здесь	5	2
271	меньше всего	1	2
272	заметить что	1	2
273	для нас	4	2
274	мы получаем	1	2
275	здесь дело	1	2
276	когда мы	1	2
277	что по	1	2
278	это в	2	2
279	и содержание	1	2
280	себе и	1	2
281	при чем	1	2
282	во всяком	5	2
283	их как	1	2
284	же время	3	2
285	которые должны	1	2
286	тем более	1	2
287	на примере	2	2
288	как можно	2	2
289	так в	3	2
290	вместе с	5	2
291	но что	2	2
292	роль что	1	2
293	применяется к	1	2
294	отличие от	2	2
295	должен был	1	2
296	место в	1	2
297	была бы	4	2
298	то ни	1	2
299	отношение к	1	2
300	ни в	4	2
301	на том	2	2
302	их в	1	2
303	во внимание	1	2
304	из всех	1	2
305	почему это	1	2
306	не потому	1	2
307	и у	2	2
308	речи с	2	2
309	объясняется и	1	2
310	не значит	1	2
311	вовсе не	9	2
312	в одном	1	2
313	в самой	2	2
314	ли это	2	2
315	и без	1	2
316	что этот	1	2
317	в какой	1	2
318	бы то	1	2
319	слишком много	1	2
320	а потому	1	2
321	того же	3	2
322	очевидно что	2	2
323	воздействия на	1	2
324	здесь мы	2	2
325	что без	1	2
326	в него	1	2
327	в других	1	2
328	у них	1	2
329	оно не	2	2
330	и далее	2	2
331	однако не	4	2
332	но не	6	2
333	в первый	3	2
334	не понимает	1	2
335	смысл и	3	2
336	еще не	5	2
337	всяком случае	5	2
338	и говорить	1	2
339	в русском	10	2
340	отличается от	3	2
341	с того	1	2
342	или иного	2	2
343	в его	5	2
344	тем и	1	2
345	что самое	1	2
346	и только	1	2
347	роль в	2	2
348	такие же	1	2
349	то или	3	2
350	только потому	8	2
351	для самого	2	2
352	мы будем	2	2
353	и следовательно	2	2
354	том и	1	2
355	из которых	3	2
356	к ним	1	2
357	все те	1	2
358	этой точки	2	2
359	не так	1	2
360	т д	14	2
361	однако он	1	2
362	сравнению с	1	2
363	в особенности	4	2
364	и вообще	2	2
365	в узком	4	2
366	казалось бы	3	2
367	на этот	2	2
368	которая не	1	2
369	она не	2	2
370	также и	5	2
371	именно на	1	2
372	в них	4	2
373	после того	2	2
374	как во	1	2
375	более и	1	2
376	не было	4	2
377	там где	5	2
378	не на	2	2
379	на который	2	2
380	понятно что	1	2
381	этой области	4	2
382	но это	3	2
383	все более	1	2
384	и при	1	2
385	как нельзя	1	2
386	и никогда	1	2
387	и которые	1	2
388	в каждом	1	2
389	ответ на	2	2
390	первый раз	1	2
391	с его	1	2
392	но так	2	2
393	в свое	2	2
394	и от	2	2
395	слова в	6	2
396	в процессе	3	2
397	как только	1	2
398	на вопрос	1	2
399	самое понятие	1	2
400	в очень	1	2
401	другой стороны	7	2
402	в себе	1	2
403	в этих	1	2
404	мы находим	1	2
405	по сравнению	2	2
406	для нее	1	2
407	это не	6	2
408	сами же	1	2
409	но даже	2	2
410	в ход	1	2
411	том же	1	2
412	этой проблемы	1	1
413	носит характер	2	1
414	не следует	5	1
415	и вместо	1	1
416	вот какой	1	1
417	языке с	2	1
418	что стоит	1	1
419	все дело	2	1
420	только тогда	1	1
421	будто в	1	1
422	сообщения о	1	1
423	различие между	3	1
424	этом совершенно	1	1
425	следует искать	1	1
426	обстоятельство что	7	1
427	оттого что	1	1
428	особенности же	2	1
429	вообще и	2	1
430	присоединения к	1	1
431	с темой	1	1
432	не получили	1	1
433	не есть	1	1
434	оно есть	1	1
435	совершается в	1	1
436	на минуту	1	1
437	этой цели	2	1
438	зависимости от	5	1
439	о роли	2	1
440	п в	3	1
441	она есть	1	1
442	другом случае	1	1
443	в основании	2	1
444	переводе на	1	1
445	которые несомненно	1	1
446	вплотную к	1	1
447	какой смысл	2	1
448	в соответствии	3	1
449	свое выражение	1	1
450	большей частью	1	1
451	данный момент	3	1
452	уже как	1	1
453	за этим	2	1
454	не что	1	1
455	есть своя	1	1
456	здесь как	1	1
457	в данный	1	1
458	в область	1	1
459	предположить что	1	1
460	два раза	1	1
461	сознаться что	1	1
462	тех практических	1	1
463	на язык	1	1
464	почти исключительно	1	1
465	мы могли	2	1
466	свое время	2	1
467	уяснить себе	1	1
468	ни было	1	1
469	время в	1	1
470	чем-то вроде	1	1
471	тому же	1	1
