N	3gram	Vygotskiy__3	Stilisti
1	для того чтобы	7	7
2	в зависимости от	5	7
3	того или иного	2	5
4	с точки зрения	1	5
5	мы никогда не	2	5
6	с самого начала	6	4
7	то же самое	1	4
8	той или иной	2	4
9	то что мы	2	4
10	ту или иную	1	4
11	в свою очередь	2	4
12	заключает в себе	2	3
13	в этом случае	1	3
14	не только в	1	3
15	в конце концов	1	3
16	как мы видели	3	3
17	как мы уже	2	3
18	о том что	3	2
19	внутренней речи и	2	2
20	связи с этим	1	2
21	одной и той	2	2
22	в так называемой	1	2
23	и содержание и	1	2
24	мы видели что	3	2
25	что иное как	1	2
26	возникновения и развития	1	2
27	смысле этого слова	4	2
28	к тому что	1	2
29	и тем же	1	2
30	содержание и форму	1	2
31	мы будем говорить	1	2
32	тот или иной	1	2
33	и как бы	1	2
34	мы не знаем	1	2
35	и той же	2	2
36	в значительной степени	1	2
37	не что иное	1	2
38	в связи с	5	2
39	что перед нами	3	2
40	вместе с тем	10	2
41	есть не что	1	2
42	только потому что	2	2
43	в этом отношении	3	2
44	как мы увидим	2	2
45	с тем и	4	2
46	не может быть	2	2
47	что мы в	1	1
48	мы не можем	1	1
49	одному и тому	1	1
50	к тому как	1	1
51	и в развитии	2	1
52	в человеческом обществе	1	1
53	тот же самый	1	1
54	о которой мы	1	1
55	не совпадает со	1	1
56	тот факт что	5	1
57	на один из	1	1
58	по сравнению с	3	1
59	из которых каждая	1	1
60	которые являются для	1	1
61	и характер его	1	1
62	мы увидим дальше	1	1
63	что же представляет	1	1
64	мы увидим что	1	1
65	и речевое общение	1	1
66	теми или иными	2	1
67	одним и тем	1	1
68	в другом месте	1	1
69	и в этом	2	1
70	мы должны будем	1	1
71	приходится иметь дело	1	1
72	этого слова мы	1	1
73	которые ближе всего	1	1
74	с другой стороны	3	1
75	форма внутренней речи	1	1
76	хотя бы и	1	1
77	двух точек зрения	1	1
78	один из этих	3	1
79	в процессе образования	7	1
80	и того же	4	1
81	в том что	17	1
82	в силу которого	1	1
83	независимо от того	3	1
84	одном и том	1	1
85	до того как	1	1
86	является не просто	1	1
87	отнюдь не является	1	1
88	мы говорили выше	1	1
89	и тому же	1	1
90	само по себе	2	1
91	что оно является	1	1
92	в дальнейшем мы	1	1
93	можно было бы	5	1
94	что мы не	1	1
95	по отношению к	2	1
96	мы можем проследить	1	1
97	что было бы	1	1
98	и не могут	1	1
99	или иными предметами	1	1
100	решающую роль в	1	1
101	мы увидим ниже	1	1
102	в своем развитии	1	1
103	до какой степени	3	1
104	мы наблюдаем в	1	1
105	в ход этот	1	1
106	определенное значение он	1	1
107	более или менее	1	1
108	одного и того	4	1
109	и в отношении	2	1
110	но все эти	1	1
111	связанных между собой	1	1
112	дальнейшем мы будем	1	1
113	их точки зрения	1	1
114	и том же	1	1
115	в этой стадии	2	1
116	играет решающую роль	1	1
117	в гораздо большей	1	1
118	и т.д в	1	1
119	в последнем счете	1	1
120	только в том	2	1
121	и как мы	1	1
122	ни в какой	4	1
123	та или иная	3	1
124	тому или иному	2	1
125	остается тем же	1	1
126	в собственном смысле	6	1
127	но главным образом	1	1
128	собственном смысле слова	2	1
129	одним из главнейших	1	1
130	так как в	1	1
131	этого может быть	1	1
132	внутренней речи в	2	1
133	в процессе развития	1	1
134	к одному и	1	1
135	поэтому было бы	1	1
136	этот вопрос в	1	1
137	и как в	1	1
138	тем не менее	5	1
139	как и в	2	1
140	этом мы будем	1	1
141	до сих пор	1	1
142	находит свое отражение	1	1
143	с их точки	1	1
144	же представляет собой	1	1
145	к утверждению что	1	1
