N	3gram	Bakhtin_Fr_2	OGranits
1	с точки зрения	5	5
2	не может быть	4	4
3	по отношению к	1	3
4	вполне понятно что	2	3
5	в г в	1	2
6	с одной стороны	3	2
7	с другой стороны	3	2
8	того или иного	1	2
9	в том что	1	2
10	в другом месте	2	1
11	один и тот	1	1
12	только потому что	1	1
13	в изобразительных искусствах	1	1
14	в чем же	1	1
15	там где нет	1	1
16	на самом деле	1	1
17	подобно тому как	2	1
18	и не может	1	1
19	же время в	1	1
20	еще тем что	1	1
21	одна из существеннейших	1	1
22	только то что	2	1
23	в этом отношении	3	1
24	то что в	1	1
25	нужно сказать что	3	1
26	в собственном смысле	2	1
27	в значительной мере	1	1
28	в своей статье	2	1
29	для того чтобы	1	1
30	все эти три	1	1
31	далеко не всегда	1	1
32	и тот же	1	1
33	один из наиболее	1	1
34	не входит в	1	1
35	в нашу задачу	1	1
36	прежде всего в	1	1
37	своей статье о	2	1
38	входит в нашу	1	1
39	в тех случаях	1	1
40	стадиях своего развития	1	1
41	в связи со	1	1
42	то же время	6	1
43	в борьбе с	1	1
44	здесь мы должны	1	1
45	на этом мы	1	1
46	включает в себя	2	1
47	не только на	1	1
48	но в то	3	1
49	выходит за пределы	1	1
50	свое идеологическое выражение	1	1
51	на то что	1	1
52	идеологическое выражение в	1	1
53	но не менее	1	1
54	тех случаях когда	1	1
55	в то же	6	1
56	в предисловии к	1	1
57	в его наиболее	2	1
58	как и в	1	1
59	только с помощью	1	1
