N	2gram	Propp_Morf_1	formyVre
1	и в	13	46
2	в этом	14	22
3	и т	41	14
4	прежде всего	9	14
5	вовсе не	4	13
6	и его	1	12
7	во всех	4	11
8	не только	4	11
9	только в	2	11
10	как бы	3	10
11	во время	6	10
12	точки зрения	2	10
13	в том	6	10
14	но в	2	10
15	мы уже	1	9
16	не в	3	9
17	у него	1	9
18	но и	4	9
19	и не	12	9
20	и для	2	9
21	то же	7	8
22	как и	3	8
23	с точки	2	8
24	для того	2	8
25	того чтобы	3	8
26	потому что	3	8
27	связи с	10	8
28	в его	1	8
29	из них	3	8
30	в связи	9	8
31	и на	1	7
32	в главе	1	7
33	так и	6	7
34	в них	1	7
35	может быть	52	7
36	в одном	1	7
37	то что	8	7
38	как мы	6	6
39	еще не	3	6
40	все же	7	6
41	и наконец	1	6
42	при этом	1	6
43	и с	1	6
44	его в	2	6
45	в основе	1	6
46	те же	1	6
47	так как	16	6
48	в особенности	1	6
49	по вертикали	1	6
50	и все	1	6
51	но не	4	5
52	с этим	11	5
53	все эти	2	5
54	связанные с	1	5
55	он не	3	5
56	должно быть	1	5
57	в то	3	5
58	и у	1	5
59	и др	10	5
60	в частности	2	5
61	в пределах	3	5
62	по существу	12	5
63	что в	8	5
64	также и	4	4
65	значение и	1	4
66	что они	2	4
67	как в	3	4
68	из этих	1	4
69	в себе	1	4
70	их в	1	4
71	том что	4	4
72	в образе	4	4
73	о том	2	4
74	так что	1	4
75	с другом	1	4
76	и их	2	4
77	а не	11	4
78	в ряду	1	4
79	друг с	1	4
80	с этой	1	4
81	же в	2	4
82	есть и	4	4
83	ему в	1	3
84	в виду	1	3
85	мы еще	1	3
86	другой пример	1	3
87	мы будем	3	3
88	отношение к	1	3
89	хотя и	3	3
90	целый ряд	3	3
91	как уже	2	3
92	и как	5	3
93	в этот	1	3
94	уже не	2	3
95	та же	2	3
96	в большинстве	3	3
97	имеем в	6	3
98	т д	39	3
99	и по	2	3
100	прежде чем	3	3
101	таким образом	21	3
102	здесь мы	3	3
103	а затем	4	3
104	в совершенно	1	3
105	по всему	2	3
106	переходим к	1	3
107	на первый	3	3
108	в которых	2	3
109	кроме того	1	3
110	же самое	1	3
111	к тому	4	3
112	себя и	2	3
113	и совершенно	1	3
114	том как	1	3
115	в другом	2	3
116	а также	4	3
117	что и	7	3
118	того что	3	3
119	что он	4	3
120	дана в	1	3
121	все они	1	3
122	в качестве	5	3
123	большинстве случаев	3	3
124	для него	1	3
125	тем что	4	3
126	в форме	6	3
127	и даже	1	3
128	не на	2	3
129	на смерть	1	3
130	о чем	1	3
131	с помощью	1	3
132	это значит	1	3
133	в это	1	3
134	не является	3	3
135	в этих	13	3
136	ее в	1	3
137	а в	7	3
138	в море	5	3
139	но эти	1	3
140	и другие	6	3
141	к этому	3	3
142	смысле слова	4	2
143	ту же	2	2
144	как его	1	2
145	и есть	2	2
146	из самых	1	2
147	явления и	1	2
148	и до	1	2
149	почти всегда	1	2
150	мы имеем	9	2
151	в сущности	3	2
152	говорить о	3	2
153	он был	1	2
154	совсем не	3	2
155	явлений и	1	2
156	если в	5	2
157	вступают в	3	2
158	в одной	1	2
159	то в	3	2
160	и к	4	2
161	в этой	2	2
162	с одной	1	2
163	только один	1	2
164	и вот	1	2
165	на этом	3	2
166	форма в	3	2
167	и рядом	1	2
168	далеко не	5	2
169	с тем	2	2
170	очень важный	1	2
171	и становится	1	2
172	значение для	1	2
173	дается в	2	2
174	но эта	1	2
175	но он	1	2
176	и более	1	2
177	в той	1	2
178	вплоть до	1	2
179	она не	2	2
180	эти формы	2	2
181	на котором	3	2
182	там где	5	2
183	этом отношении	1	2
184	очень часто	6	2
185	могут быть	16	2
186	его рождения	1	2
187	здесь не	2	2
188	без всякого	2	2
189	в плоскости	1	2
190	самых неожиданных	1	2
191	но здесь	1	2
192	находится в	1	2
193	можно сказать	2	2
194	специфические формы	1	2
195	это не	6	2
196	значит что	3	2
197	что здесь	1	2
198	быть и	2	2
199	один из	5	2
200	мы видим	13	2
201	похожи друг	1	2
202	со всеми	1	2
203	чем они	1	2
204	характерно что	1	2
205	до сих	1	2
206	с другой	8	2
207	сюда же	3	2
208	и самая	1	2
209	было бы	3	2
210	и несколько	1	2
211	и затем	4	2
212	в некоторых	3	2
213	и пр	37	2
214	у нас	2	2
215	а на	3	2
216	не знает	1	2
217	на друга	2	2
218	если не	1	2
219	не может	14	2
220	так же	3	2
221	как это	3	2
222	по своему	2	2
223	в данном	1	2
224	наряду с	5	2
225	в последнем	2	2
226	одновременно с	1	2
227	дело идет	1	2
228	этом случае	8	2
229	сих пор	1	2
230	только для	1	2
231	о его	1	2
232	друг на	2	2
233	с большой	1	2
234	на анализе	1	2
235	как явление	1	2
236	но это	6	2
237	в гл	1	2
