N	3gram	Tiupa_Lite_1	Formalny
1	с точки зрения	2	14
2	не может быть	1	14
3	на самом деле	1	12
4	в то же	5	7
5	то же время	5	7
6	во всяком случае	2	6
7	в зависимости от	1	5
8	с другой стороны	1	5
9	в самом деле	1	4
10	подобно тому как	2	4
11	в данном случае	4	4
12	в связи с	4	4
13	бы то ни	1	4
14	то ни было	1	4
15	в большинстве случаев	1	4
16	как мы знаем	1	4
17	а не в	1	3
18	по отношению к	2	3
19	в этом отношении	2	3
20	с тем же	1	3
21	в том что	11	3
22	одним и тем	1	2
23	как и всякое	1	2
24	в отличие от	5	2
25	лишь тогда когда	1	2
26	и тем же	1	2
27	только то что	1	2
28	дело в том	2	2
29	всяком случае в	1	2
30	в пределах одной	1	2
31	не может стать	1	2
32	тем не менее	2	2
33	и того же	1	1
34	так и не	1	1
35	не выходит за	1	1
36	при этом от	1	1
37	в основе всех	1	1
38	лишь в той	1	1
39	иметь в виду	1	1
40	какой бы то	1	1
41	в том же	3	1
42	в одной из	1	1
43	но не менее	1	1
44	тот или иной	1	1
45	в лучшем случае	1	1
46	окружающей его действительности	1	1
47	же время не	1	1
48	в чистом виде	1	1
49	из того что	2	1
50	при этом не	1	1
51	и в литературе	1	1
52	к тому чтобы	1	1
53	в той мере	1	1
54	том или ином	1	1
55	а то и	1	1
56	произведение в целом	1	1
57	с этой точки	3	1
58	внешнее и внутреннее	1	1
59	до сих пор	1	1
60	жизни и в	1	1
61	ту или иную	2	1
62	так или иначе	8	1
63	в это время	1	1
64	в значительной степени	1	1
65	язык а не	1	1
66	не только в	4	1
67	с одной стороны	2	1
68	бы ни были	1	1
69	но при этом	2	1
70	один из моментов	1	1
71	романа с этой	1	1
72	слово как таковое	1	1
73	а не как	1	1
74	все более и	1	1
75	в последнее время	1	1
76	а не только	1	1
77	не может и	1	1
78	между тем как	1	1
79	этой точки зрения	3	1
80	о том что	2	1
81	по тем же	1	1
82	может и не	1	1
83	можно было бы	1	1
84	с самого начала	1	1
85	не только на	1	1
86	более и более	1	1
87	но все же	1	1
88	на то что	1	1
89	одного и того	1	1
90	не сводится к	3	1
91	в том числе	1	1
92	тех или иных	1	1
93	в отношении к	1	1
94	только при условии	1	1
95	не нуждается в	1	1
