N	2gram	Vinokur_Ku_2	KFilosof
1	может быть	15	43
2	в его	5	39
3	в нем	4	31
4	не может	9	27
5	и не	16	26
6	по отношению	1	25
7	и в	23	22
8	в себе	1	21
9	в котором	1	21
10	для меня	1	20
11	не есть	1	19
12	и его	3	17
13	в ее	1	17
14	а не	10	17
15	только в	5	16
16	в этом	18	13
17	точки зрения	14	13
18	и это	3	12
19	но не	6	12
20	ни в	4	12
21	для него	1	12
22	все эти	12	11
23	в своей	2	11
24	не в	8	11
25	к нему	2	11
26	в своем	2	10
27	это не	6	10
28	с точки	8	10
29	от себя	1	10
30	все это	5	10
31	и есть	2	9
32	в их	2	9
33	в целом	1	9
34	для нее	1	9
35	но и	7	9
36	как бы	4	9
37	и для	2	9
38	и все	2	9
39	лишь в	5	8
40	было бы	15	8
41	если бы	12	8
42	со стороны	4	8
43	не было	4	8
44	то что	9	7
45	во всем	1	7
46	должен быть	5	7
47	на основе	1	7
48	в себя	1	7
49	и здесь	5	7
50	что и	3	7
51	конечно не	2	7
52	вовсе не	9	7
53	быть только	2	7
54	я не	5	6
55	отношение к	1	6
56	отнюдь не	4	6
57	и я	1	6
58	он не	3	6
59	не значит	1	6
60	смысл и	3	6
61	и только	1	6
62	совершенно не	3	6
63	уже не	8	6
64	и их	1	6
65	но это	3	6
66	в том	19	6
67	мы имеем	5	5
68	но как	1	5
69	все же	7	5
70	но в	11	5
71	не только	20	5
72	но ведь	1	5
73	то же	6	5
74	но все	4	5
75	как и	2	5
76	должно быть	4	5
77	что я	4	5
78	не имеет	4	5
79	никогда не	2	5
80	и содержание	1	5
81	именно в	3	5
82	там где	5	5
83	хотя бы	9	5
84	не знает	3	5
85	в чем	1	4
86	при этом	2	4
87	не как	2	4
88	здесь мы	2	4
89	бы быть	1	4
90	место в	1	4
91	тем самым	2	4
92	к ним	1	4
93	в каком	4	4
94	с ними	2	4
95	между тем	6	4
96	могло бы	1	4
97	нисколько не	3	4
98	ни было	1	4
99	в одном	1	4
100	том что	11	4
101	для нас	4	4
102	а в	3	4
103	только как	2	4
104	что в	10	4
105	в своих	2	4
106	самом деле	9	3
107	на самом	2	3
108	должна быть	5	3
109	мы не	1	3
110	что это	7	3
111	в ней	3	3
112	еще не	5	3
113	и на	6	3
114	но конечно	1	3
115	а следовательно	2	3
116	себе и	1	3
117	нет и	1	3
118	независимо от	1	3
119	данный момент	3	3
120	к чему	1	3
121	бы и	4	3
122	и отношения	1	3
