N	3gram	Bakhtin_sl_2	OGranits
1	с точки зрения	3	5
2	не может быть	15	4
3	по отношению к	4	3
4	и наконец в	2	2
5	в зависимости от	4	2
6	с одной стороны	5	2
7	говорить об особой	1	2
8	с другой стороны	1	2
9	того или иного	1	2
10	с самого начала	1	2
11	в том что	4	2
12	точки зрения и	1	1
13	том что в	1	1
14	науки о слове	1	1
15	в чем же	1	1
16	иметь в виду	1	1
17	в синтаксической конструкции	1	1
18	а вовсе не	2	1
19	более или менее	2	1
20	всегда нуждается в	1	1
21	выйти за пределы	1	1
22	говорить не приходится	1	1
23	в его понимании	1	1
24	и не может	1	1
25	в отличие от	12	1
26	между тем как	1	1
27	в этом отношении	3	1
28	нужно сказать что	1	1
29	в собственном смысле	3	1
30	может быть и	2	1
31	по себе а	1	1
32	в узком смысле	4	1
33	для того чтобы	2	1
34	его роль в	1	1
35	там где она	1	1
36	а также и	2	1
37	тем не менее	1	1
38	отношение к слову	1	1
39	но может быть	1	1
40	в связи с	2	1
41	так и для	2	1
42	это и не	1	1
43	наиболее близкий к	1	1
44	в области поэтики	1	1
45	быть сведены к	1	1
46	все то что	1	1
47	в предшествующей главе	2	1
48	то же время	4	1
49	как мог бы	1	1
50	мы не можем	1	1
51	она ни была	1	1
52	те или иные	1	1
53	жизненных ситуациях и	1	1
54	включает в себя	2	1
55	но в то	3	1
56	слова могут быть	1	1
57	на то что	1	1
58	в то же	4	1
59	к единству языка	1	1
60	тех или иных	1	1
61	человека и его	2	1
62	как и в	1	1
63	только с помощью	1	1
