N	2gram	Bakhtin_sl_2	NovoeSre
1	а не	14	17
2	и в	39	16
3	не может	20	16
4	совсем не	1	12
5	и не	22	11
6	и есть	1	10
7	что в	3	9
8	как не	1	8
9	в том	5	8
10	жизни и	6	8
11	он не	2	8
12	культуры и	1	7
13	в этом	16	7
14	к новому	3	7
15	может быть	37	7
16	как и	6	7
17	средние века	1	7
18	с его	7	6
19	не в	9	6
20	ни в	4	6
21	никогда не	7	6
22	лишь в	3	6
23	но это	3	6
24	не знает	2	6
25	должен быть	2	5
26	с ее	2	5
27	в ней	3	5
28	и к	6	5
29	не только	24	5
30	xix века	4	5
31	все это	16	5
32	в нем	19	5
33	новое время	2	4
34	со всех	1	4
35	о том	2	4
36	всех сторон	2	4
37	xix и	1	4
38	эпохи и	2	4
39	в них	6	4
40	то что	2	4
41	это не	5	4
42	прежде всего	8	4
43	не было	2	4
44	должно быть	1	4
45	и потому	7	4
46	не менее	4	4
47	и для	5	4
48	и все	5	4
49	с другой	5	3
50	смысле слова	1	3
51	в средние	1	3
52	должна быть	3	3
53	человека и	3	3
54	еще не	7	3
55	во всех	12	3
56	за пределы	2	3
57	в истории	11	3
58	как в	13	3
59	конечно не	5	3
60	всех сферах	1	3
61	не значит	1	3
62	к ним	1	3
63	перейти к	1	3
64	в мире	1	3
65	но и	21	3
66	это было	1	3
67	стремится к	3	3
68	в своей	1	3
69	в новое	4	3
70	в прошлом	2	3
71	она не	6	3
72	эти формы	4	3
73	что такое	1	3
74	в наше	1	3
75	в основе	4	3
76	жизни в	2	3
77	в духе	1	3
78	сказать что	3	3
79	и это	1	2
80	нем нет	1	2
81	силы и	1	2
82	это и	2	2
83	роль в	2	2
84	ведь и	2	2
85	так и	15	2
86	мы не	2	2
87	мира и	5	2
88	и с	9	2
89	для этого	4	2
90	но она	2	2
91	к духу	1	2
92	и должно	1	2
93	и что	1	2
94	и на	4	2
95	быть в	1	2
96	должно было	1	2
97	на протяжении	2	2
98	но не	6	2
99	которую она	1	2
100	в новом	2	2
101	века и	1	2
102	все время	1	2
103	самый процесс	1	2
104	с этим	2	2
105	ни к	2	2
106	хотя и	2	2
107	но в	6	2
108	в обществе	1	2
109	все эти	6	2
110	с одной	5	2
111	себя в	8	2
112	с их	3	2
113	в себе	2	2
114	уже не	5	2
115	в судьбах	1	2
116	стремиться к	2	2
117	у него	3	2
118	что она	1	2
119	и даже	7	2
120	и т.п	2	2
121	зависит от	1	2
122	и начала	1	2
123	том что	5	2
124	вместе с	2	2
125	к подлинному	1	2
126	мы говорим	1	2
127	место в	1	2
128	мысли и	1	2
129	одной стороны	5	2
130	другой стороны	1	2
131	и общества	2	2
132	если нет	1	2
133	xviii века	1	2
134	как это	3	2
135	такой же	1	2
136	в смысле	4	2
137	в то	4	2
138	одна из	4	2
139	борьба и	1	2
140	в мировой	2	2
141	того чтобы	2	2
142	и от	3	2
143	действовать и	1	2
144	в русском	1	2
145	хотя бы	3	2
146	все они	2	2
147	а в	4	2
148	могут быть	7	2
149	от этой	1	1
150	оно может	2	1
151	жизни перед	1	1
152	становится в	1	1
153	людей в	1	1
154	он может	1	1
155	не уходит	1	1
156	характер и	1	1
157	чтобы быть	1	1
158	по преимуществу	1	1
159	приводит к	1	1
160	и до	1	1
161	можно лишь	1	1
162	слова а	1	1
163	может идти	1	1
164	и этот	1	1
165	культурной и	1	1
166	с собой	1	1
167	мы уже	2	1
168	не с	3	1
169	ней нет	1	1
