N	3gram	Ircho_Kome_1	VerxiiNi
1	вместе с тем	1	8
2	с одной стороны	3	7
3	во всяком случае	2	6
4	более или менее	1	5
5	в том числе	1	5
6	до сих пор	2	5
7	для того чтобы	1	5
8	о том что	3	4
9	к тому же	5	4
10	так или иначе	1	3
11	в конце концов	4	3
12	так же как	1	3
13	и таким образом	2	3
14	тем не менее	1	3
15	в том что	9	3
16	то же самое	2	2
17	те и другие	1	2
18	потому что и	1	2
19	в этом отношении	3	2
20	может быть даже	2	2
21	что и те	1	2
22	с тех пор	1	2
23	с этой точки	1	2
24	то ни было	2	2
25	бы то ни	2	2
26	таким образом в	2	2
27	то же время	4	2
28	этой точки зрения	1	2
29	с самого начала	1	2
30	на то что	2	2
31	к одной из	1	2
32	в то же	4	2
33	и те и	1	2
34	а между тем	1	1
35	и во время	1	1
36	в силу этого	1	1
37	состоит в том	1	1
38	чуть ли не	1	1
39	иначе связанные с	1	1
40	духовной и материальной	1	1
41	по отношению к	3	1
42	в соответствии с	1	1
43	обстоит дело с	1	1
44	в первую очередь	2	1
45	в этот период	1	1
46	с этим и	1	1
47	людьми и богами	1	1
48	между тем с	1	1
49	в далеком прошлом	1	1
50	в этой области	1	1
51	в данном случае	1	1
52	как видно из	1	1
53	на этот раз	1	1
54	смысле этого слова	1	1
55	но при этом	1	1
56	в отличие от	1	1
57	или иначе связанные	1	1
58	из них не	1	1
59	представляется возможным но	1	1
60	том что они	1	1
61	мы знаем о	1	1
62	с другой стороны	5	1
63	от всей этой	1	1
64	речь идет о	3	1
65	однако еще не	1	1
66	этом отношении представляет	1	1
67	может и не	1	1
68	в то время	5	1
69	в одном из	4	1
70	не представляется возможным	1	1
71	после того как	3	1
72	одном из своих	1	1
73	еще при жизни	1	1
74	может быть в	1	1
75	отрывая его от	1	1
76	с собой на	1	1
77	именно потому что	2	1
78	и тот же	1	1
79	перед собой и	1	1
