N	2gram	Vinokur_Ku_3	Hudozhes
1	и в	23	28
2	том что	11	19
3	в ее	4	18
4	и не	10	18
5	своего рода	2	16
6	в том	22	15
7	а не	11	14
8	в этом	16	13
9	не в	5	13
10	о том	6	12
11	перед нами	1	11
12	не только	17	11
13	при этом	6	11
14	как и	5	11
15	в его	11	11
16	уже не	8	10
17	не случайно	4	10
18	в себе	1	9
19	но и	3	9
20	так и	6	8
21	между тем	4	8
22	что он	6	8
23	может быть	14	8
24	о чем	2	8
25	я не	5	7
26	по отношению	3	7
27	тогда как	1	7
28	что она	5	7
29	состоит в	2	7
30	к тому	3	7
31	в частности	2	7
32	как это	7	7
33	отношению к	2	7
34	я и	3	6
35	в котором	2	6
36	то же	6	6
37	не было	4	6
38	и с	3	6
39	в своей	4	6
40	в то	3	6
41	тем что	5	6
42	казалось бы	1	6
43	если бы	8	6
44	сводится к	1	6
45	можно сказать	2	6
46	это не	3	6
47	а в	5	6
48	то что	4	6
49	как в	4	5
50	в самом	13	5
51	что это	3	5
52	не могла	1	5
53	рядом с	1	5
54	в своем	4	5
55	не менее	12	5
56	никогда не	1	5
57	ничего не	6	5
58	и его	1	5
59	она не	3	5
60	для него	1	5
61	наряду с	1	5
62	как бы	5	5
63	вот и	1	5
64	что в	13	5
65	и другие	1	5
66	и т	54	4
67	но не	3	4
68	то в	3	4
69	он не	3	4
70	и уже	1	4
71	тем не	9	4
72	для нее	1	4
73	тому что	4	4
74	же время	1	4
75	как будто	1	4
76	и о	4	4
77	того чтобы	11	4
78	в конечном	1	4
79	вслед за	1	4
80	что они	2	4
81	только в	6	4
82	в качестве	2	4
83	что и	6	4
84	как раз	4	4
85	для того	12	4
86	превращается в	1	4
87	то и	2	4
88	не может	6	4
89	тому как	2	4
90	бы и	3	4
91	чтобы не	2	3
92	по преимуществу	3	3
93	на себя	2	3
94	в ней	3	3
95	еще не	9	3
96	и на	1	3
97	столь же	4	3
98	всякий раз	1	3
99	не все	2	3
100	со стороны	1	3
101	бы не	3	3
102	раз в	1	3
103	как он	2	3
104	можно было	11	3
105	что все	2	3
106	с другими	2	3
107	было бы	16	3
108	несмотря на	1	3
109	в этих	2	3
110	как о	3	3
111	на него	3	3
