N	3gram	Berdyaev_O_1	Russkaja
1	друг с другом	1	14
2	в том что	1	7
3	во всяком случае	1	6
4	для того чтобы	3	6
5	на то что	1	4
6	в том случае	1	4
7	не может быть	2	4
8	том случае если	1	3
9	и не может	1	3
10	и то что	1	3
11	и в том	1	2
12	это потому что	1	2
13	о том что	1	2
14	в другом месте	1	1
15	что же это	2	1
16	самим собой в	1	1
17	никогда не было	2	1
18	прежде всего в	1	1
19	в самом деле	1	1
20	может быть назван	1	1
21	в нем все	1	1
22	отношение человека к	1	1
23	в этом отношении	1	1
24	ко всему этому	1	1
25	в его жизни	1	1
26	а с ним	1	1
27	ни у кого	2	1
28	заключает в себе	1	1
29	и на нем	1	1
30	и судьбу ее	1	1
31	смысле этого слова	1	1
32	и в этом	2	1
33	друг к другу	1	1
34	в совершенно ином	1	1
35	и все же	1	1
36	русского человека в	2	1
37	от того что	1	1
38	даже и в	1	1
39	ли может быть	1	1
40	он еще не	1	1
41	в силе и	1	1
42	ее в этом	1	1
43	только вопрос о	1	1
44	и прежде всего	1	1
45	к победе над	1	1
46	и вопрос о	1	1
