N	2gram	Berdyaev_M_1	Psycholo
1	то что	5	44
2	и в	28	33
3	в этом	20	28
4	и что	2	25
5	как бы	2	25
6	все время	1	24
7	потому что	16	24
8	для того	2	23
9	том что	3	22
10	того чтобы	2	22
11	может быть	30	22
12	что в	10	21
13	в том	6	21
14	о том	2	20
15	что он	10	20
16	и мы	2	15
17	то есть	3	13
18	так же	1	13
19	и не	11	13
20	все это	6	13
21	сказать что	2	13
22	самом деле	1	12
23	в самом	11	12
24	было бы	10	12
25	все то	1	12
26	к тому	3	12
27	и все	10	12
28	так как	3	12
29	он не	24	11
30	говорит что	1	10
31	что она	1	10
32	если бы	2	10
33	в его	9	10
34	не может	28	10
35	в этой	6	9
36	в конце	7	8
37	как будто	2	8
38	вместе с	6	8
39	в каком	2	8
40	в своем	10	7
41	не только	29	7
42	в нем	13	7
43	так что	1	7
44	и только	1	7
45	до конца	14	7
46	когда он	3	7
47	для нас	3	7
48	и т	1	6
49	на самом	1	6
50	в ней	15	6
51	что они	1	6
52	все эти	2	6
53	в себе	7	6
54	после этого	1	6
55	и вот	3	6
56	во время	1	6
57	точки зрения	4	6
58	всякий раз	1	6
59	но он	9	6
60	в самой	7	6
61	когда мы	2	6
62	это не	5	6
63	мы видим	2	6
64	трагедии и	1	6
65	у него	17	6
66	а не	25	6
67	что мы	1	6
68	шекспира и	1	6
69	это и	4	5
70	мы уже	1	5
71	мы не	1	5
72	и на	6	5
73	с этим	3	5
74	все же	2	5
75	целый ряд	1	5
76	и как	2	5
77	как он	2	5
78	как и	5	5
79	нисколько не	1	5
80	никогда не	14	5
81	и его	9	5
82	и это	12	5
83	казалось бы	1	5
84	с ним	2	5
85	заключается в	1	5
86	вовсе не	1	5
87	и есть	14	4
88	в которой	6	4
89	я не	1	4
90	говорит о	1	4
91	с именем	1	4
92	это было	1	4
93	с тем	9	4
94	смысл и	1	4
95	в своей	15	4
96	а в	4	4
97	у нас	5	4
98	и о	1	4
99	можно было	1	4
100	жизнь и	1	4
101	об этом	1	4
102	о нем	2	4
103	того что	7	4
104	этот вопрос	1	4
105	только в	6	4
106	себя в	3	4
107	в жизни	3	4
108	никто не	2	4
109	что не	1	4
110	прямой линии	1	4
111	в частности	1	4
112	с этой	4	4
113	жизни и	2	4
114	к этому	2	4
115	совершенно новый	1	3
116	и до	1	3
117	и этот	4	3
118	в первый	1	3
119	то это	1	3
120	и он	12	3
121	но не	8	3
122	к которой	1	3
123	в сторону	1	3
124	конце концов	2	3
125	как в	2	3
126	увидим что	4	3
127	от этого	2	3
128	та же	1	3
129	он все	1	3
130	на этом	3	3
131	его в	3	3
132	должен был	4	3
133	должно быть	3	3
134	всех этих	1	3
135	несет в	1	3
136	но если	3	3
137	в которых	4	3
138	в дневнике	2	3
139	т п	1	3
140	тому чтобы	2	3
141	она не	4	3
142	в то	2	3
143	в основе	2	3
144	мы все	1	3
145	в самых	1	3
146	пути и	2	3
147	и для	2	3
148	нет ни	1	3
149	что составляет	1	3
150	в пределах	1	3
151	в мире	10	3
152	так и	1	3
153	по прямой	1	3
154	что и	4	3
155	во всей	1	3
156	конечно не	3	3
157	был бы	10	3
158	всяком случае	1	3
159	в одном	1	3
160	этой трагедии	1	3
161	тем что	4	3
162	бы это	1	3
163	и из	1	3
164	до сих	2	3
165	но и	25	3
166	на этот	2	3
167	обратиться к	1	3
168	не было	18	3
169	эти слова	2	3
170	в той	2	3
171	да и	1	3
172	сих пор	2	3
173	за этим	1	3
174	почему он	1	3
175	к этой	2	3
176	в своих	1	3
177	во всяком	1	3
178	нем нет	1	2
179	также и	2	2
180	и то	1	2
181	между двумя	1	2
182	жизни ее	1	2
183	с таким	1	2
184	всей ее	1	2
185	а как	2	2
186	мы имеем	1	2
187	время как	2	2
188	принадлежит к	1	2
189	и ее	1	2
190	литературы и	2	2
191	мы читаем	1	2
