N	3gram	Bakhtin_KF_1	Vvedenie
1	для того чтобы	1	20
2	в том что	2	12
3	в этом смысле	3	8
4	не может быть	11	8
5	тем не менее	2	8
6	то же время	2	6
7	в то же	2	6
8	по отношению к	22	4
9	и в этом	3	4
10	во всяком случае	1	4
11	само по себе	1	4
12	и именно в	1	3
13	вместе с тем	1	3
14	и тем не	1	3
15	вопрос о том	2	3
16	но в то	1	3
17	в известном смысле	1	3
18	что может быть	1	3
19	на том что	1	2
20	со стороны своего	1	2
21	дело в том	1	2
22	во второй половине	1	2
23	в соответствии с	2	2
24	то же самое	1	2
25	влечет за собой	1	2
26	с точки зрения	9	2
27	хотя бы и	1	2
28	может быть и	1	2
29	в самом своем	1	2
30	стороны своего содержания	1	2
31	на задний план	1	2
32	смысле этого слова	1	2
33	не в том	1	2
34	тем или иным	1	2
35	может быть в	3	2
36	той или иной	2	2
37	и того же	1	1
38	не может не	1	1
39	он должен быть	1	1
40	но это уже	2	1
41	и хх вв	2	1
42	мы говорим о	1	1
43	того что в	1	1
44	потому что в	1	1
45	со стороны ее	1	1
46	имеем в виду	2	1
47	на самом деле	3	1
48	в настоящее время	1	1
49	имеют дело с	1	1
50	в том же	1	1
51	тогда когда оно	1	1
52	дело лишь с	1	1
53	можно и должно	1	1
54	то или иное	2	1
55	как это было	1	1
56	в лучшем случае	1	1
57	жизнь в целом	1	1
58	не было бы	3	1
59	только в том	1	1
60	бы оно было	1	1
61	имеет дело лишь	1	1
62	то что этот	1	1
63	и говорить о	1	1
64	самого по себе	1	1
65	она может быть	1	1
66	может быть только	7	1
67	как если бы	1	1
68	и не в	1	1
69	ту или иную	1	1
70	и то что	1	1
71	в зависимости от	1	1
72	и та область	1	1
73	во всех отношениях	2	1
74	бы и не	2	1
75	это может быть	1	1
76	в первом случае	1	1
77	не есть еще	1	1
78	то ни было	2	1
79	именно в этой	1	1
80	все это можно	1	1
81	отношению к нему	4	1
82	отсюда следует что	1	1
83	смысле слова в	1	1
84	притом не только	1	1
85	в определенное время	1	1
86	и не нужно	1	1
87	как момент в	1	1
88	бы то ни	2	1
89	том что между	1	1
90	том смысле в	1	1
91	на этом пути	1	1
92	когда мы говорим	1	1
93	от себя не	1	1
94	не потому что	1	1
95	же самое что	1	1
96	в свою очередь	1	1
97	того или иного	3	1
98	не со стороны	2	1
99	вытекает из самого	1	1
100	но в этом	1	1
101	только тогда когда	1	1
102	одного и того	1	1
103	и не потому	1	1
104	отсюда ясно что	1	1
105	уже не только	1	1
106	но во всяком	1	1
107	еще не значит	1	1
108	с ней то	1	1
109	к тому что	1	1
110	в соответствующих местах	1	1
111	не значит что	1	1
112	только в этом	1	1
113	если бы оно	1	1
114	в этом ее	1	1
115	в средние века	1	1
116	во всех его	1	1
117	а именно в	1	1
118	и в результате	1	1
119	друг для друга	1	1
120	не в этом	1	1
121	и вопрос о	1	1
