N	3gram	Losev_Prob_5	RusskieA
1	в том что	8	15
2	в xix в	1	10
3	и т д	1	9
4	состоит в том	1	8
5	вместе с тем	3	6
6	как мы увидим	1	5
7	в связи с	7	4
8	о том что	9	4
9	в настоящее время	3	3
10	с точки зрения	8	3
11	тем не менее	5	3
12	что иное как	3	2
13	не только по	1	2
14	в какой степени	1	2
15	но это не	1	2
16	в это время	2	2
17	и потому что	1	2
18	все же не	3	2
19	в других местах	1	2
20	но тем не	1	2
21	мы увидим ниже	1	2
22	но все же	2	2
23	в большинстве случаев	1	2
24	после того как	3	2
25	по этому поводу	2	2
26	не что иное	3	2
27	ничего общего не	1	1
28	потому что он	2	1
29	хотя и не	1	1
30	только потому что	1	1
31	что от них	1	1
32	по отношению к	2	1
33	точно так же	3	1
34	на самом деле	1	1
35	точки зрения в	1	1
36	тому что в	1	1
37	в таком случае	2	1
38	то что и	1	1
39	можно судить по	1	1
40	и в дальнейшем	1	1
41	в этом отношении	1	1
42	интересно не только	1	1
43	можно было бы	1	1
44	были у нас	1	1
45	увидим ниже в	1	1
46	между прочим так	1	1
47	вот что пишет	1	1
48	что они были	1	1
49	к другому и	1	1
50	и с ней	1	1
51	у него нет	1	1
52	не потому что	1	1
53	не только в	1	1
54	еще в середине	1	1
55	как будто бы	3	1
56	и в этом	1	1
57	поступать так как	2	1
58	о том чтобы	1	1
59	и как бы	1	1
60	не только как	1	1
61	во всяком случае	2	1
62	думается что для	1	1
63	только о том	1	1
64	и в том	1	1
65	бросается в глаза	1	1
66	в то время	3	1
67	никак не может	2	1
68	вопрос о том	1	1
69	здесь говорится о	1	1
70	можно сказать что	3	1
71	на то что	2	1
72	это таким образом	1	1
73	для нас не	2	1
74	потому что они	2	1
75	только тогда когда	3	1
76	в данном случае	2	1
