N	2gram	Berdyaev_M_2	Psycholo
1	то что	5	37
2	и в	46	30
3	в том	3	27
4	что в	4	24
5	и что	2	23
6	потому что	12	23
7	том что	4	21
8	того чтобы	4	20
9	все время	2	20
10	для того	5	20
11	как бы	8	19
12	на то	1	17
13	что он	7	17
14	не только	18	16
15	в трагедии	3	15
16	в этом	20	14
17	в самом	5	14
18	так же	6	13
19	в сущности	2	12
20	вместе с	2	12
21	может быть	21	11
22	если бы	3	11
23	как на	1	11
24	о том	3	10
25	и то	1	9
26	никогда не	18	9
27	увидим что	2	9
28	так как	8	9
29	с другой	1	9
30	для этого	4	9
31	не может	15	9
32	сказать что	3	9
33	мы увидим	2	9
34	самом деле	1	8
35	на деле	4	8
36	что это	6	8
37	он должен	1	8
38	с тем	1	8
39	не в	9	8
40	к тому	5	8
41	и это	5	8
42	тому что	4	8
43	того что	6	8
44	мы видим	2	8
45	а не	13	8
46	то же	5	7
47	и как	1	7
48	в нем	22	7
49	точки зрения	2	7
50	по себе	2	7
51	в основе	2	7
52	что если	1	6
53	в своем	8	6
54	говорит что	2	6
55	и если	2	6
56	что она	5	6
57	на этом	2	6
58	что все	5	6
59	как и	13	6
60	и его	5	6
61	как будто	2	6
62	и здесь	6	6
63	и тем	1	6
64	уже в	2	6
65	тем что	3	6
66	но и	15	6
67	и не	18	6
68	и для	7	6
69	жизни и	6	6
70	и есть	8	5
71	что они	3	5
72	когда он	1	5
73	в себе	10	5
74	в целом	1	5
75	в этой	7	5
76	было бы	1	5
77	был бы	1	5
78	сих пор	3	5
79	но в	10	5
80	один из	5	5
81	только в	3	5
82	до сих	3	5
83	а с	1	5
84	и потому	7	5
85	бы в	2	5
86	в своих	3	5
87	в ней	11	4
88	друг к	5	4
89	могли бы	1	4
90	и к	7	4
91	к другу	5	4
92	есть не	5	4
93	в них	3	4
94	с такой	1	4
95	в своей	5	4
96	тому который	1	4
97	не могли	1	4
98	и именно	1	4
99	у нас	11	4
100	по сравнению	1	4
101	мысль о	2	4
102	на примере	1	4
103	в его	5	4
104	только что	1	4
105	в конце	5	4
106	от того	3	4
107	прежде всего	12	4
108	о чем	1	4
109	сравнению с	1	4
110	этой трагедии	1	4
111	и все	5	4
112	а в	2	4
113	не есть	13	4
114	сам по	2	3
115	той же	3	3
116	мы не	1	3
117	в учении	1	3
118	и на	3	3
119	в ее	1	3
120	как в	7	3
121	в которой	2	3
122	на его	2	3
123	он не	10	3
124	что ни	1	3
125	находит себе	1	3
126	можно было	2	3
127	человека в	14	3
128	в другом	1	3
129	об этом	1	3
130	это не	5	3
131	ни в	3	3
132	и уже	1	3
133	в этих	2	3
134	вопрос о	6	3
135	но он	11	3
136	учения о	1	3
137	этом отношении	1	3
138	не могут	1	3
139	что у	4	3
140	так и	4	3
141	именно потому	1	3
142	и поэтому	2	3
143	что и	4	3
144	и только	1	3
145	тот же	2	3
146	так что	2	3
147	для него	18	3
148	у него	22	3
149	что на	1	3
150	чем у	4	3
151	была бы	1	3
152	с которым	3	3
153	в строении	3	3
154	в той	1	3
155	это есть	2	3
156	не существует	3	3
157	формы и	1	3
158	дело и	1	3
159	целый ряд	1	3
160	мы должны	1	3
161	хотя бы	7	3
162	этим он	1	3
163	в свою	4	3
164	по поводу	1	3
165	это в	1	3
166	к этому	1	3
167	от этой	2	2
168	же как	3	2
169	того же	1	2
170	это и	3	2
171	бы для	1	2
172	из самых	1	2
173	к другому	3	2
174	по преимуществу	5	2
175	должна быть	1	2
176	с таким	2	2
177	отношения к	2	2
178	если я	2	2
179	это совершенно	1	2
180	это означает	2	2
181	но она	2	2
182	что иное	3	2
183	для нашей	2	2
184	и он	11	2
185	он был	9	2
186	иное как	3	2
187	со словами	1	2
188	с его	4	2
189	во всех	2	2
190	на самом	1	2
191	совсем не	5	2
192	по отношению	2	2
193	себе и	2	2
194	такой силой	1	2
195	в центре	2	2
196	его на	4	2
197	с этим	1	2
198	вносит в	1	2
199	ни один	1	2
200	он в	3	2
201	все эти	1	2
202	в нашем	7	2
203	к самому	2	2
204	вопроса о	4	2
205	как он	3	2
206	есть одна	1	2
207	и вот	5	2
208	дальше он	1	2
209	одной и	2	2
210	в нее	1	2
211	но все	1	2
212	в каждом	3	2
213	совпадают с	1	2
214	же не	1	2
215	и с	3	2
216	говорил что	1	2
217	все равно	3	2
218	к которым	1	2
219	для чего	3	2
220	чем в	2	2
221	должно быть	2	2
222	бы на	1	2
223	этого необходимо	3	2
224	как все	1	2
225	в письме	1	2
226	в котором	1	2
