N	3gram	Ircho_Kome_3	UchenyiS
1	в конечном счете	2	4
2	с другой стороны	2	3
3	то же время	4	3
4	бы то ни	2	3
5	в то же	4	3
6	то ни было	2	3
7	в самом деле	6	2
8	то же самое	3	2
9	до сих пор	9	2
10	в этом отношении	2	2
11	в том что	9	2
12	по крайней мере	1	2
13	и в частности	1	2
14	в конце концов	2	2
15	том что она	1	1
16	все что угодно	1	1
17	так или иначе	2	1
18	но он уже	1	1
19	более или менее	1	1
20	на предыдущих страницах	1	1
21	равно как и	1	1
22	имеем в виду	1	1
23	в этом случае	2	1
24	на первый план	1	1
25	приходится признать что	1	1
26	и в то	1	1
27	же самое что	1	1
28	таким образом на	1	1
29	в первую очередь	1	1
30	рассматривать не как	1	1
31	не о чем	1	1
32	можно сказать что	1	1
33	мы имеем в	1	1
34	когда бы то	1	1
35	на то что	1	1
36	конечно не приходится	1	1
37	друг с другом	1	1
38	они относятся к	1	1
39	с одной стороны	3	1
