N	3gram	Bakhtin_Pr_1	Hudozhes
1	о том что	1	9
2	и т п	3	8
3	то же время	9	8
4	по отношению к	8	8
5	в то же	9	8
6	в том что	6	6
7	в самом деле	2	4
8	можно было бы	2	4
9	к тому что	1	4
10	с точки зрения	13	3
11	в этом отношении	3	3
12	но в то	5	3
13	та или иная	1	3
14	и т д	1	3
15	к себе самому	1	2
16	того или иного	1	2
17	что же касается	1	2
18	в столкновение с	1	2
19	до сих пор	2	2
20	то и другое	1	2
21	не согласиться с	1	2
22	для своего времени	1	2
23	не только в	2	2
24	это прежде всего	1	2
25	не в том	1	2
26	не может быть	4	2
27	и это не	3	2
28	тому что он	1	2
29	потому что он	1	1
30	авторскую точку зрения	1	1
31	то что я	1	1
32	что она не	3	1
33	но у него	1	1
34	на самом деле	4	1
35	же авторского видения	1	1
36	как нам кажется	1	1
37	а не о	1	1
38	в этом смысле	10	1
39	т п все	2	1
40	прежде всего во	1	1
41	том что он	4	1
42	то же самое	1	1
43	же как и	1	1
44	может быть только	1	1
45	и в этом	5	1
46	и в то	2	1
47	с самого начала	1	1
48	до известной степени	1	1
49	для него в	1	1
50	сами по себе	3	1
51	в изображении человека	1	1
52	более или менее	1	1
53	же время не	3	1
54	что все эти	1	1
55	в себе и	1	1
56	себе самому и	1	1
57	приходит в столкновение	1	1
58	и весь мир	1	1
59	перед нами не	1	1
60	и что в	1	1
61	и по отношению	1	1
62	духе а в	1	1
63	не потому что	1	1
64	в первом случае	1	1
65	в высшей степени	1	1
66	в конце концов	5	1
67	в пределах художественного	1	1
68	так и в	1	1
69	было бы дать	1	1
70	потому что именно	1	1
71	диалог в сущности	1	1
72	мы уже говорили	1	1
73	столкновение с внешней	1	1
74	как впрочем и	1	1
75	в том и	1	1
76	во всяком случае	3	1
77	они уже не	3	1
78	как бы в	2	1
79	за пределами художественного	1	1
80	смысле как мы	1	1
81	а в том	1	1
82	в данном случае	2	1
83	у него уже	1	1
84	т е все	1	1
85	как будто бы	1	1
86	по себе а	1	1
87	в свою очередь	1	1
88	именно к этой	1	1
89	этой точки зрения	1	1
90	не только не	1	1
91	но все же	2	1
92	того что он	1	1
93	и быть не	1	1
94	все же не	2	1
95	в художественном мире	2	1
96	друг с другом	1	1
97	в настоящем и	1	1
98	она не может	1	1
99	на первый взгляд	1	1
