N	3gram	Tiupa_Hudo_2	OGranits
1	с точки зрения	2	5
2	не может быть	3	4
3	по отношению к	7	3
4	в г в	1	2
5	в самом деле	3	2
6	в данном случае	2	2
7	с одной стороны	3	2
8	с другой стороны	1	2
9	того или иного	2	2
10	с самого начала	1	2
11	в том что	11	2
12	том что в	3	1
13	переживания более того	1	1
14	как и всякого	1	1
15	об этом говорит	1	1
16	подобно тому как	4	1
17	то же самое	2	1
18	как это обычно	1	1
19	своего рождения и	1	1
20	нет и не	1	1
21	между тем как	1	1
22	в этом отношении	1	1
23	можно было бы	2	1
24	то или иное	1	1
25	которым можно было	1	1
26	для того чтобы	3	1
27	так же как	2	1
28	создается прежде всего	1	1
29	состоит в том	2	1
30	а также и	1	1
31	тем не менее	3	1
32	в течение всей	1	1
33	но и его	1	1
34	а не как	1	1
35	даже для себя	1	1
36	что же такое	1	1
37	то же время	4	1
38	но тем не	2	1
39	та или иная	1	1
40	в конечном счете	3	1
41	никоим образом не	1	1
42	в то же	4	1
43	к тому что	4	1
44	тому что он	2	1
45	человека и его	1	1
46	как и в	3	1
