N	2gram	Medvedev_U_1	Myslijsy
1	то есть	1	42
2	и в	14	39
3	может быть	6	27
4	в том	2	26
5	только в	2	25
6	не может	7	22
7	что в	1	22
8	не только	10	21
9	а не	10	21
10	в нем	1	20
11	но и	4	20
12	и не	8	18
13	том что	2	16
14	в этом	7	15
15	не в	2	15
16	если бы	2	14
17	в себе	2	13
18	таким образом	2	13
19	так и	1	13
20	было бы	3	12
21	мы не	2	10
22	по себе	2	10
23	и что	1	10
24	то что	7	10
25	не есть	2	10
26	но в	3	9
27	как и	3	9
28	тогда когда	1	9
29	могут быть	2	9
30	тем что	2	9
31	но не	2	8
32	язык в	1	8
33	того что	1	8
34	по его	1	7
35	в ней	1	7
36	это не	3	7
37	то и	1	7
38	с другой	4	7
39	должно быть	1	7
40	то же	5	6
41	независимо от	1	6
42	все же	3	6
43	того как	1	6
44	что и	2	6
45	не следует	3	5
46	с тем	1	5
47	что при	1	5
48	между тем	2	5
49	в его	2	5
50	для всех	2	5
51	и потому	1	5
52	но это	2	5
53	и для	2	5
54	другой стороны	3	5
55	в таком	1	5
56	бы ни	1	4
57	подобным образом	1	4
58	этом смысле	2	4
59	в то	3	4
60	никогда не	1	4
61	же время	3	4
62	не могут	2	4
63	есть наука	1	4
64	бы в	1	4
65	говорит он	1	4
66	для него	3	4
67	само по	1	4
68	не было	1	4
69	и даже	1	4
70	прежде всего	8	4
71	что мы	2	4
72	быть не	1	4
73	при таком	2	4
74	а между	2	3
75	противном случае	2	3
76	должна быть	2	3
77	и то	3	3
78	очевидно что	3	3
79	относится к	1	3
80	в своем	1	3
81	в противном	2	3
82	что по	1	3
83	в самом	2	3
84	он не	1	3
85	то ни	3	3
86	что все	2	3
87	той же	1	3
88	и с	2	3
89	а его	2	3
90	в этой	4	3
91	восприятия и	1	3
92	в своей	3	3
93	друг другу	1	3
94	она не	1	3
95	сколько и	1	3
96	находятся в	1	3
97	для себя	1	3
98	и это	1	3
99	столько же	1	3
100	в словах	1	3
101	по мнению	1	3
102	с одной	1	3
103	или даже	1	3
104	одно из	1	3
105	что для	1	3
106	одной стороны	1	3
107	только для	1	3
108	о котором	1	3
109	и все	1	3
110	сказать что	1	3
111	как на	1	3
112	одним из	2	2
113	их и	2	2
114	а как	2	2
115	бы то	3	2
116	не все	2	2
117	за пределы	1	2
118	в течение	1	2
119	могли бы	2	2
