1	в книге	2	3
2	и в	15	2
3	в том	33	2
4	том что	27	2
5	по поводу	4	1
6	все это	4	1
7	столь же	2	1
8	в другом	2	1
9	гораздо более	1	1
10	в частности	6	1
11	никакой теории	1	1
12	только в	4	1
13	один пример	1	1
14	в которых	3	1
15	не хочу	1	1
16	и его	4	1
17	дело в	1	1
18	к созданию	1	1
19	под влиянием	1	1
20	и составляет	2	1
21	хотя бы	4	1
22	сводится к	1	1
23	одно и	1	1
24	и то	1	1
25	для них	1	1
26	но разве	2	1
27	в этом	19	1
28	одном и	1	1
29	но это	1	1
30	то же	5	1
31	вещь и	1	1
32	что слово	1	1
33	и заключается	1	1
34	и не	7	1
35	ведь это	1	1
36	более чем	1	1
37	в теории	6	1
38	к чему	2	1
39	к этому	4	1
40	и только	3	1
41	и т.д	12	1
42	потому что	7	1
43	в их	2	1
44	интересует в	1	1
45	все время	3	1
46	другом месте	2	1
47	и самым	2	1
48	тем более	3	1
49	я не	1	1
50	в самом	11	1
51	по существу	5	1
52	самом деле	6	1
53	речи и	15	1
54	да и	1	1
55	так как	4	1
56	говоря о	1	1
57	именно в	2	1
58	не будем	1	1
59	время в	1	1
60	на одном	2	1
61	том же	2	1
