N	3gram	Bakhtin_fo_2	EvropaiE
1	с точки зрения	8	16
2	в то же	4	15
3	то же время	4	14
4	и в то	3	8
5	с одной стороны	1	8
6	в том что	3	6
7	с этой точки	1	5
8	этой точки зрения	1	5
9	для того чтобы	7	5
10	не только в	5	4
11	и в этом	3	4
12	той или иной	1	4
13	в той или	1	3
14	в этом отношении	2	3
15	друг с другом	4	3
16	во всех случаях	1	3
17	как бы ни	1	3
18	и прежде всего	3	3
19	можно сказать что	1	3
20	прежде всего в	2	2
21	только в том	1	2
22	то что в	1	2
23	рано или поздно	1	2
24	в данном случае	1	2
25	дело идет о	1	2
26	но в то	1	2
27	по сравнению с	1	2
28	с другой стороны	1	2
29	не может быть	1	2
30	в частности в	1	2
31	в свою очередь	1	2
32	прежде всего к	1	2
33	в одном из	1	2
34	друг от друга	2	2
35	в большинстве случаев	3	2
36	как мы видели	1	2
37	и того же	1	1
38	к участию в	1	1
39	не может не	1	1
40	в этом мире	6	1
41	что в этом	2	1
42	только в пределах	1	1
43	другой стороны в	1	1
44	также и в	1	1
45	мы видели в	1	1
46	в том же	4	1
47	и не только	1	1
48	в отличие от	1	1
49	но и в	3	1
50	и та же	2	1
51	с тем что	1	1
52	том числе и	2	1
53	от плоти и	1	1
54	в значительной мере	1	1
55	в этом процессе	1	1
56	может быть и	2	1
57	лишь в случаях	1	1
58	ибо то что	1	1
59	плоть от плоти	1	1
60	а также и	1	1
61	во всех этих	3	1
62	то время как	1	1
63	в связи с	7	1
64	но в смысле	1	1
65	когда дело идет	1	1
66	и во все	1	1
67	одна и та	2	1
68	чем если бы	1	1
69	о которых мы	1	1
70	вместо того чтобы	1	1
71	и затем в	1	1
72	в то время	1	1
73	далее в этом	1	1
74	связи с этим	2	1
75	то есть в	1	1
76	это значит что	2	1
77	оно не может	1	1
78	выходит за пределы	1	1
79	но в отношении	1	1
80	одного и того	1	1
81	в том числе	3	1
82	к тому что	1	1
83	или вовсе не	1	1
84	в себе в	1	1
85	всех этих случаях	1	1
86	и т д	3	1
