N	2gram	Tiupa_Hudo_1	Dialekti
1	и не	2	30
2	т е	4	30
3	может быть	5	20
4	не только	12	19
5	и в	14	19
6	по себе	2	18
7	и т	11	17
8	а не	12	16
9	в себе	11	15
10	т д	3	15
11	что она	4	14
12	потому что	5	14
13	то что	8	14
14	в том	12	14
15	так как	1	14
16	и даже	3	14
17	как бы	7	14
18	вовсе не	1	13
19	то же	9	12
20	точки зрения	5	12
21	но и	5	12
22	и все	4	12
23	и как	1	10
24	в нем	3	10
25	ни в	5	10
26	как и	9	10
27	том что	16	10
28	сказать что	1	10
29	так и	13	10
30	это не	7	10
31	никогда не	6	9
32	времени и	1	9
33	же и	1	9
34	не может	7	9
35	она есть	1	9
36	мы уже	4	8
37	в этом	11	8
38	в своей	10	8
39	с точки	3	8
40	не в	7	8
41	есть нечто	1	8
42	личности в	7	8
43	она не	4	8
44	прежде всего	11	8
45	и то	1	7
46	так что	2	7
47	и к	4	7
48	должно быть	2	7
49	как это	1	7
50	как будто	4	7
51	но это	1	7
52	что в	6	7
53	я не	1	6
54	но не	3	6
55	что они	1	6
56	отнюдь не	3	6
57	в то	8	6
58	и та	1	6
59	что он	9	6
60	не потому	1	6
61	что не	2	6
62	того что	4	6
63	да и	2	6
64	личности и	2	6
65	жизни и	5	6
66	от личности	2	5
67	и потому	2	5
68	и это	4	5
69	говорить о	3	5
70	в силу	1	5
71	все равно	2	5
72	жизнь и	1	5
73	иной раз	1	5
74	же время	8	5
75	и его	5	5
76	на свете	1	5
77	и с	4	5
78	в виду	1	5
79	о том	12	5
80	и что	2	5
81	можно сказать	4	5
82	а она	1	5
83	но как	2	5
84	с другой	1	5
85	по своему	3	5
86	в смысле	1	5
87	как раз	4	5
88	только что	4	5
89	в самом	4	5
90	только в	5	5
91	еще не	7	4
92	самом деле	5	4
93	тут же	1	4
94	в одной	2	4
95	в своем	4	4
96	все же	3	4
97	та же	4	4
98	как он	2	4
99	при этом	12	4
100	он не	4	4
101	же это	1	4
102	и вот	1	4
103	содержит в	1	4
104	и по	3	4
105	одна и	1	4
106	как таковой	1	4
107	нисколько не	1	4
108	в одном	1	4
109	но он	3	4
110	все это	2	4
111	с ним	4	4
112	по своей	4	4
113	связи с	4	4
