N	2gram	Bakhtin_sl_2	Tvorches
1	и в	39	21
2	как бы	7	17
3	романах достоевского	1	15
4	в то	4	15
5	то же	4	13
6	в его	7	13
7	в романах	3	13
8	то есть	26	12
9	как и	6	12
10	же время	4	12
11	что в	3	12
12	с его	7	11
13	том что	5	11
14	все это	16	10
15	в романе	46	10
16	как в	13	8
17	он не	2	8
18	то что	2	8
19	и на	4	7
20	но в	6	7
21	не только	24	7
22	при этом	7	7
23	у него	3	7
24	и не	22	7
25	в том	5	7
26	в свою	3	7
27	в этом	16	6
28	человека в	5	6
29	не менее	4	6
30	и его	33	6
31	он сам	1	6
32	о том	2	6
33	и все	5	6
34	что он	2	6
35	для него	7	6
36	xix века	4	6
37	а в	4	6
38	жизни в	2	6
39	отнюдь не	1	5
40	все же	6	5
41	в этой	1	5
42	таким образом	8	5
43	вовсе не	10	5
44	в своих	1	5
45	только в	5	5
46	может быть	37	5
47	а не	14	5
48	но это	3	5
49	хотя бы	3	5
50	человека и	3	4
51	в своем	6	4
52	и как	3	4
53	та же	1	4
54	в целом	1	4
55	это не	5	4
56	в своей	1	4
57	мысли и	1	4
58	в мире	1	4
59	одной из	1	4
60	прежде всего	8	4
61	не может	20	4
62	и от	3	4
63	в основном	4	4
64	один из	5	4
65	одним из	2	4
66	ту же	3	3
67	и т	35	3
68	это и	2	3
69	той же	3	3
70	не был	2	3
71	со всеми	2	3
72	творчество достоевского	1	3
73	хотя и	2	3
74	героев достоевского	1	3
75	в самом	1	3
76	сливается с	4	3
77	в нем	19	3
78	он ни	1	3
79	на его	2	3
80	и по	1	3
81	в каждом	1	3
82	и с	9	3
83	и других	4	3
84	на протяжении	2	3
85	достоевского и	1	3
86	далеко не	2	3
87	в их	2	3
88	место в	1	3
89	даже в	2	3
90	человека но	1	3
91	дело не	1	3
92	самого начала	1	3
93	дело в	2	3
94	героев и	1	3
95	никогда не	7	3
96	стремится к	3	3
97	с ее	2	3
98	и другие	2	3
99	с самого	1	3
100	в дальнейшем	2	3
101	с ним	7	3
102	в ту	1	3
103	того что	1	3
104	уже не	5	3
105	уже в	2	3
106	в виде	2	3
107	говорит о	1	3
108	так как	4	3
109	связан с	3	3
110	и даже	7	3
111	с другой	5	3
112	но и	21	3
113	но не	6	3
114	он говорит	1	3
115	просто не	2	3
116	это как	1	3
117	жизни и	6	3
118	себя как	1	2
119	и рассказы	1	2
120	того же	1	2
121	проблемы в	1	2
122	по преимуществу	1	2
123	мировоззрения и	1	2
124	а как	1	2
125	есть не	1	2
126	но она	2	2
127	мир с	1	2
128	социальной действительности	1	2
129	героя и	5	2
130	в ней	3	2
131	в отличие	12	2
132	не нужно	1	2
133	людей в	1	2
134	в чем	3	2
135	отличие от	13	2
136	в одной	1	2
137	как к	3	2
138	что как	1	2
