N	2gram	Medvedev_I_1	OGranits
1	и в	1	13
2	и не	2	8
3	в материале	1	5
4	все это	1	4
5	так и	1	3
6	говорить о	1	3
7	по отношению	1	3
8	никогда не	1	3
9	отношению к	1	3
10	что в	2	3
11	и др	1	2
12	если бы	1	2
13	а также	1	2
14	в этом	2	2
15	от этого	1	2
16	в целом	1	2
17	все эти	1	2
18	для него	1	2
19	тем что	1	2
20	в них	1	2
21	и задача	1	2
22	с другой	1	2
23	другой стороны	1	2
24	бы в	1	2
25	а в	1	2
26	того же	1	1
27	значительной мере	1	1
28	стр и	7	1
29	и о	1	1
30	другое дело	1	1
31	следовательно в	1	1
32	художественном творчестве	1	1
33	так напр	2	1
34	в значительной	1	1
35	стр а	3	1
36	со всеми	1	1
37	и тот	1	1
38	для того	1	1
39	автора и	1	1
40	художественного творчества	1	1
41	бы что	2	1
42	вплоть до	1	1
43	точно и	1	1
44	как о	1	1
45	того чтобы	1	1
46	в основе	1	1
47	только что	1	1
48	ничего в	1	1
49	явлений стр	1	1
50	стр не	4	1
51	но когда	1	1
52	произведения и	1	1
53	по поводу	1	1
54	что при	1	1
