N	2gram	Tiupa_Teor_1	PoTuStor
1	может быть	17	17
2	и в	18	16
3	в этом	8	9
4	таким образом	3	9
5	и только	1	9
6	прежде всего	2	9
7	точки зрения	9	8
8	и его	8	8
9	не может	4	8
10	совершенно не	1	8
11	с его	5	7
12	не только	16	7
13	сказать что	3	7
14	я и	2	6
15	при этом	12	6
16	с точки	3	6
17	и это	2	6
18	для него	2	6
19	и к	3	6
20	еще не	4	5
21	в чем	1	5
22	отношение к	5	5
23	все эти	2	5
24	ни в	2	5
25	нуждается в	1	5
26	ту сторону	1	5
27	как бы	5	5
28	и ее	3	4
29	и на	1	4
30	отнюдь не	3	4
31	но в	9	4
32	в этой	3	4
33	в нем	4	4
34	его в	2	4
35	художественного творчества	1	4
36	все это	2	4
37	по ту	1	4
38	как мы	1	4
39	с ее	3	4
40	так и	10	4
41	можно сказать	3	4
42	в его	6	4
43	с ними	1	4
44	только в	6	4
45	для всех	1	4
46	и их	1	4
47	так как	1	4
48	и даже	2	4
49	но и	9	4
50	и не	13	4
51	все что	1	4
52	отношения к	2	3
53	во всех	1	3
54	и как	2	3
55	с их	2	3
56	на две	3	3
57	и теперь	1	3
58	и вот	3	3
59	их в	3	3
60	на этом	1	3
61	этом смысле	2	3
62	том что	9	3
63	в одном	2	3
64	по крайней	1	3
65	и притом	2	3
66	в основе	3	3
67	те же	1	3
68	мира и	1	3
69	на язык	1	3
70	в конечном	6	3
71	с другими	5	3
72	крайней мере	1	3
73	в том	16	3
74	в большинстве	2	3
75	только на	1	3
76	большинстве случаев	1	3
77	в области	4	3
78	и др	1	3
79	вместе с	2	3
80	и потому	2	3
81	как это	8	3
82	быть это	1	3
83	могут быть	4	3
84	что в	9	3
85	в этих	3	3
86	а в	13	3
87	то что	3	3
88	между ними	4	3
89	ту же	1	2
90	же как	1	2
91	в самом	4	2
92	и о	4	2
93	говорить о	3	2
94	что можно	3	2
95	того же	3	2
96	на них	1	2
97	между собой	3	2
98	из этих	3	2
99	совсем не	1	2
100	но как	1	2
101	конечном счете	6	2
102	за пределы	2	2
103	что это	1	2
104	сознания при	1	2
105	он не	3	2
106	и по	2	2
107	то же	7	2
108	по своему	2	2
109	было бы	1	2
