N	3gram	Voloshinov_1	Analitik
1	в том что	2	7
2	по отношению к	3	7
3	с другой стороны	2	5
4	как и в	1	4
5	в данном случае	2	3
6	то же время	1	3
7	в то же	1	3
8	в этом отношении	1	3
9	подобно тому как	1	2
10	с точки зрения	5	2
11	в отличие от	1	2
12	с одной стороны	2	2
13	тем не менее	1	2
14	в конечном счете	1	2
15	что иное как	2	1
16	на самом деле	1	1
17	в самом деле	2	1
18	в зависимости от	2	1
19	же время в	1	1
20	одна из существеннейших	1	1
21	между тем как	1	1
22	каждом отдельном случае	1	1
23	по себе а	1	1
24	ту или иную	1	1
25	далеко не всегда	1	1
26	если говорить о	1	1
27	нигде и никогда	1	1
28	и как бы	1	1
29	а не как	1	1
30	но и его	1	1
31	в связи с	1	1
32	для того чтобы	1	1
33	один и тот	1	1
34	в тех случаях	1	1
35	того или иного	2	1
36	есть не что	2	1
37	не может быть	4	1
38	не должно быть	1	1
39	само по себе	1	1
40	впервые в истории	1	1
41	те же слова	1	1
42	до тех пор	4	1
43	и есть не	1	1
44	тех случаях когда	1	1
45	в каждом отдельном	1	1
46	того же автора	1	1
47	не что иное	2	1
48	эстетического объекта в	1	1
49	человека и его	1	1
50	и тот же	1	1
