N	3gram	Bakhtin_Pr_1	Problemy
1	с точки зрения	15	13
2	в этом смысле	9	10
3	в то же	7	9
4	то же время	7	9
5	о себе самом	6	9
6	по отношению к	11	8
7	в его целом	5	6
8	в том что	7	6
9	видения и изображения	4	6
10	в одной плоскости	3	5
11	многопланность и противоречивость	5	5
12	литературы о достоевском	5	5
13	в романе достоевского	6	5
14	но в то	2	5
15	и в этом	3	5
16	в конце концов	4	5
17	в романах достоевского	6	5
18	в зависимости от	3	5
19	между тем как	4	4
20	на самом деле	3	4
21	утвердить чужое я	4	4
22	героя о себе	3	4
23	не может быть	3	4
24	зрения на мир	6	4
25	в мире достоевского	4	4
26	самом и о	2	4
27	сознаний с их	4	4
28	с их мирами	4	4
29	не как объект	4	4
30	себе самом и	3	4
31	человек из подполья	3	4
32	а не как	3	4
33	том что он	4	4
34	в творчестве достоевского	4	4
35	подобно тому как	3	3
36	в кругозор самого	3	3
37	точки зрения монологического	3	3
38	видения и понимания	3	3
39	героя и его	2	3
40	а как другой	3	3
41	рядом с другими	3	3
42	была для него	1	3
43	стиля и тона	3	3
44	романа в его	2	3
45	они уже не	3	3
46	с другой стороны	2	3
47	в авторском замысле	2	3
48	само по себе	2	3
49	художественного видения и	3	3
50	же время не	2	3
51	становления единого духа	3	3
52	дело идет о	2	3
53	что она не	2	3
54	все то что	3	3
55	как раз и	1	3
56	одной плоскости с	1	3
57	с другими сознаниями	3	3
58	в этом отношении	5	3
59	кругозор самого героя	3	3
60	чужое я не	3	3
61	то что было	3	3
62	объект а как	3	3
63	как объект а	3	3
64	материале произведений достоевского	3	3
65	не входит в	1	3
66	в произведениях достоевского	2	3
67	ивана карамазова и	4	3
68	непосредственное выражение в	1	3
69	доминанта построения героя	1	3
70	как другой субъект	3	3
71	и о своем	1	3
72	сами по себе	3	3
73	самого героя и	3	3
74	достоевского в его	2	3
75	личного стиля и	3	3
76	потому что она	2	3
77	это не значит	2	3
78	во всяком случае	3	3
79	и это не	3	3
80	то же что	1	3
81	я не как	3	3
82	характера типа и	2	2
