N	3gram	Savitsky_P_1	FransuaR
1	то же время	7	10
2	в то же	7	10
3	в большинстве случаев	1	6
4	в том что	4	6
5	и в то	2	5
6	в настоящее время	1	3
7	в том числе	2	3
8	более или менее	1	2
9	с точки зрения	3	2
10	том числе и	1	2
11	но в то	1	2
12	с одной стороны	3	2
13	более широкой и	1	2
14	с другой стороны	1	2
15	для того чтобы	1	2
16	не может быть	1	2
17	мы видим в	1	1
18	о котором говорит	1	1
19	и как раз	2	1
20	будущее в свете	1	1
21	одной стороны и	2	1
22	начала и конца	1	1
23	но и другие	1	1
24	нет ничего более	1	1
25	в эту эпоху	1	1
26	же время в	1	1
27	только в условиях	1	1
28	вместе с тем	1	1
29	в отличие от	1	1
30	но и в	2	1
31	что дело идет	1	1
32	в значительной мере	2	1
33	и то что	1	1
34	она должна была	1	1
35	и в частности	1	1
36	там где он	1	1
37	если бы мы	1	1
38	дело идет именно	1	1
39	касается не только	1	1
40	с величайшим трудом	1	1
41	в известном смысле	1	1
42	и в этом	1	1
43	по сравнению с	1	1
44	настоящее время в	1	1
45	не в том	1	1
46	бы оно ни	1	1
47	в частности в	1	1
48	мы не будем	1	1
49	заключается в том	2	1
50	в этом смысле	1	1
51	не будем касаться	1	1
52	друг с другом	1	1
53	с тем чтобы	1	1
