N	2gram	Trubetskoy_1	Tvorches
1	и в	23	20
2	не только	7	13
3	никогда не	4	11
4	как бы	10	11
5	таким образом	31	10
6	в его	5	10
7	в то	6	10
8	и не	8	9
9	и его	1	9
10	и с	5	8
11	прежде всего	3	8
12	при этом	9	8
13	в том	30	8
14	но и	9	8
15	в этом	12	8
16	может быть	16	8
17	же время	2	7
18	не может	17	7
19	потому что	9	7
20	что в	8	7
21	то же	4	7
22	это не	3	7
23	наряду с	1	7
24	представление о	3	7
25	как и	9	6
26	так и	10	6
27	в конце	4	6
28	в своей	1	6
29	у него	5	6
30	в целом	5	6
31	именно в	5	6
32	все это	11	6
33	а не	1	6
34	что он	7	6
35	но не	2	5
36	все же	13	5
37	еще не	5	5
38	так же	8	5
39	то есть	2	5
40	если он	2	5
41	например в	1	5
42	и сам	2	5
43	и на	6	5
44	в этой	6	5
45	в мире	6	5
46	и даже	1	5
47	о том	7	5
48	все эти	19	4
49	на его	1	4
50	а а	1	4
51	что они	2	4
52	отнюдь не	2	4
53	не в	8	4
54	тем самым	3	4
55	мы не	1	4
56	а в	3	4
57	в принципе	1	4
58	хотя и	4	4
59	что она	1	4
60	как в	1	4
61	в дальнейшем	2	4
62	на стороне	1	4
63	что у	2	4
64	и от	5	4
65	и потому	3	4
66	ничего не	1	4
67	если бы	8	4
68	мы видим	1	4
69	но в	4	4
70	том что	19	4
71	одним из	4	3
72	в себе	5	3
73	тогда как	6	3
74	одна из	2	3
75	отношению к	9	3
76	до сих	8	3
77	с большим	1	3
78	в нем	3	3
79	в их	4	3
80	для него	2	3
81	его в	5	3
82	он сам	1	3
83	жизни в	1	3
84	вместе с	6	3
85	с ним	6	3
86	с этой	3	3
87	в начале	2	3
88	в таком	4	3
89	а затем	2	3
90	и отчасти	1	3
91	между тем	12	3
92	в пользу	5	3
93	один из	1	3
94	он не	3	3
95	тем что	1	3
96	уже не	1	3
97	традиции и	1	3
98	то что	18	3
99	в котором	2	3
100	же как	3	3
101	сих пор	8	3
102	в самом	8	3
103	как у	3	3
104	нет ничего	1	3
105	в своих	2	3
106	по отношению	9	3
107	и это	3	3
108	в которых	2	3
109	к этому	5	3
110	по мнению	1	3
111	так как	7	3
112	а с	4	3
113	этот вопрос	2	3
114	быть может	1	3
115	в которой	5	2
116	между людьми	2	2
117	приводит к	1	2
118	что его	4	2
119	и наконец	3	2
120	в такой	4	2
121	это все	1	2
122	говорить о	2	2
123	однако эти	1	2
124	характер в	1	2
125	другой стороны	5	2
126	не стоит	2	2
127	может служить	3	2
128	в этот	1	2
129	и ее	2	2
130	крайней мере	1	2
131	не было	2	2
132	не менее	7	2
133	рядом с	1	2
134	со своими	2	2
135	зато в	1	2
136	зависит от	1	2
137	начиная с	1	2
138	вовсе не	2	2
139	из этой	2	2
140	с народом	1	2
141	из нас	1	2
142	в виде	4	2
143	и вдруг	1	2
144	и вообще	3	2
145	к которому	1	2
146	не так	4	2
147	бы не	1	2
148	так что	5	2
149	и без	5	2
150	с другими	1	2
151	что я	1	2
152	так в	1	2
153	которой он	1	2
154	себя на	1	2
155	чем их	2	2
156	же не	3	2
157	и только	2	2
158	к жизни	1	2
159	веру в	1	2
160	во всяком	2	2
161	вообще говоря	1	2
162	но если	2	2
163	нет и	1	2
164	такой же	2	2
165	и других	2	2
166	что этот	1	2
167	на него	2	2
168	из этого	6	2
169	у нас	3	2
170	при виде	2	2
171	аргумент в	1	2
172	что на	1	2
173	только с	1	2
174	во многих	1	2
175	и поэтому	2	2
176	отказывается от	1	2
177	тому же	6	2
178	отличие от	3	2
179	в истории	3	2
180	и еще	1	2
181	всяком случае	2	2
182	только в	6	2
183	в основе	2	2
184	однако это	2	2
185	него в	2	2
186	с ними	2	2
187	друг друга	2	2
188	точку зрения	2	2
189	по крайней	1	2
190	могут быть	1	2
191	том же	4	2
192	от этой	1	2
193	и если	6	2
194	и что	8	2
195	как известно	3	2
196	в процессе	2	2
197	роль в	1	2
198	их в	2	2
199	не случайно	1	2
200	при помощи	3	2
201	я не	2	2
202	с другой	6	2
203	в частности	2	2
204	и у	4	2
205	я буду	1	2
206	самом деле	12	2
207	этот факт	1	2
208	более всего	2	2
209	давно уже	2	2
210	в ту	2	2
211	с другим	1	2
212	как о	1	2
213	уже в	1	2
214	из них	5	2
215	сводится к	2	2
216	и по	3	2
217	теперь я	1	2
218	нашу мысль	1	1
219	русской действительности	1	1
220	во имя	3	1
221	видеть что	1	1
222	должен быть	1	1
223	можно встретить	2	1
224	главным образом	1	1
225	со своим	1	1
226	народом а	2	1
227	для ее	1	1
228	в в	4	1
229	не знает	2	1
230	она не	2	1
231	на себе	2	1
232	будет иметь	2	1
233	самого себя	4	1
234	для нас	3	1
235	творческой работе	1	1
236	среды в	1	1
237	и вот	1	1
238	на точку	1	1
239	когда же	1	1
240	на деле	1	1
241	эти примеры	2	1
242	в другом	2	1
243	из области	1	1
244	в связи	3	1
245	входит в	1	1
246	индивидуальном сознании	2	1
247	от всех	1	1
248	мы и	2	1
249	на всем	1	1
250	развития человечества	2	1
251	несколько ниже	1	1
252	является одним	1	1
253	сам он	1	1
254	с законом	1	1
255	отличается от	6	1
256	в один	2	1
257	некоторого времени	1	1
258	нет в	2	1
259	и для	6	1
260	для себя	2	1
261	нас не	1	1
262	как на	4	1
263	представляет собою	2	1
264	страсть к	2	1
265	не к	1	1
266	с в	3	1
267	же что	2	1
268	лишь из	1	1
269	связи с	4	1
270	и со	1	1
271	но при	1	1
272	только кажущаяся	1	1
273	с ней	1	1
274	и их	5	1
275	говорят что	1	1
276	выше на	1	1
277	ценности и	2	1
278	бы он	1	1
279	народ не	3	1
280	числе и	1	1
281	на то	9	1
282	в жизни	3	1
283	образом как	2	1
284	в сознании	6	1
285	каждого из	1	1
286	образом и	2	1
287	и эти	1	1
288	как нечто	1	1
289	даже в	3	1
290	раньше чем	1	1
291	и до	3	1
292	сделать и	1	1
293	а к	2	1
294	с удовольствием	1	1
295	не вполне	3	1
296	и другие	1	1
297	встречается у	1	1
298	же после	1	1
299	этом не	1	1
300	себе всегда	1	1
301	от него	3	1
302	ясной и	1	1
303	в голову	1	1
304	что это	5	1
305	если в	1	1
306	встретить и	1	1
307	в целях	1	1
308	во всех	10	1
309	а только	1	1
310	другом месте	1	1
311	мы получаем	1	1
312	таким же	3	1
313	биографии каждого	1	1
314	ничего общего	3	1
315	однако такое	1	1
316	смысл этого	1	1
317	идеи и	1	1
318	народа на	1	1
319	ли это	1	1
320	а между	8	1
321	а потому	5	1
322	с такой	1	1
323	одну общую	1	1
324	и капитализм	1	1
325	эти слова	1	1
326	грубость и	1	1
327	и я	1	1
328	эта же	1	1
329	его к	1	1
330	в эту	2	1
331	только еще	1	1
332	и свою	1	1
333	приходит к	1	1
334	или нет	1	1
335	но когда	1	1
336	целом ряде	3	1
337	что же	2	1
338	не без	2	1
339	из всего	1	1
340	между собой	4	1
341	к решению	1	1
342	всего что	1	1
343	без внимания	1	1
344	отношение к	4	1
345	совершенно не	3	1
346	между ними	2	1
347	а лишь	2	1
348	которого в	2	1
349	знаем что	8	1
350	сам автор	1	1
351	в себя	2	1
352	в ином	1	1
353	о которой	2	1
354	его он	1	1
355	народ в	4	1
356	на место	1	1
357	почему мы	1	1
358	к тому	8	1
359	мы видели	2	1
360	к ней	1	1
361	высшей степени	1	1
362	они считают	1	1
363	еще более	1	1
364	что для	4	1
365	жизнь и	3	1
366	для своих	1	1
367	может не	3	1
368	реальные исторические	1	1
369	в этих	3	1
370	у а	1	1
371	на вопрос	4	1
372	мысли и	1	1
373	произведения в	1	1
374	однако в	1	1
375	и к	5	1
376	после этого	1	1
377	всего развития	1	1
378	не имеет	1	1
379	мысль на	1	1
380	в современной	1	1
381	не считал	1	1
382	и берет	1	1
383	для меня	4	1
384	культуры и	9	1
385	возможно что	1	1
386	развития в	1	1
387	но этот	1	1
388	это сделать	1	1
389	потому и	2	1
390	как мы	2	1
391	ведь в	1	1
392	из этих	8	1
393	эта часть	2	1
394	это и	1	1
395	похоже на	1	1
396	что если	3	1
397	в свою	2	1
398	но как	2	1
399	общего с	2	1
400	лишь в	5	1
401	тот же	3	1
402	следует признать	1	1
403	пока еще	1	1
404	даже если	2	1
405	заключалось в	1	1
406	в силу	7	1
407	в течение	4	1
408	не то	3	1
409	свою очередь	2	1
410	дело в	1	1
411	остается в	1	1
412	на этих	1	1
413	исторический аргумент	1	1
414	с этим	11	1
415	только то	2	1
416	и особенно	2	1
417	как будто	5	1
418	что от	1	1
419	сказать что	1	1
420	в создании	1	1
421	есть одно	1	1
422	их на	1	1
423	за пределами	1	1
424	в глазах	2	1
425	и люди	1	1
426	мыслится как	1	1
427	в первом	1	1
428	ясно что	8	1
429	своей собственной	1	1
430	а сам	1	1
431	и мало	1	1
432	еще менее	1	1
433	к которой	3	1
434	должно быть	4	1
435	что за	2	1
436	но лишь	1	1
437	это делает	1	1
438	психологии и	1	1
439	создается в	1	1
440	той же	1	1
441	уже говорили	1	1
442	к сознанию	1	1
443	то это	1	1
444	а все	1	1
445	человечества на	1	1
446	что все	5	1
447	ту же	2	1
448	в каждом	1	1
449	со стороны	1	1
450	лицо к	1	1
451	образом в	3	1
452	в среде	2	1
453	в них	2	1
454	положение что	1	1
455	из всех	5	1
456	в психологическом	1	1
457	так это	1	1
458	а у	1	1
459	не понимают	2	1
460	мы уже	4	1
461	этого слова	2	1
462	из своих	1	1
463	решающую роль	1	1
464	из его	1	1
465	будто бы	1	1
466	не выше	4	1
467	чем у	8	1
468	сходство с	2	1
469	выше и	4	1
470	признать что	3	1
471	с одной	3	1
472	тому что	2	1
473	я совершенно	1	1
474	цивилизации в	2	1
475	что и	7	1
476	не похоже	1	1
477	а его	1	1
478	не могут	4	1
479	очень редко	1	1
480	месте в	1	1
481	и психологии	1	1
482	можно строить	1	1
483	с чертами	1	1
484	в высшей	1	1
485	время я	1	1
486	однако не	1	1
487	в результате	9	1
488	не являются	1	1
489	вопрос этот	1	1
490	это действительно	1	1
491	бы с	1	1
492	в виду	2	1
493	не противоречит	1	1
494	с большой	1	1
495	ее и	3	1
496	то в	2	1
497	для развития	1	1
498	человек с	1	1
499	характер не	1	1
500	на земле	3	1
501	о тех	1	1
502	несмотря на	6	1
503	в с	3	1
504	мысль о	1	1
505	в различных	1	1
506	о своей	1	1
507	с его	1	1
508	и между	1	1
509	том числе	1	1
510	за каждым	1	1
511	является только	1	1
512	над тем	1	1
513	по адресу	1	1
514	самого начала	1	1
515	у этих	1	1
516	столь же	5	1
517	одну из	1	1
518	с самого	1	1
519	общества и	1	1
520	невозможно но	2	1
521	если же	3	1
522	на той	1	1
523	то время	2	1
524	была бы	1	1
525	смотреть на	1	1
526	выше в	1	1
527	школы и	1	1
528	веры в	2	1
529	в области	4	1
530	в развитии	1	1
531	а может	1	1
532	и тут	1	1
533	ряде случаев	1	1
534	в наиболее	1	1
535	мы знаем	10	1
536	должна была	1	1
537	мы только	1	1
538	от этих	1	1
539	в дело	1	1
540	важную роль	1	1
541	на себя	1	1
542	этом что	2	1
543	говорили что	1	1
544	эта идея	1	1
545	было бы	3	1
546	именно потому	2	1
547	выше мы	4	1
548	быть в	1	1
549	нами в	1	1
550	заключается в	2	1
551	что оно	3	1
552	него с	2	1
553	что с	5	1
554	точно так	1	1
555	не быть	1	1
556	или иной	1	1
557	перед нами	1	1
558	сильнее чем	4	1
559	еще нет	1	1
560	и художественное	1	1
561	можно было	1	1
562	почти ничего	2	1
563	об отношении	1	1
564	и как	1	1
565	к одному	1	1
566	от которого	1	1
567	том чтобы	2	1
568	и более	2	1
569	психологическом отношении	1	1
570	и пытаются	1	1
571	не есть	2	1
572	для удовлетворения	2	1
573	тем меньше	2	1
