N	3gram	Tiupa_Lite_2	Hudozhes
1	о том что	2	9
2	и т п	2	8
3	то же время	9	8
4	по отношению к	3	8
5	в то же	9	8
6	в том что	5	6
7	можно было бы	1	4
8	к тому что	1	4
9	с точки зрения	3	3
10	в этом отношении	3	3
11	тем не менее	2	3
12	в русской литературе	2	3
13	том что в	1	2
14	такой же мере	1	2
15	что же касается	1	2
16	что он не	1	2
17	в равной мере	1	2
18	это прежде всего	2	2
19	в действительности же	1	2
20	в такой же	1	2
21	не в том	1	2
22	так и от	1	2
23	не может быть	7	2
24	не случайно в	1	2
25	в конечном счете	5	2
26	речь идет о	3	2
27	на наш взгляд	3	2
28	я и ты	1	2
29	себя в другом	1	1
30	это могло бы	1	1
31	а в конце	1	1
32	есть по сути	1	1
33	состоит в том	4	1
34	прежде всего в	1	1
35	как было сказано	1	1
36	на самом деле	1	1
37	таком взгляде на	1	1
38	то же самое	1	1
39	одной стороны и	1	1
40	жизни как правило	1	1
41	оставаясь за пределами	1	1
42	и в то	1	1
43	для него в	1	1
44	на этом свете	1	1
45	же время не	1	1
46	в себе и	1	1
47	от первого лица	1	1
48	в отличие от	1	1
49	ни с какой	1	1
50	все той же	1	1
51	полном соответствии с	1	1
52	с этой точки	1	1
53	положение при котором	1	1
54	такой же как	1	1
55	в первый раз	2	1
56	оказывается как бы	1	1
57	при таком взгляде	1	1
58	подлинного а не	1	1
59	в конце концов	1	1
60	в себя и	1	1
61	имеет ничего общего	1	1
62	по нашему мнению	1	1
63	в равной степени	2	1
64	художественного мышления и	1	1
65	приводит к тому	1	1
66	при всей своей	2	1
67	принципиальное различие между	1	1
68	не имеет ничего	1	1
69	в свое время	2	1
70	личности с ее	1	1
71	а в том	1	1
72	в данном случае	3	1
73	конечном счете в	1	1
74	как нам представляется	1	1
75	но не перед	1	1
76	в полном соответствии	1	1
77	в свою очередь	1	1
78	ничего общего с	1	1
79	речь в данном	1	1
80	этой точки зрения	1	1
81	никогда не бывает	1	1
82	не только не	1	1
83	за то что	2	1
84	в художественном мире	1	1
85	с одной стороны	6	1
86	во многих отношениях	1	1
87	между я и	3	1
88	видения жизни в	1	1
