N	2gram	Kanaev_Sov_1	VelikijI
1	и не	6	20
2	и в	7	16
3	свободы и	1	12
4	так как	4	9
5	еще не	3	8
6	а не	3	7
7	и потому	3	7
8	человека и	1	6
9	хотя и	1	5
10	в мире	1	5
11	все это	3	5
12	как бы	4	5
13	и есть	2	4
14	говорить о	2	4
15	в его	2	4
16	в этом	7	4
17	в нем	3	4
18	что все	2	4
19	как и	6	4
20	в ней	1	4
21	и все	3	4
22	все что	1	4
23	и что	2	3
24	с его	1	3
25	во всех	1	3
26	и будет	2	3
27	в том	4	3
28	тот же	2	3
29	но в	3	3
30	все эти	5	3
31	и они	2	3
32	в конце	3	3
33	их в	4	3
34	и мы	3	3
35	ни в	1	3
36	не было	1	3
37	должно быть	1	3
38	в первый	1	3
39	не в	3	3
40	к чему	2	3
41	но это	1	3
42	не имеет	1	3
43	никогда не	1	3
44	и для	1	3
45	жизни и	4	3
46	что в	2	3
47	и это	1	2
48	но мы	3	2
49	можно было	1	2
50	мы не	9	2
51	когда в	1	2
52	с ним	1	2
53	мы это	1	2
54	и во	2	2
55	нет и	4	2
56	человека как	1	2
57	только в	1	2
58	конечно не	1	2
59	уже не	2	2
60	не только	4	2
61	его и	1	2
62	не будет	1	2
63	это не	4	2
64	прежде всего	5	2
65	для них	1	2
66	все равно	1	2
67	один из	1	2
68	для их	1	2
69	и тогда	1	2
70	теперь только	1	2
71	не могут	2	2
72	одна из	3	2
73	уже на	1	2
74	том что	1	2
75	для нас	3	2
76	полного и	1	2
77	а в	4	2
78	но не	1	2
79	в духе	1	2
80	могут быть	2	2
81	свободы выбора	1	2
82	во всяком	2	2
83	как мы	2	1
84	ним или	1	1
85	и до	1	1
86	роль в	2	1
87	он осуществляет	1	1
88	не имеют	1	1
89	значение в	2	1
90	мы будем	1	1
91	то же	3	1
92	и могут	1	1
93	их и	1	1
94	в результате	6	1
95	это только	1	1
96	всего только	2	1
97	что уже	1	1
98	вопрос о	4	1
99	часто бывают	1	1
100	и вообще	1	1
101	iii наконец	1	1
102	и начало	1	1
103	зависимости от	4	1
104	кто же	1	1
105	вражда к	1	1
106	главах мы	1	1
107	бы то	1	1
108	природы и	1	1
109	к нему	1	1
110	но как	1	1
111	если в	1	1
112	а потому	1	1
113	крайней мере	1	1
114	сложное и	1	1
115	в своем	1	1
116	известном смысле	1	1
117	все же	3	1
118	нужна для	1	1
119	мы видим	2	1
120	ли он	1	1
121	и свою	1	1
122	в самом	2	1
123	в которой	2	1
124	что это	2	1
125	в целом	4	1
126	скажут нам	2	1
127	этот третий	1	1
128	в этой	3	1
129	в известном	1	1
130	где можно	1	1
131	уже в	3	1
132	в которую	2	1
133	то и	2	1
134	в виде	2	1
135	и если	1	1
136	и путем	1	1
137	искать в	1	1
138	же они	1	1
139	и навсегда	1	1
140	окажется всего	1	1
141	вовсе не	1	1
142	но что	1	1
143	у него	2	1
144	не случайно	1	1
145	и по	2	1
146	на этом	2	1
147	бы все	1	1
148	ее на	2	1
149	человека в	1	1
150	не хотим	1	1
151	наука не	1	1
152	то ни	2	1
153	конечно в	2	1
154	себе такую	1	1
155	с другой	1	1
156	есть не	1	1
157	в следующих	1	1
158	весь мир	1	1
159	отказавшись от	1	1
160	следующих главах	1	1
161	она и	1	1
162	может ли	1	1
163	на которых	1	1
164	основной вопрос	3	1
165	для чего	1	1
166	жизни но	1	1
167	их на	1	1
168	таким же	1	1
169	вместе с	4	1
170	так же	1	1
171	стать в	1	1
172	вот к	1	1
173	мы в	1	1
174	у нас	3	1
175	в одном	3	1
176	а потом	1	1
177	по крайней	1	1
178	человек с	1	1
179	это значит	1	1
180	если нет	1	1
181	раз и	1	1
182	и нет	1	1
183	оно из	1	1
184	на котором	2	1
185	и именно	2	1
186	указать на	1	1
187	и от	1	1
188	и всегда	1	1
189	это как	1	1
190	ничего не	6	1
191	человек и	1	1
192	жизни не	1	1
193	может быть	12	1
194	в третьем	2	1
195	видим что	1	1
196	в новых	2	1
197	они нам	1	1
198	наших дней	1	1
199	на части	1	1
200	жизни в	1	1
201	в будущем	1	1
202	наконец не	2	1
203	не быть	1	1
204	но часто	1	1
205	но все	2	1
206	есть то	1	1
207	к этому	1	1
208	в окончательном	1	1
209	его с	1	1
210	в своих	1	1
211	в процессе	1	1
212	и эта	1	1
213	она не	1	1
214	они не	1	1
