N	2gram	Tiupa_Disk_2	Vladivir
1	и в	16	30
2	в году	1	24
3	в этом	16	20
4	то что	5	20
5	и не	15	18
6	в том	8	18
7	и с	2	14
8	что он	2	13
9	не только	10	12
10	том что	10	12
11	там же	2	12
12	что в	5	12
13	в его	3	11
14	а в	2	11
15	сказать что	1	11
16	а также	8	10
17	не было	3	10
18	и даже	1	10
19	все же	6	9
20	не в	3	9
21	в то	5	9
22	не может	9	9
23	для него	5	9
24	потому что	4	9
25	в своем	5	8
26	но в	11	8
27	что же	2	8
28	но и	11	8
29	вместе с	2	8
30	до конца	1	7
31	то есть	12	7
32	ни в	7	7
33	которую он	1	7
34	точки зрения	4	7
35	никогда не	2	7
36	не менее	7	7
37	может быть	16	7
38	а не	14	7
39	как это	1	7
40	и все	3	7
41	также и	3	6
42	он был	1	6
43	хотя и	1	6
44	в себе	19	6
45	об этом	1	6
46	тем не	1	6
47	и его	3	6
48	только в	3	6
49	всяком случае	1	6
50	еще и	1	6
51	прежде всего	7	6
52	о чем	2	6
53	к этому	4	6
54	жизни и	3	6
55	во всяком	1	6
56	того же	2	5
57	и то	4	5
58	то в	1	5
59	все эти	3	5
60	при этом	17	5
61	же касается	2	5
62	как и	16	5
63	в своей	6	5
64	в котором	3	5
65	для себя	2	5
66	так и	9	5
67	с ним	1	5
68	и что	1	5
69	того что	1	5
70	так что	1	5
71	как бы	4	5
72	все это	2	5
73	в результате	2	5
74	из этого	1	5
75	то же	6	4
76	той же	2	4
77	я не	1	4
78	в ней	2	4
79	и на	5	4
80	время в	2	4
81	с его	6	4
82	отношение к	2	4
83	в которой	1	4
84	в целом	2	4
85	в этой	4	4
86	в нем	7	4
87	он не	3	4
88	содержит в	2	4
89	его в	3	4
90	несмотря на	1	4
91	в этих	3	4
92	по крайней	1	4
93	в москву	1	4
94	не есть	1	4
95	здесь не	2	4
96	можно сказать	3	4
97	о том	4	4
98	с которыми	1	4
99	вовсе не	1	4
100	для меня	1	4
101	крайней мере	1	4
102	со стороны	10	4
103	именно в	2	4
104	мой друг	1	4
105	в это	1	4
106	с этой	1	4
107	но это	3	4
108	и наконец	3	4
109	на этот	1	4
110	это время	1	4
111	можно говорить	1	3
112	во всех	1	3
113	но не	7	3
114	не то	1	3
115	отличие от	12	3
116	как в	8	3
117	что касается	1	3
118	и как	3	3
119	из этих	3	3
120	им в	1	3
121	таким образом	1	3
122	в них	3	3
123	должно быть	2	3
124	я его	1	3
125	с точки	2	3
126	не столько	3	3
127	в отличие	12	3
128	том же	1	3
129	вплоть до	1	3
130	же время	5	3
131	к ней	1	3
132	в области	2	3
133	и это	2	3
134	никак не	1	3
135	что и	2	3
136	уже не	3	3
137	я в	5	3
138	никакого отношения	1	3
139	дело в	2	3
140	не говоря	1	3
141	в данном	7	3
142	да и	1	3
143	своей жизни	1	3
144	под названием	1	3
145	и для	2	3
146	еще более	1	3
147	это в	2	3
148	я и	4	2
149	и есть	1	2
150	и до	1	2
151	приходит к	1	2
152	его не	1	2
153	еще на	1	2
154	не вполне	1	2
155	ему в	1	2
156	а другие	1	2
157	не был	1	2
158	по своему	1	2
159	первых двух	1	2
160	к числу	1	2
161	в самом	1	2
162	человек не	1	2
163	а к	2	2
164	три года	1	2
165	же это	1	2
166	и сам	1	2
167	на этом	1	2
168	но все	1	2
169	и может	3	2
170	это не	3	2
171	этого не	1	2
172	мы не	1	2
173	еще в	3	2
174	на первый	2	2
175	с нами	1	2
176	жизни с	1	2
177	где на	1	2
178	к той	1	2
179	их в	2	2
180	даже в	1	2
181	а вот	1	2
182	она не	1	2
183	некоторого рода	2	2
184	того как	1	2
185	к этим	1	2
186	было у	1	2
187	в самых	1	2
188	того и	2	2
189	всего на	1	2
190	не о	2	2
191	как будто	3	2
192	уже о	1	2
193	начиная с	1	2
194	к тому	1	2
195	будто бы	1	2
196	людей в	1	2
197	говоря уже	1	2
198	данном случае	6	2
199	почему и	1	2
200	ничего не	1	2
201	со своей	1	2
202	о нем	1	2
203	в чем	1	2
204	в сущности	1	2
205	и во	1	2
206	нас в	1	2
207	по двум	1	2
208	себя в	6	2
