N	3gram	Bakhtin_Fr_3	Sovremen
1	с точки зрения	1	5
2	не может быть	2	4
3	мы видели что	1	3
4	с самого начала	1	3
5	во всяком случае	1	2
6	в отличие от	3	2
7	в свою очередь	1	2
8	не подлежит сомнению	1	2
9	может быть и	1	2
10	в настоящее время	1	2
11	что иное как	1	1
12	и в этом	1	1
13	и не было	2	1
14	в связи с	4	1
15	но только не	1	1
16	оно может быть	1	1
17	какой бы то	1	1
18	сказать несколько слов	1	1
19	дело в том	1	1
20	по отношению к	2	1
21	на самом деле	3	1
22	и до сих	1	1
23	в новое время	1	1
24	но ведь это	1	1
25	и той же	2	1
26	только на его	1	1
27	в свое время	1	1
28	в этом случае	1	1
29	до наших дней	2	1
30	во всех деталях	1	1
31	до сих пор	4	1
32	то же время	6	1
33	они не могут	1	1
34	есть не что	1	1
35	что в ней	1	1
36	бы то ни	1	1
37	как одной из	1	1
38	прежде всего необходимо	3	1
39	но все эти	1	1
40	можно было бы	2	1
41	и не может	1	1
42	все же в	1	1
43	той или иной	2	1
44	и прежде всего	3	1
45	но все же	1	1
46	мы знаем что	1	1
47	может быть только	1	1
48	в то же	6	1
49	это как бы	1	1
50	мы видим что	1	1
51	одной и той	2	1
52	не что иное	1	1
53	как мы видим	1	1
54	не подлежит никакому	2	1
55	в том что	1	1
56	и во всей	2	1
57	в данном случае	2	1
58	никакому сомнению что	2	1
59	все эти три	1	1
60	может быть в	2	1
61	то ни было	1	1
62	подлежит никакому сомнению	2	1
63	и в настоящее	1	1
