N	4gram	Bakhtin_KF_1	Problemy
1	в то же время	2	12
2	и в то же	1	5
3	бы то ни было	2	4
4	бы он ни был	2	3
5	но в то же	1	3
6	ни в чем не	4	2
7	несмотря на то что	1	1
8	одного и того же	1	1
9	своем смысле и в	1	1
10	один и тот же	1	1
11	лежит в основе нашей	1	1
12	и в этом смысле	1	1
13	и ни в чем	2	1
14	с точки зрения формальной	1	1
15	с точки зрения смысла	2	1
16	с точки зрения его	1	1
17	в непосредственной близости к	1	1
18	и по отношению к	1	1
19	какого бы то ни	1	1
20	в этом смысле можно	1	1
21	в своем смысле и	2	1
