N	2gram	Losev_Vesc_1	BTomashe
1	у нас	7	3
2	и не	29	2
3	в ней	12	2
4	можно было	2	2
5	все это	5	2
6	не то	4	2
7	говорить о	6	1
8	со всем	5	1
9	во всяком	3	1
10	самом понятии	1	1
11	с другой	6	1
12	не все	1	1
13	вопрос о	1	1
14	совершенно не	5	1
15	в своей	5	1
16	остановиться на	1	1
17	по крайней	4	1
18	между ними	3	1
19	всяком случае	2	1
20	и о	3	1
21	и ее	18	1
22	точно и	1	1
23	не вполне	2	1
24	и в	21	1
25	будто бы	1	1
26	так и	3	1
27	то как	2	1
28	крайней мере	4	1
29	не о	1	1
30	также что	1	1
31	об этом	3	1
32	также не	1	1
33	не уничтожается	2	1
34	по меньшей	1	1
35	что все	2	1
36	же не	1	1
37	начинает он	1	1
38	и нет	1	1
39	не было	1	1
40	и во	3	1
41	должна быть	4	1
42	название то	1	1
43	кроме того	4	1
44	было бы	14	1
45	узко и	1	1
46	отнюдь не	5	1
47	было и	2	1
48	далеко не	1	1
49	бы только	1	1
50	и потому	5	1
51	в пределах	1	1
52	никак не	3	1
53	говорить об	1	1
54	только одной	1	1
55	и исторической	1	1
56	все же	4	1
57	о них	1	1
58	и более	1	1
59	прежде всего	9	1
60	этой книги	1	1
61	что в	9	1
62	таким образом	8	1
63	к ней	2	1
64	еще не	8	1
65	меньшей мере	1	1
66	как будто	1	1
67	не только	36	1
68	в данном	5	1
69	на самом	1	1
70	другой стороны	2	1
71	из своей	1	1
72	и ограниченно	1	1
73	а не	19	1
