N	3gram	Losev_Vesc_1	Komedia
1	в том что	4	5
2	вместе с тем	1	4
3	о том что	4	4
4	для того чтобы	2	4
5	так или иначе	4	3
6	в то время	1	3
7	в то же	1	3
8	только потому что	1	2
9	а затем и	2	2
10	до сих пор	1	2
11	в той же	1	2
12	бы то ни	4	2
13	то время как	1	2
14	то ни было	4	2
15	с одной стороны	3	2
16	в самом начале	1	2
17	во всяком случае	2	2
18	что у него	1	2
19	независимо от того	1	2
20	к тому что	2	2
21	можно было бы	1	2
22	друг с другом	1	2
23	что и в	1	2
24	имеется в виду	1	1
25	мы имеем дело	2	1
26	как и во	1	1
27	в самом деле	4	1
28	каждой из них	1	1
29	ни с кем	1	1
30	с точки зрения	3	1
31	и еще более	1	1
32	и во всех	1	1
33	из них в	1	1
34	ли в этом	1	1
35	должен быть не	1	1
36	но и здесь	1	1
37	ни у кого	1	1
38	и во всяком	1	1
39	и в философии	1	1
40	то что у	2	1
41	в первом случае	2	1
42	в чем же	3	1
43	как будто бы	1	1
44	по сравнению с	6	1
45	так как будто	1	1
46	само по себе	1	1
47	с другой стороны	2	1
48	в жизни мы	1	1
49	не может быть	6	1
50	она могла бы	2	1
51	более или менее	1	1
52	что из них	1	1
53	в свою очередь	4	1
54	то что не	2	1
55	себя так как	1	1
56	хотя бы в	2	1
57	и в самом	1	1
58	в двух отношениях	1	1
59	не только в	4	1
60	ни о чем	1	1
61	как мы знаем	1	1
62	тем не менее	3	1
63	ясно что это	1	1
