N	3gram	Vinokur_St_3	Morfolog
1	и т д	2	47
2	в связи с	3	8
3	не может быть	5	8
4	связи с этим	1	5
5	с точки зрения	4	4
6	с другой стороны	4	4
7	тем не менее	2	4
8	независимо от того	2	3
9	на самом деле	1	3
10	но все же	2	3
11	следует заметить что	1	2
12	состоит в том	3	2
13	более или менее	1	2
14	в собственном смысле	1	2
15	и в других	1	2
16	то время как	4	2
17	с одной стороны	2	2
18	в то время	4	2
19	в отдельных случаях	1	2
20	для того чтобы	1	2
21	в том что	11	2
22	не означает что	1	1
23	и может быть	1	1
24	между прочим и	1	1
25	но то что	1	1
26	он может быть	1	1
27	том что он	1	1
28	и в качестве	1	1
29	что же касается	1	1
30	то же можно	1	1
31	до сих пор	2	1
32	действуют как живые	1	1
33	а a и	1	1
34	с двумя разновидностями	1	1
35	этим может быть	1	1
36	в какой степени	1	1
37	между собою мы	1	1
38	то в формах	1	1
39	но это не	3	1
40	можно было бы	1	1
41	и в некоторых	1	1
42	в применении к	1	1
43	можно сравнить с	1	1
44	с большой долей	1	1
45	это один из	1	1
46	же можно сказать	1	1
47	в некоторых случаях	1	1
48	и пр с	1	1
49	иметь в виду	1	1
50	действующих лиц мы	1	1
51	то что он	1	1
52	все более и	2	1
53	во всяком случае	4	1
54	мы имеем здесь	1	1
55	выше было указано	1	1
56	но так как	1	1
57	что несмотря на	1	1
58	с этим может	1	1
59	под углом зрения	1	1
60	во всех этих	2	1
61	так как его	1	1
62	то же время	3	1
63	то что ему	1	1
64	мы имеем в	2	1
65	о том что	4	1
66	с этим стоит	1	1
67	с самого начала	2	1
68	он не может	1	1
69	той или иной	1	1
70	т е не	1	1
71	из которых один	1	1
72	можно сказать что	1	1
73	на то что	3	1
74	большой интерес для	1	1
75	в другом случае	1	1
76	в то же	3	1
77	из этих двух	1	1
78	более и более	2	1
79	к тому что	2	1
80	дело не в	1	1
81	что я за	1	1
82	того или другого	1	1
83	тем как в	1	1
