N	2gram	Medvedev_B_1	Sotsiolo
1	все это	2	7
2	не только	1	3
3	и в	1	3
4	за пределы	1	2
5	было бы	1	2
6	должна быть	1	2
7	далеко не	1	2
8	тем более	1	2
9	как будто	1	2
10	еще не	1	2
11	таким образом	1	2
12	что в	1	2
13	крайней мере	1	1
14	что все	1	1
15	же не	1	1
16	отнюдь не	1	1
17	выходит за	1	1
18	с другой	1	1
19	литературы как	1	1
20	поэтики и	1	1
21	все же	1	1
22	прежде всего	1	1
23	так и	1	1
24	не было	1	1
25	и не	2	1
26	и о	1	1
27	стр и	2	1
28	в своей	1	1
29	стр в	1	1
30	в области	1	1
31	и потому	1	1
32	никак не	1	1
33	между ними	1	1
34	точке зрения	1	1
35	словесного творчества	1	1
36	представляется нам	1	1
37	всяком случае	1	1
38	в данном	1	1
39	по крайней	1	1
40	и более	1	1
41	во всяком	1	1
