N	3gram	Losev_Prob_3	Poddanst
1	в то же	4	7
2	не только в	2	4
3	в том что	9	4
4	с точки зрения	2	3
5	сами по себе	6	3
6	в сравнении с	2	3
7	с одной стороны	1	3
8	и не только	1	2
9	но и в	2	2
10	заключается в том	3	2
11	в том виде	2	1
12	что в этом	1	1
13	далеко не все	1	1
14	более или менее	1	1
15	в настоящее время	2	1
16	вопросу о соотношении	1	1
17	есть прежде всего	1	1
18	и в этом	6	1
19	мы не будем	2	1
20	в отличие от	2	1
21	не было бы	3	1
22	в собственном смысле	1	1
23	прежде всего мы	1	1
24	бы она ни	2	1
25	и то что	7	1
26	и в частности	2	1
27	так же как	1	1
28	как бы она	2	1
29	если бы мы	1	1
30	мы все же	1	1
31	только в виде	1	1
32	по сравнению с	2	1
33	но возможно также	1	1
34	во всяком случае	6	1
35	идет речь но	1	1
36	с другой стороны	5	1
37	не может быть	5	1
38	сливаются в одно	1	1
39	но также и	2	1
40	само по себе	3	1
41	та или иная	3	1
42	и тем самым	2	1
43	и тем более	2	1
44	именно потому что	3	1
45	ни на какие	1	1
46	для того чтобы	1	1
47	в отрыве от	1	1
48	и т д	13	1
