N	4gram	Bakhtin_sl_1	EvropaiE
1	в то же время	12	14
2	и в то же	5	8
3	с этой точки зрения	1	5
4	бы то ни было	1	4
5	в той или иной	9	3
6	но в то же	4	2
7	дело в том что	1	1
8	и с точки зрения	1	1
9	в начале xx века	1	1
10	и прежде всего в	1	1
11	в то время как	2	1
12	сводится именно к тому	1	1
13	то же время в	1	1
14	рассматривать с точки зрения	1	1
15	на то или иное	1	1
16	в большей или меньшей	3	1
17	той или иной степени	9	1
18	и в отношении к	1	1
19	большей или меньшей степени	3	1
20	именно к тому что	1	1
21	в отношении к действительному	1	1
