N	3gram	Propp_Morf_1	PoTuStor
1	с точки зрения	2	6
2	на самом деле	4	4
3	с самого начала	1	4
4	до сих пор	1	3
5	во всяком случае	2	3
6	не может быть	9	3
7	и пр и	2	3
8	можно сказать что	1	3
9	в большинстве случаев	3	3
10	и может быть	1	2
11	друг на друга	2	2
12	не могут быть	2	2
13	о том что	1	2
14	следует заметить что	2	1
15	уже не может	1	1
16	мы имеем в	1	1
17	подобно тому как	5	1
18	он может быть	2	1
19	ни в коем	1	1
20	бы то ни	3	1
21	в этом отношении	1	1
22	и посвящена настоящая	1	1
23	все же в	1	1
24	она может быть	1	1
25	вспомним хотя бы	1	1
26	в коем случае	1	1
27	в данном случае	1	1
28	то ни было	2	1
29	с одной стороны	1	1
30	в высшей степени	1	1
31	в этом нет	1	1
32	в связи с	8	1
33	и пр как	1	1
34	посвящена настоящая работа	1	1
35	в этом и	1	1
36	в этой работе	1	1
37	могут быть поняты	1	1
38	а на самом	1	1
39	самом деле в	1	1
40	в том что	3	1
41	и таким образом	2	1
42	так как его	1	1
43	мы не можем	1	1
44	говорить о том	1	1
45	вопрос о мотивах	1	1
46	связи с этим	4	1
47	в мифах и	1	1
48	или во всяком	1	1
49	он не дает	1	1
50	друг с другом	1	1
51	для того чтобы	2	1
52	на первый взгляд	3	1
53	где оно есть	1	1
54	мы увидим что	1	1
